date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-25,,,,,,,,,75,38,101,75,38,101,75,38,101,1.88032901427,1.6,2.2
2020-02-26,,,,,,,,,75,38,101,150,76,202,150,76,202,1.88002736389,1.59924957264,2.19993369811
2020-02-27,,,,,,,,,75,38,101,226,114,303,226,114,303,1.87993593786,1.59904323015,2.19990464031
2020-02-28,,,,,,,,,75,38,101,301,152,404,301,152,404,1.87981628849,1.59878020955,2.19986259479
2020-02-29,,,,,,,,,75,38,101,376,190,505,376,190,505,1.87965953123,1.59844499521,2.19979866688
2020-03-01,,,,,,,,,75,38,101,451,228,606,451,228,606,1.87945393025,1.59800762077,2.19970725447
2020-03-02,,,,,,,,,75,38,101,526,266,707,526,266,707,1.87918396829,1.5974322415,2.19957850657
2020-03-03,,,,,,,,,75,38,101,601,304,808,601,304,808,1.87882911108,1.59673783777,2.19941362445
2020-03-04,,,,,,,,,75,38,101,677,342,909,677,342,909,1.87836216722,1.59585684553,2.19918416885
2020-03-05,,,,,,,,,214,115,290,891,457,1199,891,457,1199,1.87695739266,1.59384481507,2.19822958949
2020-03-06,,,,,,,,,214,114,288,1104,571,1486,1104,571,1486,1.87604815972,1.59231878375,2.19764010678
2020-03-07,,,,,,,,,226,122,306,1330,694,1792,1330,694,1792,1.87469505806,1.59023950888,2.19669977226
2020-03-08,,,,,,,,,251,138,341,1581,833,2132,1581,833,2132,1.87300103659,1.58769034942,2.1954959874
2020-03-09,,,,,,,,,303,170,420,1883,1003,2552,1883,1003,2552,1.87083842935,1.58453786798,2.19386653743
2020-03-10,,,,,,,,,384,217,546,2267,1221,3098,2267,1221,3098,1.86804489803,1.58062154061,2.19165057061
2020-03-11,,,,,,,,,448,256,644,2640,1439,3640,2715,1477,3741,1.86439423837,1.57573420702,2.18853156632
2020-03-12,,,,,,,,,505,289,736,3070,1690,4274,3220,1766,4476,1.8596002528,1.56963126929,2.18458002595
2020-03-13,,,,,,,,,575,331,849,3569,1984,5021,3795,2098,5324,1.85336675381,1.56207985396,2.17911272335
2020-03-14,,,,,,,,,660,377,996,4154,2323,5916,4454,2475,6320,1.84529643746,1.5527977023,2.17133078247
2020-03-15,,,,,,,,,766,433,1165,4845,2719,6979,5221,2909,7484,1.83486509892,1.54144663607,2.16092720351
2020-03-16,,,,,,,,,879,502,1351,5649,3184,8229,6100,3412,8835,1.8214344144,1.5276592319,2.14605571041
2020-03-17,,,,,,,,,995,566,1543,6568,3712,9670,7094,3978,10377,1.80425196204,1.51105293565,2.12474484213
2020-03-18,,,,,,,,,1119,635,1745,7611,4310,11313,8213,4614,12121,1.78250711215,1.49128178449,2.09719321159
2020-03-19,,,,,,,,,1254,707,1967,8790,4979,13179,9467,5321,14088,1.75537590713,1.467432089,2.06079967484
2020-03-20,1,1,,,,,,,1400,783,2207,9976,5647,15097,10867,6104,16295,1.72211786598,1.43863045537,2.01158230399
2020-03-21,-1,0,,,,,,,1551,859,2423,11313,6391,17232,12418,6963,18718,1.68222625571,1.40527122384,1.95840445469
2020-03-22,2,2,,,,,,,1697,940,2606,12785,7209,19532,14115,7904,21323,1.63559260028,1.38189808092,1.91942759652
2020-03-23,0,2,,,,,,,1838,1039,2780,14373,8110,21970,15953,8944,24102,1.58263855612,1.36019777395,1.885918983
2020-03-24,0,2,,,,,,,1970,1128,2930,16040,9068,24480,17923,10072,27032,1.52434779088,1.30385262646,1.83540419561
2020-03-25,0,2,,,,,,,2090,1214,3029,17746,10065,26963,20013,11286,30060,1.46218142402,1.2380607658,1.76436772519
