date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-18,,,,,,,,,57,32,85,57,32,85,57,32,85,1.84507227351,1.4,2.2
2020-02-19,,,,,,,,,57,32,85,114,64,170,114,64,170,1.84506238913,1.39999501456,2.19999972603
2020-02-20,,,,,,,,,57,32,85,171,96,255,171,96,255,1.84505844816,1.39999271806,2.19999953075
2020-02-21,,,,,,,,,57,32,85,228,128,340,228,128,340,1.84505291556,1.39998992691,2.19999927912
2020-02-22,,,,,,,,,57,32,85,285,160,425,285,160,425,1.8450451391,1.39998606225,2.19999885036
2020-02-23,,,,,,,,,57,32,85,342,192,510,342,192,510,1.84503419489,1.39998070972,2.19999814099
2020-02-24,,,,,,,,,57,32,85,399,224,595,399,224,595,1.84501877217,1.39997331674,2.19999698156
2020-02-25,,,,,,,,,57,32,85,456,256,680,456,256,680,1.8449970083,1.39996308593,2.19999522273
2020-02-26,,,,,,,,,57,32,85,513,288,765,513,288,765,1.844966252,1.39994908981,2.19999240627
2020-02-27,,,,,,,,,161,89,254,673,377,1019,673,377,1019,1.84490900434,1.39991396831,2.19997733317
2020-02-28,,,,,,,,,160,89,253,833,466,1272,833,466,1272,1.84484558992,1.39988090798,2.1999679592
2020-02-29,,,,,,,,,169,94,271,1002,560,1542,1002,560,1542,1.84475309134,1.39983197436,2.19995116209
2020-03-01,,,,,,,,,188,103,305,1190,664,1847,1190,664,1847,1.84462365193,1.39976380137,2.19992819117
2020-03-02,,,,,,,,,226,124,376,1416,789,2223,1416,789,2223,1.84444108957,1.39966800067,2.19989609247
2020-03-03,,,,,,,,,287,152,494,1703,942,2716,1703,942,2716,1.84418228797,1.39954069692,2.19985578857
2020-03-04,,,,,,,,,335,172,591,1981,1082,3222,2038,1114,3307,1.84381380438,1.39936847067,2.19979987286
2020-03-05,,,,,,,,,379,194,685,2303,1245,3821,2417,1309,3991,1.84328774508,1.39913392168,2.19970455096
