date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-26,,,,,,,,,72,43,92,72,43,92,72,43,92,1.79411764706,1.4,2.2
2020-02-27,,,,,,,,,72,43,92,144,86,184,144,86,184,1.78374701313,1.38546514939,2.19904336995
2020-02-28,,,,,,,,,72,43,92,217,129,276,217,129,276,1.77919266908,1.3782215858,2.19843781701
2020-02-29,,,,,,,,,72,43,92,289,172,368,289,172,368,1.772667062,1.36918409541,2.19744958466
2020-03-01,,,,,,,,,72,43,92,361,215,460,361,215,460,1.76337551342,1.35738641657,2.19583791139
2020-03-02,,,,,,,,,72,43,92,433,258,552,433,258,552,1.75027578766,1.34112690253,2.19329738199
2020-03-03,,,,,,,,,72,43,92,506,301,644,506,301,644,1.7320782155,1.31352635636,2.18956481968
2020-03-04,,,,,,,,,72,43,92,578,344,736,578,344,736,1.70732759495,1.27716272368,2.18304959606
2020-03-05,,,,,,,,,72,43,92,650,387,828,650,387,828,1.67461541996,1.23582246456,2.1724146783
2020-03-06,,,,,,,,,189,122,249,839,509,1077,839,509,1077,1.6327581975,1.19129906312,2.15515744135
2020-03-07,,,,,,,,,184,121,245,1023,631,1321,1023,631,1321,1.58181516685,1.12483393636,2.13282708153
2020-03-08,,,,,,,,,188,127,254,1210,758,1575,1210,758,1575,1.52228013437,1.02189627996,2.10110135201
2020-03-09,,,,,,,,,198,136,275,1408,894,1849,1408,894,1849,1.45565579211,0.944087768599,2.05832852063
2020-03-10,,,,,,,,,223,151,317,1631,1046,2166,1631,1046,2166,1.38382579119,0.871334730091,2.00133704464
2020-03-11,,,,,,,,,259,171,382,1891,1217,2548,1891,1217,2548,1.30872517582,0.823336739605,1.93289582505
2020-03-12,,,,,,,,,278,184,420,2097,1358,2875,2169,1401,2967,1.23216258484,0.776295153887,1.89237745042
2020-03-13,,,,,,,,,286,188,439,2311,1504,3221,2455,1590,3405,1.15586742625,0.747476927537,1.82945177661
2020-03-14,,,,,,,,,293,192,452,2531,1654,3581,2748,1783,3857,1.08162535931,0.723174400247,1.74405651577
2020-03-15,,,,,,,,,298,194,462,2757,1806,3950,3046,1978,4318,1.01132427594,0.70152972925,1.62932719488
2020-03-16,,,,,,,,,304,196,478,2989,1959,4335,3350,2174,4795,0.946867340791,0.684489889828,1.48587546517
2020-03-17,,,,,,,,,306,198,479,3223,2115,4722,3656,2373,5274,0.889954707736,0.673066006126,1.34923293363
2020-03-18,,,,,,,,,304,200,480,3454,2273,5109,3960,2574,5753,0.841777981886,0.66512953195,1.21172642816
2020-03-19,,,,,,,,,299,199,472,3681,2430,5488,4259,2774,6224,0.802747537337,0.660338472577,1.1007811561
2020-03-20,,,,,,,,,293,198,455,3902,2585,5850,4552,2972,6678,0.772414343162,0.65701047279,1.00330903431
2020-03-21,1,1,,,,,,,288,197,437,4001,2659,6038,4839,3169,7115,0.749664363577,0.654647960215,0.926595783065
2020-03-22,0,1,,,,,,,282,196,420,4099,2734,6213,5122,3365,7534,0.73306915105,0.652884023062,0.868229767671
2020-03-23,0,1,,,,,,,276,194,402,4188,2801,6361,5398,3560,7935,0.721203895422,0.651599335548,0.834324356381
2020-03-24,1,2,,,,,,,270,193,384,4259,2859,6469,5668,3753,8318,0.71283438511,0.650825040181,0.818720893578
2020-03-25,2,4,,,,,,,264,193,366,4301,2900,6518,5932,3947,8684,0.706980427657,0.650326183094,0.806232924559
2020-03-26,0,4,,,,,,,258,191,350,4299,2921,6487,6190,4139,9034,0.702905112695,0.649987796992,0.802256071163
2020-03-27,1,5,,,,,,,252,191,338,4273,2928,6405,6442,4330,9371,0.700073432197,0.649747306321,0.800290694952
2020-03-28,2,7,,,,,,,247,189,325,4234,2929,6291,6689,4520,9696,0.698105455906,0.649591514395,0.799925561109
2020-03-29,0,7,,,,,,,242,188,312,4183,2925,6151,6931,4708,10008,0.696735104009,0.649482678443,0.799718863649
2020-03-30,0,7,,,,,,,237,185,299,4122,2916,5989,7167,4894,10306,0.695777602592,0.649380970821,0.799573544942
2020-03-31,1,8,,,,,,,232,182,288,4049,2901,5799,7399,5076,10594,0.695105253986,0.649299384236,0.799465529969
2020-04-01,0,8,,,,,,,227,179,277,3969,2882,5597,7626,5255,10871,0.694630013971,0.649207955923,0.799389398203
2020-04-02,1,9,,,,,,,222,175,269,3888,2857,5386,7848,5431,11139,0.694291221924,0.649113377205,0.799329089539
2020-04-03,0,9,,,,,,,218,171,261,3807,2829,5176,8065,5603,11400,0.69404707159,0.649030487271,0.799244621006
2020-04-04,2,11,,,,,,,213,168,253,3727,2799,4975,8279,5771,11652,0.69386872406,0.648936079987,0.79918088814
2020-04-05,2,13,,,,,,,209,164,247,3648,2766,4785,8488,5935,11899,0.693736257402,0.64887024033,0.799096272167
2020-04-06,2,15,,,,,,,205,161,240,3571,2731,4605,8693,6097,12138,0.693635884947,0.648811365988,0.799037922269
2020-04-07,0,15,,,,,,,201,158,234,3496,2694,4437,8894,6255,12371,0.693558046148,0.648774044833,0.798979055717
2020-04-08,0,15,,,,,,,197,154,230,3423,2655,4284,9091,6409,12601,0.693496096739,0.648721858788,0.798919255733
2020-04-09,1,16,,,,,,,193,151,227,3353,2613,4144,9284,6561,12827,0.69344540936,0.648679351827,0.798869700716
2020-04-10,6,22,,,,,,,190,148,224,3284,2570,4017,9474,6709,13051,0.693402754569,0.648650532089,0.79882709239
2020-04-11,1,23,,,,,,,186,144,220,3218,2523,3899,9660,6853,13270,0.693365873706,0.648619363647,0.798792283375
2020-04-12,0,23,,,,,,,183,141,216,3154,2474,3790,9843,6995,13485,0.693333183453,0.648584701739,0.798759651556
2020-04-13,1,24,,,,,,,179,137,213,3091,2424,3691,10022,7133,13698,0.693303571229,0.648558009521,0.798728237871
2020-04-14,5,29,,,,,,,176,134,210,3030,2373,3602,10198,7267,13908,0.693276253349,0.648533564753,0.798697754692
2020-04-15,1,30,,,,,,,172,130,207,2971,2321,3521,10370,7398,14114,0.693250676478,0.648510453449,0.798668018096
2020-04-16,2,32,,,,,,,169,127,204,2914,2269,3447,10539,7525,14317,0.69322644895,0.64848831619,0.798638910283
2020-04-17,1,33,,,,,,,166,125,200,2857,2219,3378,10705,7650,14517,0.693203292762,0.648467052741,0.798610355603
2020-04-18,0,33,,,,,,,163,122,197,2802,2169,3315,10868,7773,14714,0.693181009947,0.648446543005,0.79858230525
2020-04-19,2,35,,,,,,,160,118,195,2749,2120,3256,11027,7891,14908,0.693159459011,0.648426688599,0.798555102501
2020-04-20,2,37,,,,,,,156,116,192,2696,2072,3201,11184,8007,15099,0.693138594972,0.648407419199,0.798529717051
2020-04-21,1,38,,,,,,,153,113,189,2644,2024,3150,11337,8121,15288,0.693118318857,0.648390530895,0.798504853247
2020-04-22,0,38,,,,,,,150,110,186,2594,1976,3102,11488,8231,15473,0.693098670388,0.648371380255,0.798480482651
2020-04-23,2,40,,,,,,,147,106,183,2544,1928,3055,11635,8338,15656,0.693079538961,0.648353122652,0.798456584879
2020-04-24,0,40,,,,,,,144,103,180,2495,1881,3009,11779,8442,15836,0.693061049711,0.648335543509,0.798433144935
2020-04-25,1,41,,,,,,,141,100,177,2447,1833,2962,11921,8542,16012,0.69304325607,0.64831754183,0.798410150745
2020-04-26,0,41,,,,,,,139,97,174,2399,1786,2917,12059,8640,16186,0.693025888089,0.648300817631,0.798387595095
2020-04-27,0,41,,,,,,,136,95,171,2352,1740,2872,12195,8735,16357,0.693009034802,0.648283884405,0.798365469709
2020-04-28,3,44,,,,,,,133,92,168,2306,1694,2827,12328,8827,16525,0.692992917951,0.64826741829,0.798343768612
2020-04-29,1,45,,,,,,,130,89,166,2260,1649,2783,12458,8917,16690,0.692977385488,0.648251449556,0.798322489328
2020-04-30,0,45,,,,,,,127,86,163,2214,1606,2738,12585,9004,16852,0.69296263238,0.648244518028,0.798301630528
2020-05-01,0,45,,,,,,,124,84,160,2170,1563,2695,12709,9088,17011,0.692948720656,0.648242506122,0.798281183266
2020-05-02,1,46,,,,,,,121,82,157,2125,1519,2651,12830,9170,17168,0.692935841819,0.648238241051,0.798261145061
2020-05-03,0,46,,,,,,,119,79,154,2081,1477,2608,12949,9250,17321,0.692924192077,0.648230573586,0.798241513961
2020-05-04,0,46,,,,,,,116,77,151,2038,1435,2564,13065,9327,17472,0.692914026162,0.648222519595,0.798222288706
2020-05-05,0,46,,,,,,,113,75,148,1994,1394,2520,13178,9402,17619,0.692905674744,0.648211089607,0.798203468946
2020-05-06,2,48,,,,,,,110,72,145,1951,1354,2477,13288,9475,17764,0.69289956714,0.648198518153,0.798185055565
2020-05-07,1,49,,,,,,,108,70,142,1909,1314,2433,13396,9546,17905,0.69289626094,0.648196927571,0.798167667462
2020-05-08,0,49,,,,,,,105,68,139,1866,1276,2388,13501,9614,18044,0.692896480708,0.648199556807,0.798151116572
2020-05-09,0,49,,,,,,,102,66,136,1824,1238,2344,13603,9681,18179,0.692901168573,0.648208966199,0.798132376975
2020-05-10,1,50,,,,,,,100,64,133,1782,1203,2300,13703,9745,18311,0.692911550432,0.648205010951,0.798114367052
2020-05-11,0,50,,,,,,,97,62,130,1740,1168,2255,13800,9808,18440,0.692929222614,0.648199512025,0.798097195987
2020-05-12,0,50,,,,,,,94,60,126,1699,1133,2210,13894,9869,18566,0.692956265412,0.648196652977,0.798081009136
2020-05-13,4,54,,,,,,,91,58,123,1657,1100,2165,13985,9927,18689,0.692995391839,0.64820060964,0.798069126144
2020-05-14,0,54,,,,,,,89,56,120,1616,1067,2119,14074,9984,18809,0.693050142491,0.64819590295,0.798064215152
2020-05-15,0,54,,,,,,,86,55,117,1575,1035,2074,14160,10039,18925,0.693125140672,0.648204968833,0.798050502219
2020-05-16,1,55,,,,,,,83,53,114,1534,1004,2028,14243,10093,19038,0.693226425957,0.648232417401,0.798037751391
2020-05-17,1,56,,,,,,,81,51,111,1494,973,1981,14324,10144,19149,0.693361889359,0.648247981318,0.798026208955
2020-05-18,3,59,,,,,,,78,49,107,1453,943,1935,14402,10194,19256,0.693541839078,0.648246980155,0.798017055956
2020-05-19,1,60,,,,,,,76,47,105,1413,914,1888,14478,10241,19360,0.693779732296,0.648248398886,0.798033728296
2020-05-20,0,60,,,,,,,73,46,101,1373,885,1842,14551,10287,19461,0.694093114723,0.648250550449,0.798044184096
2020-05-21,1,61,,,,,,,70,44,99,1332,856,1795,14621,10332,19559,0.694504814052,0.648280165227,0.798031328883
2020-05-22,0,61,,,,,,,68,42,96,1292,828,1749,14689,10374,19654,0.695044432538,0.648302549999,0.798019591163
2020-05-23,2,63,,,,,,,65,40,92,1253,801,1702,14754,10415,19745,0.695750171378,0.648324605278,0.798023519673
2020-05-24,0,63,,,,,,,63,39,89,1213,773,1655,14816,10455,19834,0.69667098393,0.64837125204,0.798059363453
2020-05-25,0,63,,,,,,,60,37,86,1173,746,1608,14876,10492,19919,0.697868977292,0.648430688346,0.798116228143
2020-05-26,2,65,,,,,,,57,35,82,1134,719,1561,14934,10528,20001,0.699421833309,0.648558572253,0.798202583265
2020-05-27,1,66,,,,,,,55,33,79,1095,692,1514,14989,10562,20080,0.701424762349,0.648726767531,0.79833027746
2020-05-28,2,68,,,,,,,53,32,77,1057,666,1468,15042,10594,20156,0.703991102138,0.64899901905,0.798515787817
2020-05-29,0,68,,,,,,,52,31,75,1020,640,1422,15094,10625,20231,0.70725013536,0.64937544243,0.800663757574
2020-05-30,2,70,,,,,,,50,30,73,984,616,1378,15144,10656,20303,0.711340174122,0.649831109896,0.801459685256
2020-05-31,0,70,,,,,,,49,29,71,950,592,1335,15193,10685,20373,0.716395358532,0.650476773105,0.802521921745
2020-06-01,0,70,,,,,,,48,28,69,916,569,1293,15241,10713,20441,0.722525257003,0.651389987717,0.812163720021
2020-06-02,1,71,,,,,,,47,27,68,885,547,1253,15287,10741,20508,0.729790826281,0.652677977575,0.830287089616
2020-06-03,0,71,,,,,,,46,27,66,855,527,1214,15333,10768,20573,0.738184816426,0.654377879506,0.854790158889
2020-06-04,0,71,,,,,,,45,27,65,827,508,1178,15378,10795,20638,0.747627228454,0.656909190619,0.872976164854
2020-06-05,0,71,,,,,,,45,26,65,802,490,1144,15423,10822,20702,0.757981028366,0.660428696707,0.903095237002
2020-06-06,0,71,,,,,,,44,26,64,778,474,1113,15467,10849,20766,0.769080501715,0.665280583328,0.931568083945
2020-06-07,0,71,,,,,,,44,26,64,757,460,1084,15511,10876,20829,0.780755197358,0.671891870281,0.951540396116
2020-06-08,0,71,,,,,,,44,26,64,739,447,1059,15555,10902,20893,0.792837598006,0.68075980369,0.968699120318
2020-06-09,1,72,,,,,,,44,26,64,722,436,1038,15599,10929,20956,0.80515846254,0.692402778813,0.988553652765
