date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-01-22,,,,,,,,,527,271,771,527,271,771,527,271,771,1.71713377499,1.6,1.97649395154
2020-01-23,,,,,,,,,527,271,771,1054,542,1542,1054,542,1542,1.7171337597,1.59999996217,1.79999999999
2020-01-24,,,,,,,,,527,271,771,1581,813,2313,1581,813,2313,1.71713375381,1.59999994841,1.79999999999
2020-01-25,,,,,,,,,527,271,771,2109,1084,3083,2109,1084,3083,1.71713374562,1.59999992966,1.79999999998
2020-01-26,,,,,,,,,527,271,771,2636,1355,3854,2636,1355,3854,1.71713373426,1.59999990408,1.79999999997
2020-01-27,,,,,,,,,527,271,771,3163,1626,4625,3163,1626,4625,1.71713371845,1.5999998692,1.79999999994
2020-01-28,,,,,,,,,527,271,771,3690,1897,5395,3690,1897,5395,1.71713369647,1.59999982163,1.79999999991
2020-01-29,,,,,,,,,527,271,771,4217,2168,6166,4217,2168,6166,1.71713366586,1.59999976695,1.79999999986
2020-01-30,,,,,,,,,527,271,771,4744,2439,6937,4744,2439,6937,1.71713362322,1.59999967668,1.79999999977
2020-01-31,,,,,,,,,1425,803,2007,6169,3242,8943,6169,3242,8943,1.71704649538,1.59987949204,1.79995323154
2020-02-01,,,,,,,,,1419,800,1998,7588,4043,10940,7588,4043,10940,1.71703552879,1.5998643526,1.79994734552
2020-02-02,,,,,,,,,1490,845,2088,9078,4888,13028,9078,4888,13028,1.71700591617,1.59982511407,1.79993094582
2020-02-03,,,,,,,,,1637,938,2282,10715,5827,15310,10715,5827,15310,1.71697637704,1.59978597331,1.79991458124
2020-02-04,,,,,,,,,1943,1126,2676,12659,6953,17985,12659,6953,17985,1.71694529468,1.59974550181,1.79989729453
2020-02-05,,,,,,,,,2421,1408,3294,15080,8362,21279,15080,8362,21279,1.71691105488,1.59970102354,1.79987812888
2020-02-06,,,,,,,,,2795,1636,3821,17348,9728,24328,17875,9999,25099,1.71687030692,1.59964885689,1.79985509576
2020-02-07,,,,,,,,,3122,1835,4295,19942,11293,27852,20997,11835,29393,1.71681943079,1.59958472308,1.79982603784
2020-02-08,,,,,,,,,3511,2055,4870,22926,13078,31951,24508,13891,34263,1.71676050036,1.5995112888,1.79979191546
2020-02-09,,,,,,,,,3982,2305,5571,26381,15112,36751,28490,16196,39833,1.71669439548,1.59942990694,1.79975314877
2020-02-10,,,,,,,,,4577,2636,6461,30431,17477,42440,33066,18832,46294,1.71661964084,1.59933919571,1.79970923179
2020-02-11,,,,,,,,,5213,3009,7420,35117,20215,49089,38280,21841,53713,1.71653431999,1.59923705463,1.79965861668
2020-02-12,,,,,,,,,5880,3414,8434,40469,23359,56752,44159,25256,62147,1.7164355251,1.59912058916,1.79960105032
2020-02-13,,,,,,,,,6613,3863,9563,46555,26952,65543,50772,29120,71709,1.71632195668,1.59898951738,1.79953491567
2020-02-14,,,,,,,,,7445,4328,10857,53473,31009,75629,58217,33448,82565,1.71619236379,1.5988426826,1.79945969374
2020-02-15,1,1,,,,,,,8403,4865,12356,60451,35071,85978,66620,38314,94920,1.71604445842,1.59867744753,1.79937433718
2020-02-16,0,1,,,,,,,9475,5429,14046,68507,39700,98026,76095,43743,108966,1.71587487759,1.59849163669,1.79927731961
2020-02-17,0,1,,,,,,,10657,6011,15925,77674,44865,111862,86752,49754,124890,1.71567918459,1.59827470628,1.79916673898
2020-02-18,0,1,,,,,,,11969,6655,18027,88006,50583,127607,98721,56410,142916,1.71545235602,1.59803602817,1.79904075956
2020-02-19,0,1,,,,,,,13437,7367,20399,99500,56824,145330,112159,63778,163315,1.71518830964,1.59771718288,1.79889634039
2020-02-20,0,1,,,,,,,15090,8154,23088,112169,63570,165124,127249,71932,186402,1.71487886743,1.59736496551,1.79871568834
2020-02-21,0,1,,,,,,,16942,9004,26123,126316,70938,187427,144191,80937,212525,1.71451282154,1.59697329202,1.79849912726
2020-02-22,0,1,,,,,,,19010,9906,29535,142205,79008,212666,163201,90843,242059,1.71407480221,1.59650888843,1.79823495448
2020-02-23,0,1,,,,,,,21318,10963,33377,160011,87916,241174,184519,101807,275436,1.71354383034,1.59592874606,1.79802431389
2020-02-24,0,1,,,,,,,23896,12039,37693,179926,97650,273296,208415,113846,313129,1.7128908755,1.59521928421,1.79771889741
2020-02-25,0,1,,,,,,,26782,13288,42555,202131,108302,309389,235197,127135,355683,1.71207501149,1.59433366095,1.79735518719
2020-02-26,1,2,,,,,,,30009,14660,48027,226927,119954,349997,265206,141796,403709,1.71103786006,1.59321003848,1.79691393862
2020-02-27,0,2,,,,,,,33612,16034,54174,254659,132573,395737,298818,157830,457883,1.70969557286,1.59176621945,1.79652110319
2020-02-28,0,2,,,,,,,37628,17520,61070,285675,146230,447244,336447,175350,518953,1.70792719849,1.58978531926,1.79597902842
2020-02-29,0,2,,,,,,,42098,19013,68791,320327,160915,505178,378544,194364,587743,1.70555771072,1.58706037216,1.79532596494
2020-03-01,0,2,,,,,,,47062,20775,77388,358986,176825,570210,425606,215139,665130,1.70233355568,1.58383762863,1.79452383773
2020-03-02,1,3,,,,,,,52554,22539,86953,402065,193935,643118,478160,237678,752083,1.69788838801,1.57862172519,1.79351575177
2020-03-03,1,4,,,,,,,58594,24703,97488,450001,212627,724681,536754,262382,849570,1.69169703389,1.5706659655,1.79188421528
2020-03-04,0,4,,,,,,,65180,27146,108915,503212,233118,815569,601933,289528,958485,1.68301802433,1.55917943297,1.79011381924
2020-03-05,2,6,,,,,,,72270,29877,121420,562045,255628,916590,674203,319406,1079905,1.67083184716,1.54360435153,1.78774516694
2020-03-06,3,9,,,,,,,79764,32869,134560,626719,280342,1028063,753967,352275,1214464,1.65379762808,1.52054963234,1.78443697625
