date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-02,,,,,,,,,63,34,89,63,34,89,63,34,89,1.51138697986,1,1.8
2020-03-03,,,,,,,,,63,34,89,126,68,178,126,68,178,1.51130606046,1.00000055654,1.79999532471
2020-03-04,,,,,,,,,63,34,89,189,102,267,189,102,267,1.51128253626,1.00000075886,1.7999935093
2020-03-05,,,,,,,,,63,34,89,252,136,356,252,136,356,1.5112520735,1.00000103495,1.79999098896
2020-03-06,,,,,,,,,63,34,89,315,170,445,315,170,445,1.51121259296,1.00000141183,1.79998738216
2020-03-07,,,,,,,,,63,34,89,378,204,534,378,204,534,1.51116138191,1.00000192639,1.79998193037
2020-03-08,,,,,,,,,63,34,89,441,238,623,441,238,623,1.51109489815,1.0000026291,1.79997480612
2020-03-09,,,,,,,,,63,34,89,504,272,712,504,272,712,1.5110085126,1.00000358896,1.79996461939
2020-03-10,,,,,,,,,63,34,89,567,306,801,567,306,801,1.51089617139,1.00000490035,1.79995099691
2020-03-11,,,,,,,,,157,83,232,725,389,1033,725,389,1033,1.51071134948,0.999980910096,1.79990029635
2020-03-12,,,,,,,,,156,83,231,881,472,1263,881,472,1263,1.51051606026,0.999980110246,1.79986812569
2020-03-13,,,,,,,,,163,85,241,1044,558,1504,1044,558,1504,1.5102555681,0.999976986436,1.79982067622
2020-03-14,,,,,,,,,176,91,266,1220,650,1769,1220,650,1769,1.50991951329,0.999975093416,1.79975640163
2020-03-15,,,,,,,,,205,106,316,1425,756,2085,1425,756,2085,1.5094840327,0.999974772324,1.7996700802
2020-03-16,,,,,,,,,249,127,397,1674,883,2481,1674,883,2481,1.50891809147,0.999976491015,1.79955249239
2020-03-17,,,,,,,,,283,144,461,1894,994,2853,1957,1028,2942,1.50818070863,0.999980744995,1.79939029733
2020-03-18,,,,,,,,,311,159,518,2143,1119,3281,2269,1187,3459,1.50721875068,0.999988352863,1.79916521266
2020-03-19,,,,,,,,,344,173,586,2424,1258,3777,2613,1360,4044,1.50596564585,1.0000011683,1.79885436987
2020-03-20,,,,,,,,,383,185,668,2744,1410,4355,2996,1546,4711,1.50433469625,1.00002155568,1.79842495927
2020-03-21,,,,,,,,,432,203,768,3112,1580,5034,3428,1750,5479,1.50221362252,1.00005246653,1.79783869369
2020-03-22,,,,,,,,,482,219,874,3532,1765,5819,3910,1969,6353,1.49945952384,1.00009790842,1.79707123735
2020-03-23,,,,,,,,,534,234,982,4002,1966,6711,4444,2204,7334,1.49589262425,1.00016322796,1.7960235608
2020-03-24,,,,,,,,,588,252,1096,4527,2184,7718,5032,2456,8430,1.49129165169,1.0002558359,1.79459272189
2020-03-25,,,,,,,,,648,268,1221,5112,2419,8849,5679,2725,9650,1.48538981766,1.00038575981,1.79263828306
2020-03-26,1,1,,,,,,,714,281,1356,5668,2617,9974,6393,3006,11006,1.4778753739,1.0005663821,1.78996882174
2020-03-27,0,1,,,,,,,784,294,1496,6296,2828,11239,7177,3301,12502,1.46840028109,1.00081540791,1.78632503496
2020-03-28,0,1,,,,,,,858,309,1701,6991,3053,12699,8035,3611,14202,1.45660050416,1.0011559703,1.78135848499
2020-03-29,2,3,,,,,,,933,321,1847,7748,3283,14279,8968,3933,16048,1.44213108747,1.00161779258,1.77460621571
2020-03-30,4,7,,,,,,,1011,333,2012,8554,3510,15976,9979,4266,18060,1.42471538334,1.00223807342,1.7659137806
2020-03-31,0,7,,,,,,,1091,346,2225,9396,3730,17803,11070,4613,20284,1.40420252208,1.00306162827,1.7545877596
2020-04-01,3,10,,,,,,,1171,357,2432,10284,3942,19774,12241,4970,22716,1.38062033836,1.00413958444,1.7383776399
2020-04-02,4,14,,,,,,,1249,367,2594,11222,4151,21851,13491,5338,25309,1.35420647017,1.00552568075,1.716866344
2020-04-03,1,15,,,,,,,1324,378,2802,12202,4356,24067,14815,5717,28110,1.32540337905,1.00726934053,1.69106506471
2020-04-04,0,15,,,,,,,1395,389,2948,13213,4559,26347,16210,6106,31058,1.29481481359,1.00940543489,1.65363030101
2020-04-05,7,22,,,,,,,1460,400,3067,14242,4756,28646,17670,6506,34125,1.26313789854,1.01194231688,1.60707593013
2020-04-06,0,22,,,,,,,1519,411,3249,15279,4947,31021,19189,6917,37373,1.23109582828,1.00796337551,1.55265833054
2020-04-07,0,22,,,,,,,1571,422,3394,16316,5135,33433,20760,7340,40766,1.19939180656,0.999558653079,1.49365410345
2020-04-08,0,22,,,,,,,1615,434,3562,17343,5317,35898,22375,7774,44328,1.1686877294,0.986514253381,1.43463351267
2020-04-09,1,23,,,,,,,1652,441,3693,18347,5490,38371,24027,8216,48020,1.13959399023,0.965678560182,1.37687719226
2020-04-10,0,23,,,,,,,1681,449,3718,19314,5659,40733,25707,8665,51738,1.11265200196,0.94192438709,1.33403779706
2020-04-11,1,24,,,,,,,1703,457,3714,20233,5821,42950,27410,9122,55452,1.08830102107,0.931639447155,1.29768162021
2020-04-12,1,25,,,,,,,1719,465,3726,21095,5977,44976,29129,9588,59177,1.06683727865,0.91728877168,1.23660628867
2020-04-13,0,25,,,,,,,1730,477,3713,21892,6132,46842,30860,10065,62890,1.04838390411,0.907194062473,1.19385791524
2020-04-14,1,26,,,,,,,1737,489,3712,22618,6288,48542,32597,10555,66601,1.03288773952,0.895126582064,1.1555967997
