date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-16,,,,,,,,,42,21,59,42,21,59,42,21,59,1.64758974752,1.2,2
2020-02-17,,,,,,,,,42,21,59,84,43,118,84,43,118,1.64737828214,1.19982899083,1.99999604831
2020-02-18,,,,,,,,,42,21,59,126,64,177,126,64,177,1.6472900347,1.19973199344,1.9999936126
2020-02-19,,,,,,,,,42,21,59,168,86,236,168,86,236,1.64716423574,1.19960674622,1.99998967556
2020-02-20,,,,,,,,,42,21,59,209,107,295,209,107,295,1.64698459526,1.19942165833,1.99998331175
2020-02-21,,,,,,,,,42,21,59,251,129,354,251,129,354,1.64672764455,1.19914769687,1.99997302536
2020-02-22,,,,,,,,,42,21,59,293,150,413,293,150,413,1.64635955711,1.19876345607,1.99995639862
2020-02-23,,,,,,,,,42,21,59,335,172,472,335,172,472,1.64583159396,1.19824116135,1.99992952373
2020-02-24,,,,,,,,,42,21,59,377,193,531,377,193,531,1.64507363653,1.19760055833,1.99988626231
2020-02-25,,,,,,,,,110,56,166,487,250,697,487,250,697,1.64394599314,1.19648262279,1.99978046942
2020-02-26,,,,,,,,,110,56,166,597,306,862,597,306,862,1.64237875174,1.19457699494,1.99966259314
2020-02-27,,,,,,,,,115,58,177,712,364,1039,712,364,1039,1.64012700763,1.19194623467,1.99950233577
2020-02-28,,,,,,,,,126,62,197,838,426,1235,838,426,1235,1.63691750656,1.18853383732,1.99924030237
2020-02-29,,,,,,,,,148,72,241,986,499,1476,986,499,1476,1.63236690306,1.18389842472,1.99883687874
2020-03-01,,,,,,,,,183,85,309,1170,585,1784,1170,585,1784,1.6259725314,1.17718848371,1.9981953959
2020-03-02,,,,,,,,,210,96,361,1338,659,2085,1380,681,2144,1.61710862029,1.16807718514,1.99716781834
2020-03-03,,,,,,,,,232,104,405,1528,742,2430,1612,785,2548,1.60505687777,1.15511177122,1.99553004994
2020-03-04,,,,,,,,,258,114,454,1745,835,2825,1870,900,3002,1.58908892938,1.13910523871,1.99311738119
2020-03-05,,,,,,,,,288,125,520,1991,939,3285,2158,1025,3521,1.56859044456,1.1203154922,1.98956558706
2020-03-06,,,,,,,,,324,136,595,2273,1053,3821,2482,1161,4116,1.54319258217,1.09987353089,1.98417923103
2020-03-07,,,,,,,,,360,149,664,2590,1181,4425,2842,1310,4779,1.51284258929,1.08225855075,1.97605033057
2020-03-08,,,,,,,,,393,161,748,2942,1321,5114,3235,1471,5527,1.4777834142,1.06388218069,1.96384384703
2020-03-09,,,,,,,,,426,166,828,3325,1466,5882,3660,1638,6354,1.43849075287,1.04633562978,1.94568060751
2020-03-10,,,,,,,,,458,171,928,3741,1616,6750,4118,1810,7281,1.39562913938,1.02669875539,1.91902319064
2020-03-11,1,1,,,,,,,490,177,1033,4121,1738,7617,4608,1988,8313,1.35004702821,1.00033436296,1.88045357087
2020-03-12,0,1,,,,,,,520,183,1117,4531,1865,8568,5128,2172,9430,1.30279084261,0.982349150014,1.83161491357
2020-03-13,0,1,,,,,,,546,189,1178,4962,1996,9570,5674,2361,10608,1.25511357997,0.969244846642,1.76334571827
2020-03-14,1,2,,,,,,,567,194,1251,5403,2129,10624,6241,2555,11858,1.20845611119,0.956974341467,1.66919670162
2020-03-15,0,2,,,,,,,584,199,1324,5839,2255,11706,6825,2754,13182,1.16437369234,0.943183471897,1.56524773311
2020-03-16,0,2,,,,,,,598,202,1365,6254,2372,12762,7423,2957,14546,1.1243755172,0.930036617011,1.4515790754
2020-03-17,0,2,,,,,,,609,205,1415,6652,2481,13816,8032,3162,15960,1.08967538539,0.921297897654,1.36100937636
2020-03-18,0,2,,,,,,,616,208,1445,7036,2585,14856,8648,3370,17404,1.06093599562,0.914195765775,1.2782882336
2020-03-19,1,3,,,,,,,622,212,1453,7400,2682,15855,9270,3583,18857,1.03815270707,0.906782048952,1.20431389584
2020-03-20,0,3,,,,,,,626,215,1456,7739,2773,16791,9897,3798,20312,1.0207559176,0.903578865809,1.14072132728
2020-03-21,0,3,,,,,,,630,217,1446,8044,2854,17642,10526,4016,21758,1.00785730114,0.90218181093,1.0953777663
2020-03-22,0,3,,,,,,,632,218,1415,8317,2924,18393,11158,4234,23172,0.998496399092,0.900133851533,1.07375560167
2020-03-23,0,3,,,,,,,634,219,1391,8558,2982,19036,11793,4454,24562,0.991801044741,0.890461960936,1.06336679891
2020-03-24,0,3,,,,,,,636,227,1357,8768,3043,19566,12429,4681,25919,0.987055707392,0.876918334742,1.05920225734
2020-03-25,0,3,,,,,,,637,227,1357,8948,3099,19994,13066,4909,27275,0.983709131285,0.867464686152,1.05596225085
2020-03-26,0,3,,,,,,,639,227,1363,9096,3149,20325,13704,5137,28638,0.981353193728,0.861512310829,1.05401681627
2020-03-27,0,3,,,,,,,640,228,1365,9216,3193,20572,14344,5365,30002,0.979693305614,0.857302426793,1.05267459077
2020-03-28,4,7,,,,,,,641,230,1369,9311,3234,20763,14985,5595,31371,0.978520216994,0.854586718447,1.0517111472
2020-03-29,1,8,,,,,,,642,236,1373,9385,3276,20886,15626,5832,32744,0.97768677289,0.852535439621,1.05095212106
2020-03-30,0,8,,,,,,,642,241,1341,9443,3319,20903,16269,6074,34085,0.977090101426,0.850985345963,1.05048338298
2020-03-31,0,8,,,,,,,643,246,1315,9488,3363,20854,16912,6321,35399,0.976658520485,0.850065648673,1.05011041597
2020-04-01,2,10,,,,,,,644,251,1286,9524,3409,20725,17556,6572,36684,0.97634215083,0.849740086855,1.04985011204
2020-04-02,0,10,,,,,,,645,255,1276,9553,3457,20556,18201,6828,37960,0.976106289369,0.849497636021,1.04962079999
2020-04-03,4,14,,,,,,,646,258,1254,9576,3503,20357,18847,7086,39213,0.975926774855,0.849237983462,1.04947575803
2020-04-04,3,17,,,,,,,646,261,1244,9596,3549,20146,19493,7348,40457,0.97578676463,0.84904068224,1.049396255
2020-04-05,3,20,,,,,,,647,263,1219,9614,3595,19919,20140,7611,41676,0.975674498914,0.848927019896,1.04932879715
2020-04-06,2,22,,,,,,,648,262,1203,9629,3639,19707,20788,7874,42878,0.975581751693,0.84883261937,1.04927974377
2020-04-07,1,23,,,,,,,648,261,1200,9643,3680,19515,21436,8135,44077,0.975502757348,0.848758061253,1.04924830352
2020-04-08,1,24,,,,,,,649,260,1205,9657,3713,19363,22085,8395,45281,0.975433466446,0.848748375275,1.04919444729
2020-04-09,0,24,,,,,,,650,258,1207,9669,3745,19214,22735,8654,46488,0.975371029116,0.848681366599,1.04915409855
2020-04-10,1,25,,,,,,,650,257,1203,9681,3774,19054,23385,8911,47691,0.975313435756,0.848626050042,1.0491212743
2020-04-11,3,28,,,,,,,651,260,1209,9692,3806,18898,24036,9172,48899,0.975259266596,0.848535936866,1.04908838106
2020-04-12,1,29,,,,,,,651,260,1207,9703,3836,18735,24687,9432,50105,0.975208353811,0.848466718249,1.04905529053
2020-04-13,3,32,,,,,,,652,262,1207,9713,3862,18569,25339,9695,51312,0.975159102095,0.848423415468,1.04902191605
2020-04-14,3,35,,,,,,,652,264,1210,9723,3884,18437,25992,9959,52521,0.97511164252,0.848384493903,1.04899230452
2020-04-15,1,36,,,,,,,653,265,1214,9733,3903,18336,26644,10224,53735,0.975066223599,0.84835332595,1.04896050645
2020-04-16,2,38,,,,,,,653,265,1206,9742,3917,18256,27298,10489,54940,0.975022935566,0.848324830456,1.04892817741
2020-04-17,3,41,,,,,,,654,263,1206,9751,3925,18186,27952,10753,56145,0.974982647662,0.848300015256,1.04889580058
2020-04-18,0,41,,,,,,,654,264,1209,9759,3931,18141,28606,11017,57354,0.974941832525,0.848277086248,1.04886372529
2020-04-19,1,42,,,,,,,655,263,1213,9768,3932,18110,29261,11281,58567,0.974903548433,0.848313750939,1.04883219005
2020-04-20,1,43,,,,,,,655,262,1216,9776,3932,18107,29916,11543,59782,0.974867908953,0.848312255652,1.04880416372
2020-04-21,2,45,,,,,,,655,263,1219,9783,3933,18124,30571,11807,61001,0.974834151534,0.848318087519,1.04876967614
2020-04-22,4,49,,,,,,,656,261,1219,9791,3933,18143,31227,12068,62219,0.974804075877,0.84833853848,1.04873548676
2020-04-23,3,52,,,,,,,656,260,1218,9798,3933,18156,31883,12329,63437,0.974778562893,0.84836015132,1.04870192207
2020-04-24,2,54,,,,,,,656,258,1215,9805,3933,18164,32539,12587,64652,0.974759064544,0.848377178226,1.04866944549
2020-04-25,1,55,,,,,,,657,256,1210,9811,3932,18171,33196,12844,65862,0.974747387858,0.848409489504,1.04863871468
2020-04-26,1,56,,,,,,,657,254,1224,9817,3926,18187,33853,13098,67085,0.974745885123,0.848458998777,1.04861574645
2020-04-27,2,58,,,,,,,657,251,1232,9823,3916,18211,34510,13349,68316,0.97475762115,0.848531059897,1.04860060811
2020-04-28,0,58,,,,,,,657,249,1238,9828,3903,18242,35167,13598,69554,0.974786592435,0.848632943217,1.04863059278
2020-04-29,6,64,,,,,,,658,246,1241,9833,3885,18273,35825,13845,70794,0.974838014188,0.848839651557,1.04867141789
2020-04-30,2,66,,,,,,,658,240,1246,9838,3861,18305,36483,14086,72039,0.974918696051,0.849390985404,1.04870175605
2020-05-01,2,68,,,,,,,658,235,1248,9843,3832,18346,37141,14322,73286,0.975037533106,0.850165738918,1.04872334004
2020-05-02,4,72,,,,,,,658,231,1249,9847,3799,18390,37799,14553,74535,0.975206146017,0.8510049852,1.04897451469
2020-05-03,1,73,,,,,,,658,229,1255,9851,3764,18436,38457,14782,75789,0.975439712506,0.852056551819,1.04932170396
2020-05-04,5,78,,,,,,,659,227,1255,9855,3728,18478,39116,15009,77044,0.975758041425,0.8529857823,1.04982133021
2020-05-05,2,80,,,,,,,659,225,1257,9859,3691,18519,39775,15235,78300,0.976186949283,0.854176494407,1.05049506719
2020-05-06,4,84,,,,,,,659,220,1269,9863,3648,18569,40434,15455,79569,0.976760004434,0.855699124013,1.05136876697
2020-05-07,0,84,,,,,,,660,215,1283,9867,3602,18632,41094,15671,80851,0.977520701038,0.857641804085,1.05249263443
2020-05-08,2,86,,,,,,,661,211,1296,9872,3554,18710,41755,15883,82147,0.978525103565,0.860114022603,1.05392708873
2020-05-09,4,90,,,,,,,661,208,1305,9877,3504,18799,42416,16091,83451,0.979844946066,0.865493105973,1.05574342908
2020-05-10,1,91,,,,,,,662,204,1319,9883,3452,18908,43078,16296,84769,0.981571050389,0.871506378205,1.05802361496
2020-05-11,2,93,,,,,,,664,202,1332,9889,3400,19016,43742,16498,86101,0.983816701143,0.87949967736,1.06085854599
2020-05-12,2,95,,,,,,,666,200,1344,9898,3349,19128,44408,16698,87444,0.98672022682,0.890690466957,1.06434407475
2020-05-13,1,96,,,,,,,668,200,1357,9909,3300,19247,45076,16899,88801,0.990445438313,0.896984894427,1.06857394736
2020-05-14,3,99,,,,,,,671,201,1371,9923,3255,19378,45747,17100,90171,0.995177798425,0.897591343156,1.07377626521
