date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-27,,,,,,,,,80,40,110,80,40,110,80,40,110,2.44349529063,2,2.8
2020-02-28,,,,,,,,,80,40,110,159,80,220,159,80,220,2.43399184532,1.99388742467,2.79756357391
2020-02-29,,,,,,,,,80,40,110,239,120,330,239,120,330,2.43128376302,1.98454987486,2.79663704232
2020-03-01,,,,,,,,,80,40,110,318,160,440,318,160,440,2.42780085421,1.97915466783,2.7953701333
2020-03-02,,,,,,,,,80,40,110,398,200,550,398,200,550,2.42332572916,1.97277184295,2.79362719381
2020-03-03,,,,,,,,,80,40,110,477,240,660,477,240,660,2.41758470543,1.96606587413,2.79100334796
2020-03-04,,,,,,,,,80,40,110,557,280,770,557,280,770,2.41023682877,1.9577913827,2.78802170557
2020-03-05,,,,,,,,,80,40,110,637,320,880,637,320,880,2.40086328326,1.94506628061,2.78404722653
2020-03-06,,,,,,,,,80,40,110,716,360,990,716,360,990,2.38895921842,1.93242874861,2.7787522353
2020-03-07,,,,,,,,,267,137,383,983,497,1373,983,497,1373,2.37390877924,1.91562518708,2.76697694538
2020-03-08,,,,,,,,,265,135,382,1248,632,1755,1248,632,1755,2.35507957962,1.89703159346,2.75729363279
2020-03-09,,,,,,,,,284,145,414,1532,777,2169,1532,777,2169,2.33171200699,1.86994013217,2.73864720808
2020-03-10,,,,,,,,,324,160,480,1856,938,2649,1856,938,2649,2.30306240973,1.83738372407,2.7239148393
2020-03-11,,,,,,,,,406,192,617,2262,1130,3265,2262,1130,3265,2.26842405175,1.79388841593,2.70204482852
2020-03-12,,,,,,,,,533,251,830,2795,1381,4095,2795,1381,4095,2.22721221434,1.74274818185,2.67782797538
2020-03-13,,,,,,,,,629,293,1001,3344,1635,4986,3423,1675,5096,2.17904846238,1.67493428916,2.64740282582
2020-03-14,,,,,,,,,714,335,1154,3978,1930,6030,4137,2011,6250,2.12384516447,1.58786336145,2.61056056823
2020-03-15,,,,,,,,,817,389,1365,4715,2280,7284,4954,2400,7614,2.06188342056,1.51432045843,2.55945457505
2020-03-16,,,,,,,,,941,422,1649,5577,2663,8823,5895,2823,9263,1.99386803409,1.4688552198,2.48942908787
2020-03-17,,,,,,,,,1089,468,1990,6586,3092,10702,6984,3292,11252,1.92095034446,1.42488030493,2.42626028819
2020-03-18,,,,,,,,,1232,521,2279,7739,3574,12871,8217,3814,13531,1.84469430064,1.37511509045,2.36362144322
2020-03-19,,,,,,,,,1367,568,2580,9027,4102,15340,9584,4383,16110,1.76697273028,1.3269537138,2.28859005344
2020-03-20,,,,,,,,,1502,594,2897,10450,4657,18127,11087,4977,19007,1.68980923276,1.28525192892,2.20002920323
2020-03-21,,,,,,,,,1641,640,3226,12011,5258,21242,12728,5618,22232,1.61519496867,1.26006980168,2.08484020391
2020-03-22,2,2,,,,,,,1782,685,3543,13526,5806,24402,14510,6304,25775,1.5449149842,1.23076448892,1.98361346273
2020-03-23,1,3,,,,,,,1918,734,3825,15179,6405,27845,16428,7038,29600,1.48040667783,1.20505946902,1.87472459739
2020-03-24,0,3,,,,,,,2044,784,3952,16939,7045,31382,18472,7823,33551,1.42266406969,1.18893947214,1.76228585649
2020-03-25,1,4,,,,,,,2163,828,4207,18779,7712,35109,20635,8651,37758,1.37219807434,1.17526816406,1.66573103809
2020-03-26,2,6,,,,,,,2277,863,4411,20650,8383,38903,22912,9514,42168,1.3290573944,1.16467171676,1.5772878249
2020-03-27,0,6,,,,,,,2389,909,4620,22506,9042,42692,25301,10424,46787,1.29290410649,1.15937965918,1.49385950334
2020-03-28,0,6,,,,,,,2497,957,4815,24374,9706,46506,27798,11381,51601,1.26312439699,1.15056055553,1.42699050262
2020-03-29,4,10,,,,,,,2601,1008,5008,26261,10378,50359,30398,12389,56608,1.23894758286,1.13247458208,1.36499959185
2020-03-30,2,12,,,,,,,2701,1056,5187,28145,11045,54181,33099,13446,61795,1.21955027594,1.1139452397,1.31500551831
2020-03-31,4,16,,,,,,,2800,1105,5340,30004,11728,57872,35899,14552,67134,1.20413305374,1.10210988751,1.28149435695
2020-04-01,1,17,,,,,,,2898,1156,5437,31814,12416,61319,38798,15708,72570,1.19196778303,1.08916140965,1.26043627123
2020-04-02,2,19,,,,,,,2997,1209,5559,33578,13104,64599,41795,16918,78129,1.18242046467,1.07549860128,1.24302102169
2020-04-03,6,25,,,,,,,3096,1262,5696,35307,13797,67714,44891,18180,83824,1.17495678541,1.06708647423,1.23107435842
2020-04-04,7,32,,,,,,,3195,1308,5821,36999,14511,70639,48086,19488,89645,1.1691371195,1.06063907727,1.22393591283
2020-04-05,3,35,,,,,,,3295,1342,5985,38654,15213,73398,51381,20831,95629,1.16460611645,1.05504761224,1.21944691471
2020-04-06,11,46,,,,,,,3397,1400,6170,40269,15927,76025,54778,22231,101799,1.161080302,1.05102748669,1.21471204042
2020-04-07,4,50,,,,,,,3501,1448,6359,41852,16642,78559,58280,23680,108158,1.15833573359,1.04234945211,1.21147266987
2020-04-08,4,54,,,,,,,3607,1505,6553,43415,17362,81160,61887,25186,114710,1.156196766,1.03516538288,1.20888077057
2020-04-09,15,69,,,,,,,3716,1555,6750,44968,18090,83703,65603,26741,121460,1.15452635903,1.02939774224,1.20681902682
2020-04-10,11,80,,,,,,,3827,1609,6916,46518,18836,86208,69429,28350,128375,1.15321799777,1.02477562046,1.20523805253
2020-04-11,20,100,,,,,,,3940,1664,7075,48069,19590,88663,73370,30015,135450,1.15218911192,1.01850973158,1.20397083104
2020-04-12,9,109,,,,,,,4057,1736,7236,49629,20369,91085,77427,31751,142685,1.15137580491,1.01526329008,1.20281499496
2020-04-13,3,112,,,,,,,4177,1788,7381,51205,21150,93457,81603,33540,150065,1.15072868307,1.03266794227,1.20196722166
2020-04-14,15,127,,,,,,,4299,1833,7543,52803,21927,95814,85902,35373,157608,1.15020958442,1.03161563975,1.20128424957
2020-04-15,4,131,,,,,,,4426,1880,7650,54429,22702,98125,90328,37254,165258,1.14978902863,1.03077128005,1.20072112283
2020-04-16,13,144,,,,,,,4555,1917,7811,56086,23463,100499,94883,39172,173069,1.14944423737,1.0287451863,1.20023447519
2020-04-17,9,153,,,,,,,4689,1955,8071,57777,24209,103011,99572,41127,181140,1.1491523607,1.02816136448,1.19989365755
