date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-01,,,,,,,,,82,42,121,82,42,121,82,42,121,1.37943456147,1,1.8
2020-03-02,,,,,,,,,82,42,121,163,85,242,163,85,242,1.37905688978,0.99983889035,1.79994235257
2020-03-03,,,,,,,,,82,42,121,245,128,363,245,128,363,1.3788987071,0.999755333905,1.79991489343
2020-03-04,,,,,,,,,82,42,121,326,171,484,326,171,484,1.37867301095,0.999642550838,1.79987136881
2020-03-05,,,,,,,,,82,42,121,408,214,605,408,214,605,1.37835050377,0.999494158495,1.79980984005
2020-03-06,,,,,,,,,82,42,121,490,257,726,490,257,726,1.37788907362,0.999291008726,1.79969489434
2020-03-07,,,,,,,,,82,42,121,571,300,847,571,300,847,1.37722827885,0.999006733212,1.79953039664
2020-03-08,,,,,,,,,82,42,121,653,343,968,653,343,968,1.37628164834,0.998609822857,1.79930221373
2020-03-09,,,,,,,,,82,42,121,734,386,1089,734,386,1089,1.37492618459,0.998060540185,1.7989596872
2020-03-10,,,,,,,,,192,114,305,927,501,1394,927,501,1394,1.37286627759,0.997173801884,1.7982790314
2020-03-11,,,,,,,,,191,114,303,1118,615,1697,1118,615,1697,1.37009113653,0.995942742121,1.79737241661
2020-03-12,,,,,,,,,198,119,319,1316,734,2015,1316,734,2015,1.36614654446,0.994440820841,1.79591221907
2020-03-13,,,,,,,,,212,125,350,1527,860,2364,1527,860,2364,1.36062927609,0.992452940962,1.79365770739
2020-03-14,,,,,,,,,241,138,409,1768,998,2772,1768,998,2772,1.35301437374,0.989424578982,1.79014401697
2020-03-15,,,,,,,,,286,156,496,2054,1154,3268,2054,1154,3268,1.34271175743,0.985713845929,1.78467330003
2020-03-16,,,,,,,,,318,168,561,2291,1280,3707,2373,1323,3828,1.32914781819,0.9809285353,1.77644598976
2020-03-17,,,,,,,,,343,177,616,2552,1415,4202,2715,1501,4444,1.31189765397,0.974872422936,1.76547308083
2020-03-18,,,,,,,,,368,187,679,2839,1559,4759,3084,1688,5122,1.29082346096,0.967296902012,1.75140804231
2020-03-19,,,,,,,,,396,196,749,3153,1712,5387,3479,1884,5871,1.26612906635,0.958580627897,1.73210382378
2020-03-20,,,,,,,,,428,207,838,3499,1877,6103,3907,2092,6708,1.2383148232,0.949155803959,1.70595431124
2020-03-21,,,,,,,,,457,218,920,3875,2053,6902,4364,2311,7628,1.20807899662,0.936832341302,1.67126038243
2020-03-22,,,,,,,,,481,230,982,4275,2241,7763,4846,2541,8610,1.17623108362,0.924533873982,1.6266960205
2020-03-23,,,,,,,,,502,240,1031,4695,2438,8672,5348,2782,9640,1.14364184829,0.912205804288,1.57077803194
2020-03-24,,,,,,,,,520,249,1082,5134,2645,9633,5868,3032,10722,1.11120629405,0.900450977481,1.50896846604
2020-03-25,1,1,,,,,,,537,257,1111,5479,2788,10439,6406,3289,11832,1.07980952833,0.889877529735,1.44317353323
2020-03-26,1,2,,,,,,,552,267,1144,5840,2942,11279,6958,3557,12975,1.05029336587,0.876579615982,1.38668617194
2020-03-27,1,3,,,,,,,563,272,1186,6205,3095,12146,7520,3829,14161,1.02341796061,0.866871594785,1.31756723143
2020-03-28,0,3,,,,,,,571,275,1207,6564,3244,13004,8091,4104,15367,0.99980575138,0.861848363458,1.22843718352
2020-03-29,0,3,,,,,,,577,277,1216,6900,3383,13811,8668,4382,16583,0.979859647557,0.857971766438,1.17591897004
2020-03-30,0,3,,,,,,,582,278,1216,7195,3506,14530,9250,4661,17798,0.963682836293,0.855027808555,1.11253646142
2020-03-31,1,4,,,,,,,586,280,1197,7462,3618,15167,9835,4941,18994,0.951060076109,0.853034255724,1.08096825844
2020-04-01,2,6,,,,,,,589,283,1179,7708,3723,15729,10424,5224,20172,0.941531917786,0.851677738696,1.05833123604
2020-04-02,0,6,,,,,,,591,287,1159,7931,3823,16209,11015,5511,21331,0.934523757575,0.850752178935,1.05112531458
2020-04-03,2,8,,,,,,,593,292,1141,8129,3919,16602,11608,5804,22472,0.9294637932,0.850090644727,1.04982550034
