date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-17,,,,,,,,,140,72,197,140,72,197,140,72,197,2.20658516241,1.8,2.6
2020-02-18,,,,,,,,,140,72,197,279,144,394,279,144,394,2.20578656673,1.79960405361,2.59984841161
2020-02-19,,,,,,,,,140,72,197,419,216,591,419,216,591,2.20553445707,1.79948929204,2.59978015377
2020-02-20,,,,,,,,,140,72,197,559,288,788,559,288,788,2.20520135798,1.79933543222,2.59967773371
2020-02-21,,,,,,,,,140,72,197,698,360,985,698,360,985,2.20476079238,1.79913074594,2.59952751625
2020-02-22,,,,,,,,,140,72,197,838,432,1182,838,432,1182,2.20417749968,1.79889281539,2.59931550045
2020-02-23,,,,,,,,,140,72,197,978,504,1379,978,504,1379,2.20340450588,1.79844068261,2.59902426038
2020-02-24,,,,,,,,,140,72,197,1117,576,1576,1117,576,1576,2.20237923388,1.79789970436,2.59862441911
2020-02-25,,,,,,,,,140,72,197,1257,648,1773,1257,648,1773,2.20101836374,1.79721189541,2.5980627175
2020-02-26,,,,,,,,,444,239,642,1701,887,2415,1701,887,2415,2.19909634965,1.79621756334,2.59715087965
2020-02-27,,,,,,,,,442,238,638,2143,1126,3052,2143,1126,3052,2.19668142253,1.79507480618,2.59602117269
2020-02-28,,,,,,,,,474,255,692,2617,1382,3743,2617,1382,3743,2.1934469983,1.79358579098,2.59439728193
2020-02-29,,,,,,,,,538,290,802,3156,1673,4545,3156,1673,4545,2.18916908655,1.79169196769,2.59193100174
2020-03-01,,,,,,,,,673,361,1020,3828,2034,5565,3828,2034,5565,2.18350988126,1.78911074879,2.58852988231
2020-03-02,,,,,,,,,882,477,1362,4710,2512,6926,4710,2512,6926,2.17603382161,1.78546362565,2.58370473957
2020-03-03,,,,,,,,,1051,569,1652,5622,3009,8381,5761,3081,8578,2.1661834562,1.78040140245,2.5775076762
2020-03-04,,,,,,,,,1210,649,1931,6692,3587,10115,6971,3731,10509,2.15326519963,1.77342398305,2.56924340252
2020-03-05,,,,,,,,,1409,749,2287,7961,4264,12204,8380,4480,12795,2.13645392666,1.76431688185,2.55731911841
2020-03-06,,,,,,,,,1657,870,2726,9479,5062,14733,10037,5350,15521,2.11479018054,1.75205973969,2.5393535195
2020-03-07,,,,,,,,,1967,1030,3275,11305,6021,17810,12004,6381,18795,2.0872257025,1.735939585,2.51514899786
2020-03-08,,,,,,,,,2292,1194,3812,13458,7143,21425,14296,7575,22607,2.05272420938,1.70493410643,2.48054436956
2020-03-09,,,,,,,,,2627,1374,4367,15945,8445,25594,16923,8949,26973,2.01041000143,1.64803172504,2.43414549125
2020-03-10,,,,,,,,,2984,1560,5020,18789,9934,30417,19907,10510,31993,1.95975586947,1.57513561592,2.37248004165
2020-03-11,,,,,,,,,3368,1759,5667,22017,11621,35886,23274,12269,37659,1.90074870826,1.49915130065,2.30482932981
