date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-19,,,,,,,,,532,274,738,532,274,738,532,274,738,2.380135876,2,2.8
2020-02-20,,,,,,,,,532,274,738,1064,548,1476,1064,548,1476,2.3766179806,1.99664590787,2.79904258561
2020-02-21,,,,,,,,,532,274,738,1596,822,2213,1596,822,2213,2.37540663783,1.99555182688,2.7985772616
2020-02-22,,,,,,,,,532,274,738,2128,1097,2951,2128,1097,2951,2.37377121004,1.99401016148,2.79792699197
2020-02-23,,,,,,,,,532,274,738,2660,1371,3688,2660,1371,3688,2.37156163268,1.99190701893,2.79702508964
2020-02-24,,,,,,,,,532,274,738,3192,1645,4426,3192,1645,4426,2.36857500137,1.98910258875,2.79573163451
2020-02-25,,,,,,,,,532,274,738,3724,1920,5163,3724,1920,5163,2.3645377768,1.98568657393,2.793877523
2020-02-26,,,,,,,,,532,274,738,4256,2194,5901,4256,2194,5901,2.35908289867,1.98123351725,2.79122155346
2020-02-27,,,,,,,,,532,274,738,4788,2468,6638,4788,2468,6638,2.35172121915,1.97486193208,2.78741826808
2020-02-28,,,,,,,,,1770,947,2482,6558,3416,9120,6558,3416,9120,2.34074123223,1.96497936838,2.78110059257
2020-02-29,,,,,,,,,1757,943,2466,8315,4360,11585,8315,4360,11585,2.32731068874,1.95257804258,2.77314886052
2020-03-01,,,,,,,,,1884,1021,2653,10200,5382,14237,10200,5382,14237,2.30911664231,1.93627315995,2.76161771377
2020-03-02,,,,,,,,,2146,1162,3065,12345,6544,17302,12345,6544,17302,2.28516273956,1.9140228087,2.74536095867
2020-03-03,,,,,,,,,2687,1443,3927,15032,7987,21228,15032,7987,21228,2.25386318443,1.88609923658,2.72263151043
2020-03-04,,,,,,,,,3513,1877,5202,18546,9864,26430,18546,9864,26430,2.21347359438,1.84854907363,2.69306157017
2020-03-05,,,,,,,,,4129,2218,6057,22143,11809,31748,22675,12083,32486,2.16222496675,1.79712132062,2.65023286004
2020-03-06,,,,,,,,,4653,2518,6719,26264,14053,37729,27328,14602,39204,2.0986440594,1.73281705381,2.59198566995
2020-03-07,,,,,,,,,5264,2892,7690,30996,16671,44681,32592,17494,46894,2.02203825689,1.64328286977,2.51730078298
2020-03-08,,,,,,,,,5956,3339,8928,36420,19736,52871,38548,20833,55821,1.93272097784,1.54520158083,2.43515533439
2020-03-09,,,,,,,,,6730,3865,10179,42618,23327,62313,45278,24699,66000,1.83224946859,1.43413223049,2.32094217721
2020-03-10,,,,,,,,,7388,4320,11006,49474,27373,72580,52666,29019,77006,1.72346436655,1.31210443712,2.20886120359
2020-03-11,,,,,,,,,7898,4702,11632,56840,31801,83475,60564,33721,88637,1.61019159487,1.20812685492,2.11961453451
2020-03-12,,,,,,,,,8305,5005,12317,64613,36533,95054,68869,38727,100954,1.49674803998,1.11223471045,2.02228172795
2020-03-13,,,,,,,,,8628,5204,12733,72709,41463,107049,77497,43932,113686,1.38729525041,1.03162152735,1.90601943128
2020-03-14,1,1,,,,,,,8871,5300,13051,79810,45816,117618,86368,49232,126737,1.2853013073,0.965703084674,1.78971144893
2020-03-15,1,2,,,,,,,9003,5389,13435,87055,50261,128587,95370,54622,140172,1.19322614737,0.915478278933,1.69488320903
2020-03-16,1,3,,,,,,,9019,5390,13711,94190,54630,139645,104389,60012,153882,1.11244606526,0.874603852831,1.59015624726
2020-03-17,1,4,,,,,,,8946,5368,13835,100990,58836,150414,113335,65380,167716,1.04337181793,0.843192526078,1.48553487215
2020-03-18,2,6,,,,,,,8810,5323,13872,107113,62716,160360,122146,70704,181587,0.985660430938,0.812964100779,1.38417318957
