date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-17,,,,,,,,,75,38,106,75,38,106,75,38,106,2.59686827887,2.2,3
2020-02-18,,,,,,,,,75,38,106,149,76,212,149,76,212,2.59667233224,2.19975357815,2.99998697343
2020-02-19,,,,,,,,,75,38,106,224,114,318,224,114,318,2.5965834435,2.19962057915,2.99997943876
2020-02-20,,,,,,,,,75,38,106,298,152,424,298,152,424,2.59645388005,2.19941605442,2.99996404097
2020-02-21,,,,,,,,,75,38,106,373,190,530,373,190,530,2.59626473897,2.19910310076,2.99993881875
2020-02-22,,,,,,,,,75,38,106,448,228,636,448,228,636,2.59598816869,2.19874497947,2.99989778982
2020-02-23,,,,,,,,,75,38,106,522,266,742,522,266,742,2.59558305806,2.1981645741,2.99983138107
2020-02-24,,,,,,,,,75,38,106,597,304,848,597,304,848,2.59498862801,2.19729374721,2.99972629722
2020-02-25,,,,,,,,,75,38,106,672,342,954,672,342,954,2.59411491693,2.19602120836,2.99956439923
2020-02-26,,,,,,,,,268,133,396,939,475,1350,939,475,1350,2.59280274723,2.1944013395,2.99929793554
2020-02-27,,,,,,,,,267,132,394,1206,607,1743,1206,607,1743,2.59090359577,2.19216312149,2.99891874734
2020-02-28,,,,,,,,,291,142,434,1496,750,2177,1496,750,2177,2.58809496268,2.18853835282,2.99825907417
2020-02-29,,,,,,,,,340,164,514,1836,914,2690,1836,914,2690,2.5839568629,2.18178824125,2.99724510673
2020-03-01,,,,,,,,,441,211,680,2277,1126,3370,2277,1126,3370,2.57786277611,2.17104720773,2.99565502312
2020-03-02,,,,,,,,,601,279,943,2878,1405,4312,2878,1405,4312,2.5689107031,2.1564055532,2.99304293468
2020-03-03,,,,,,,,,734,334,1168,3538,1702,5374,3613,1740,5480,2.55582786349,2.13613118955,2.98883792462
2020-03-04,,,,,,,,,868,388,1405,4331,2053,6673,4481,2129,6885,2.53687967234,2.10951463853,2.98266636094
2020-03-05,,,,,,,,,1042,455,1714,5298,2470,8280,5522,2584,8598,2.5098286357,2.07295352553,2.97293050367
2020-03-06,,,,,,,,,1263,549,2114,6487,2981,10288,6785,3133,10712,2.47201539985,2.00895651453,2.96055831419
2020-03-07,,,,,,,,,1539,662,2639,7951,3606,12821,8324,3796,13351,2.42068079955,1.91153289965,2.93863022262
2020-03-08,,,,,,,,,1829,769,3211,9705,4337,15925,10152,4565,16561,2.35356490554,1.7928904118,2.90575053186
2020-03-09,,,,,,,,,2128,885,3826,11758,5185,19645,12280,5451,20387,2.26961105876,1.65036240779,2.8576233627
2020-03-10,,,,,,,,,2444,998,4443,14127,6145,23981,14724,6449,24829,2.16941726545,1.49002893833,2.788922042
2020-03-11,,,,,,,,,2776,1104,5081,16828,7212,28956,17500,7554,29910,2.05520606997,1.34733210266,2.71160758987
2020-03-12,1,1,,,,,,,3111,1176,6009,19671,8255,34569,20611,8730,35918,1.93046920872,1.22809855853,2.61921653048
2020-03-13,1,2,,,,,,,3422,1219,6913,22827,9342,41087,24032,9950,42830,1.79954767606,1.12043733876,2.52273280575
2020-03-14,1,3,,,,,,,3692,1240,7668,26228,10440,48321,27724,11191,50498,1.66720763721,1.05441695889,2.40698522076
2020-03-15,1,4,,,,,,,3914,1249,8546,29803,11525,56354,31639,12440,59043,1.53817218142,1.00453117372,2.29589718359
2020-03-16,0,4,,,,,,,4086,1245,8996,33448,12559,64669,35725,13685,68038,1.41667076167,0.958290427592,2.13403022469
2020-03-17,0,4,,,,,,,4204,1236,9641,37051,13516,73367,39929,14921,77678,1.30611880926,0.935869447771,1.98716933101
2020-03-18,3,7,,,,,,,4267,1226,9737,40583,14408,81935,44196,16148,87415,1.20895543141,0.913316147932,1.83690539358
2020-03-19,2,9,,,,,,,4277,1217,9851,43992,15236,90381,48473,17365,97266,1.126581681,0.891000330111,1.65878971981
2020-03-20,2,11,,,,,,,4245,1205,9830,47195,15986,98498,52717,18571,107095,1.05933067882,0.869759314398,1.47564903125
2020-03-21,4,15,,,,,,,4183,1200,9638,50116,16638,106022,56901,19771,116733,1.00648490778,0.846808506453,1.3401008946
2020-03-22,2,17,,,,,,,4102,1196,9292,52680,17171,112675,61003,20967,126025,0.966440675997,0.830006161646,1.21000788238
2020-03-23,0,17,,,,,,,4010,1192,9028,54861,17595,118492,65013,22160,135053,0.937059889437,0.818390342624,1.11494679435
2020-03-24,2,19,,,,,,,3910,1187,8674,56643,17896,123340,68923,23347,143727,0.916089189771,0.812075430963,1.04449595509
2020-03-25,2,21,,,,,,,3806,1179,8322,58005,18077,127219,72729,24527,152048,0.901481617548,0.805874291391,1.00823789705
2020-03-26,4,25,,,,,,,3701,1173,7936,58930,18146,130074,76430,25700,159983,0.891554548188,0.792658855414,0.975597742637
2020-03-27,1,26,,,,,,,3598,1170,7563,59417,18140,131628,80028,26871,167546,0.885015560106,0.777709901465,0.965876401998
2020-03-28,3,29,,,,,,,3497,1163,7274,59492,18084,131990,83524,28035,174820,0.88091695817,0.768532599974,0.965427495325
2020-03-29,2,31,,,,,,,3399,1158,6992,59199,18002,131314,86923,29193,181811,0.878585931471,0.762528735863,0.966350895733
2020-03-30,4,35,,,,,,,3305,1151,6709,58589,17903,129477,90228,30344,188520,0.877555711227,0.758644223017,0.968738430446
2020-03-31,9,44,,,,,,,3214,1143,6469,57717,17801,126950,93442,31487,194988,0.877507705021,0.756644651936,0.971757437972
2020-04-01,14,58,,,,,,,3128,1149,6164,56641,17715,123474,96570,32637,201152,0.878226484441,0.756558714495,0.975167687531
2020-04-02,28,86,,,,,,,3046,1143,5913,55420,17632,119650,99616,33781,207064,0.879566168995,0.75737052535,0.978963761637
2020-04-03,19,105,,,,,,,2969,1139,5661,54113,17555,115459,102585,34921,212724,0.881425862393,0.758341875533,0.983109435516
2020-04-04,25,130,,,,,,,2896,1131,5435,52763,17480,111065,105481,36052,218159,0.883731951454,0.758190103637,0.98752130378
2020-04-05,22,152,,,,,,,2827,1123,5234,51407,17404,106660,108308,37175,223393,0.8864255571,0.758835415202,0.992117166077
2020-04-06,21,173,,,,,,,2763,1119,5021,50067,17327,102389,111071,38295,228414,0.88945391186,0.760555941244,0.9968187943
2020-04-07,20,193,,,,,,,2703,1122,4828,48760,17256,98189,113773,39417,233242,0.892764810405,0.762366268781,1.00152479346
2020-04-08,12,205,,,,,,,2647,1128,4657,47497,17198,94172,116420,40545,237898,0.896303515965,0.76473379994,1.00613860537
2020-04-09,30,235,,,,,,,2594,1135,4496,46286,17154,90346,119014,41681,242393,0.900011629324,0.767422680563,1.0105738533
2020-04-10,21,256,,,,,,,2546,1136,4352,45130,17117,86762,121560,42818,246745,0.903827478762,0.770405887917,1.0147615282
2020-04-11,19,275,,,,,,,2501,1126,4194,44034,17073,83393,124062,43944,250938,0.907687608484,0.77364742255,1.01863110756
2020-04-12,18,293,,,,,,,2460,1115,4073,42997,17024,80192,126521,45059,255011,0.911528958493,0.777067830617,1.02215900234
2020-04-13,20,313,,,,,,,2421,1108,3927,42020,16975,77127,128943,46168,258937,0.915291355615,0.78065686482,1.02532647337
2020-04-14,13,326,,,,,,,2386,1108,3843,41101,16932,74261,131328,47276,262780,0.918919977731,0.784325848669,1.02813150005
2020-04-15,10,336,,,,,,,2352,1108,3771,40239,16896,71563,133681,48384,266551,0.922367509897,0.78799973135,1.03058528274
2020-04-16,12,348,,,,,,,2322,1108,3700,39433,16855,69099,136003,49492,270250,0.92618302844,0.791604056062,1.04359281759
