country,region,subregion,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,CA,Los Angeles,22.9654768852,10,41
US,FL,Miami-Dade,20.6123799558,11,32
US,TX,Harris,12.6211488438,5,21
US,AZ,Maricopa,10.8427605521,5,19
US,FL,Palm Beach,8.55882825514,4,14
US,NV,Clark,7.79310842637,4,13
US,CA,San Bernardino,7.72080305578,4,12
US,FL,Broward,7.54112775676,4,11
US,CA,Orange,6.92394384026,4,11
US,TX,Bexar,6.85730123245,3,12
US,CA,Riverside,6.18766641198,3,10
US,IL,Cook,5.56139219173,0,16
US,TX,Dallas,5.43381136505,2,9
US,NY,New York City,5.09938785583,0,25
US,TX,Tarrant,3.89425687548,2,7
Canada,,Quebec,3.83424032805,0,14
US,CA,Alameda,3.63157940578,2,6
US,CA,Sacramento,3.5648617817,1,7
US,CA,San Diego,3.05630560827,1,6
US,FL,Hillsborough,3.02177813068,1,5
US,FL,Orange,2.83892670504,1,5
US,MI,Wayne,2.42726247432,0,7
Canada,,Ontario,2.40664567526,0,7
US,MA,Middlesex,2.32737774961,0,7
US,PA,Philadelphia,1.69192852818,0,5
US,CA,Santa Clara,1.6866561727,0,4
US,WA,King,1.30824408475,0,4
US,MA,Suffolk,1.23897884119,0,4
Canada,,British Columbia,1.13258802664,0,3
Canada,,Alberta,0.923895129947,0,2
US,NV,Washoe,0.610777845183,0,2
US,NJ,Essex,0.592549615112,0,2
US,NJ,Bergen,0.518484931519,0,2
US,NY,Suffolk,0.420657005516,0,2
US,LA,Orleans,0.411950589737,0,1
US,NJ,Hudson,0.306916372257,0,1
US,NY,Westchester,0.281289393435,0,2
US,NY,Nassau,0.27331379739,0,2
