date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-23,,,,,,,,,193,98,265,193,98,265,193,98,265,3.78856023385,3.4,4.2
2020-02-24,,,,,,,,,193,98,265,387,196,530,387,196,530,3.78135502688,3.38997334113,4.19888306514
2020-02-25,,,,,,,,,193,98,265,580,294,795,580,294,795,3.77832634436,3.38565915129,4.19815823146
2020-02-26,,,,,,,,,193,98,265,773,392,1060,773,392,1060,3.7740110761,3.37948688678,4.19696344127
2020-02-27,,,,,,,,,193,98,265,967,490,1325,967,490,1325,3.76786166933,3.37066448865,4.19512124811
2020-02-28,,,,,,,,,193,98,265,1160,588,1590,1160,588,1590,3.75910267186,3.35782059184,4.19222794447
2020-02-29,,,,,,,,,193,98,265,1353,686,1855,1353,686,1855,3.74664391036,3.33897242768,4.18733613033
2020-03-01,,,,,,,,,193,98,265,1546,784,2120,1546,784,2120,3.7289698955,3.31192677058,4.17905474149
2020-03-02,,,,,,,,,193,98,265,1740,882,2385,1740,882,2385,3.70400906447,3.27342225528,4.16541457514
2020-03-03,,,,,,,,,900,450,1269,2639,1332,3654,2639,1332,3654,3.66687702422,3.20167594276,4.13986010189
2020-03-04,,,,,,,,,887,448,1242,3526,1781,4895,3526,1781,4895,3.6180419964,3.13663810588,4.1027439542
2020-03-05,,,,,,,,,995,510,1396,4521,2291,6291,4521,2291,6291,3.55038481838,3.00827485645,4.04146517374
2020-03-06,,,,,,,,,1210,631,1709,5731,2922,7999,5731,2922,7999,3.46013462444,2.80397227432,3.96205095767
2020-03-07,,,,,,,,,1650,878,2335,7381,3801,10334,7381,3801,10334,3.34257196379,2.58339961559,3.93882353273
2020-03-08,,,,,,,,,2301,1271,3301,9683,5072,13634,9683,5072,13634,3.19431163723,2.37051555289,3.84188880299
2020-03-09,,,,,,,,,2767,1613,4016,12256,6588,17385,12449,6686,17650,3.01441834975,2.1437603614,3.69492733619
2020-03-10,,,,,,,,,3176,1962,4601,15238,8452,21720,15625,8648,22250,2.80548601074,1.93829358237,3.5723257334
2020-03-11,,,,,,,,,3658,2368,5234,18704,10723,26688,19284,11017,27483,2.57412474608,1.67699848464,3.44766848807
2020-03-12,,,,,,,,,4186,2544,5983,22697,13170,32406,23470,13562,33466,2.32965379626,1.44714352478,3.35512041618
2020-03-13,,,,,,,,,4713,2676,7000,27216,15749,39140,28183,16239,40465,2.08295641389,1.259182993,3.13885037076
2020-03-14,,,,,,,,,5079,2745,7667,32102,18396,46542,33262,18984,48132,1.84517795962,1.12990682358,2.91837239847
2020-03-15,,,,,,,,,5294,2760,8186,37203,21058,54462,38556,21744,56317,1.62620929711,1.0476712946,2.69057003491
2020-03-16,,,,,,,,,5413,2760,8711,42422,23721,62908,43969,24505,65028,1.43349144777,0.994882937125,2.41198868938
2020-03-17,,,,,,,,,5456,2758,8897,47685,26381,71539,49425,27263,73924,1.27119018334,0.943943571987,2.09392466142
2020-03-18,1,1,,,,,,,5431,2760,9130,52216,28691,79400,54856,30023,83054,1.14013117089,0.911172413202,1.81114163984
2020-03-19,0,1,,,,,,,5330,2754,9026,56660,30996,87185,60186,32778,92080,1.03832181391,0.854376217156,1.5597168216
2020-03-20,0,1,,,,,,,5173,2736,8871,60838,33222,94660,65359,35514,100950,0.961841078732,0.821509313252,1.33866903319
2020-03-21,3,4,,,,,,,4986,2716,8497,64613,35307,101447,70345,38230,109446,0.905892664123,0.786808482651,1.16791879931
2020-03-22,0,4,,,,,,,4789,2692,8047,67753,37121,107160,75134,40922,117493,0.865720104154,0.745045976679,1.0321963216
2020-03-23,0,4,,,,,,,4592,2668,7685,70044,38518,111544,79727,43590,125178,0.837186469936,0.714276263542,0.944753940763
2020-03-24,0,4,,,,,,,4396,2642,7335,71673,39547,114863,84122,46233,132512,0.816998201329,0.689275650907,0.906197575229
2020-03-25,0,4,,,,,,,4200,2615,6853,72697,40200,117114,88322,48848,139364,0.802683022844,0.677426859033,0.894843714549
2020-03-26,0,4,,,,,,,4009,2584,6343,73048,40415,118223,92331,51433,145706,0.792455906963,0.653447487861,0.889381582945
2020-03-27,0,4,,,,,,,3825,2552,5855,72686,40423,118095,96156,53985,151561,0.78505899435,0.639441204761,0.885898552285
2020-03-28,3,7,,,,,,,3650,2520,5457,71623,40267,116553,99806,56506,157017,0.779618379979,0.631072733064,0.882930783868
2020-03-29,6,13,,,,,,,3484,2488,5022,70028,40010,113907,103290,58994,162038,0.775531785843,0.624118630851,0.880939936678
2020-03-30,0,13,,,,,,,3326,2455,4638,68059,39706,110359,106615,61450,166676,0.772385916429,0.620391066848,0.879662139653
2020-03-31,-9,4,,,,,,,3175,2422,4294,65821,39368,105942,109790,63873,170970,0.769897854327,0.617744709112,0.878542061087
2020-04-01,65,69,,,,,,,3032,2390,4002,63397,39000,101047,112822,66264,174971,0.767874043848,0.615983372065,0.877301751419
2020-04-02,30,99,,,,,,,2897,2356,3745,60863,38597,95662,115719,68621,178716,0.766181788565,0.614658086689,0.876293787401
2020-04-03,19,118,,,,,,,2768,2267,3483,58301,38110,90119,118487,70888,182198,0.764729735464,0.613380899528,0.875246069819
2020-04-04,37,155,,,,,,,2647,2178,3338,55775,37552,84586,121134,73067,185535,0.763454660265,0.612277402449,0.874233802479
