date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-21,,,,,,,,,76,39,104,76,39,104,76,39,104,2.00389289485,1.6,2.4
2020-02-22,,,,,,,,,76,39,104,151,78,208,151,78,208,2.00239982714,1.59923081875,2.39970410685
2020-02-23,,,,,,,,,76,39,104,227,117,312,227,117,312,2.0019184736,1.59896856943,2.39957066325
2020-02-24,,,,,,,,,76,39,104,303,156,416,303,156,416,2.00127911179,1.59855791025,2.39937706266
2020-02-25,,,,,,,,,76,39,104,378,195,520,378,195,520,2.00042908367,1.59799850938,2.39909621278
2020-02-26,,,,,,,,,76,39,104,454,234,624,454,234,624,1.99929808117,1.59715219023,2.39868884951
2020-02-27,,,,,,,,,76,39,104,530,273,728,530,273,728,1.99779233717,1.59615929559,2.39814115376
2020-02-28,,,,,,,,,76,39,104,605,312,832,605,312,832,1.99578705536,1.59491277981,2.39738823356
2020-02-29,,,,,,,,,76,39,104,681,351,936,681,351,936,1.9931166905,1.59328849228,2.39633789973
2020-03-01,,,,,,,,,225,121,320,906,472,1256,906,472,1256,1.98942892464,1.59082840613,2.39472684887
2020-03-02,,,,,,,,,224,121,319,1130,593,1575,1130,593,1575,1.98468874749,1.58785918081,2.39237217183
2020-03-03,,,,,,,,,237,129,342,1368,723,1916,1368,723,1916,1.97837436348,1.58333624984,2.38887550692
2020-03-04,,,,,,,,,266,146,388,1633,869,2303,1633,869,2303,1.97004584282,1.5772020943,2.38397615945
2020-03-05,,,,,,,,,324,175,487,1957,1045,2789,1957,1045,2789,1.95910768831,1.56919386848,2.37784949782
2020-03-06,,,,,,,,,414,223,641,2371,1268,3429,2371,1268,3429,1.94483894373,1.56024386529,2.36791464388
2020-03-07,,,,,,,,,483,256,756,2778,1486,4081,2854,1525,4185,1.92640049752,1.54722721928,2.35338019661
2020-03-08,,,,,,,,,544,287,859,3246,1734,4835,3398,1812,5043,1.9028802345,1.52890213782,2.33302912336
2020-03-09,,,,,,,,,616,322,985,3787,2018,5716,4014,2135,6028,1.87339001812,1.50542799553,2.30438936954
2020-03-10,,,,,,,,,702,362,1129,4413,2341,6741,4716,2497,7157,1.83718302962,1.47044027448,2.26458030982
2020-03-11,,,,,,,,,804,411,1321,5142,2714,7957,5520,2909,8477,1.79381246284,1.42871728975,2.21144547585
2020-03-12,,,,,,,,,904,460,1517,5971,3135,9370,6425,3369,9994,1.74328195899,1.3741983679,2.16499529277
2020-03-13,,,,,,,,,997,503,1680,6892,3600,10945,7422,3873,11673,1.68612595136,1.31050650803,2.13996980365
2020-03-14,,,,,,,,,1087,546,1847,7904,4108,12687,8510,4420,13519,1.62340054607,1.24909148352,2.07659960292
2020-03-15,,,,,,,,,1176,574,2007,9005,4643,14590,9686,4994,15526,1.55658333317,1.19280837854,1.99442892136
2020-03-16,1,1,,,,,,,1262,614,2161,10041,5135,16431,10948,5608,17687,1.48742811147,1.13896473794,1.90355221458
2020-03-17,0,1,,,,,,,1339,651,2324,11157,5666,18436,12287,6260,20011,1.41780871929,1.08232881633,1.85018760816
2020-03-18,0,1,,,,,,,1403,680,2480,12322,6216,20574,13690,6940,22490,1.34957056753,1.04851153575,1.79262091404
2020-03-19,1,2,,,,,,,1455,704,2608,13512,6775,22795,15145,7644,25098,1.28440291769,1.00684377442,1.71436003675
2020-03-20,0,2,,,,,,,1496,724,2682,14684,7324,24990,16641,8369,27779,1.22373903344,0.981333739071,1.62543302812
2020-03-21,1,3,,,,,,,1526,741,2743,15797,7841,27093,18167,9110,30522,1.16868790713,0.951266673139,1.53125635512
