date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-08,,,,,,,,,2,1,2,2,1,2,2,1,2,1.37968441815,1,1.8
2020-03-09,,,,,,,,,2,1,2,3,2,4,3,2,4,1.33310888246,0.938726427461,1.78702214011
2020-03-10,,,,,,,,,2,1,2,5,3,6,5,3,6,1.31881074098,0.918158991351,1.7818791919
2020-03-11,,,,,,,,,2,1,2,7,4,8,7,4,8,1.30067255598,0.892939381659,1.77438070628
2020-03-12,,,,,,,,,2,1,2,8,5,10,8,5,10,1.27805095011,0.86549987905,1.76448316283
2020-03-13,,,,,,,,,2,1,2,10,6,12,10,6,12,1.25041752527,0.833409322464,1.75100423545
2020-03-14,,,,,,,,,2,1,2,12,7,14,12,7,14,1.21746881985,0.794217956684,1.73266204582
2020-03-15,,,,,,,,,2,1,2,14,8,16,14,8,16,1.17921919978,0.75,1.70874845733
2020-03-16,,,,,,,,,2,1,2,15,9,18,15,9,18,1.13604186144,0.717919394802,1.67983647904
2020-03-17,,,,,,,,,4,1,6,19,10,24,19,10,24,1.08851096523,0.664804854409,1.64222511958
2020-03-18,,,,,,,,,3,1,5,22,12,29,22,12,29,1.03784104565,0.609491717589,1.58750150406
2020-03-19,,,,,,,,,3,1,6,26,14,34,26,14,34,0.985013584865,0.562003148316,1.52133205141
2020-03-20,,,,,,,,,3,1,6,29,16,39,29,16,39,0.931240417792,0.528391552293,1.45530134075
2020-03-21,,,,,,,,,4,1,7,33,18,45,33,18,45,0.877724612587,0.496879996347,1.38437697292
2020-03-22,,,,,,,,,4,2,7,37,20,52,37,20,52,0.825638869172,0.47166378738,1.33141027984
2020-03-23,,,,,,,,,4,2,8,39,21,57,41,22,59,0.776088972868,0.451769854713,1.26153356155
