date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-06,,,,,,,,,31,16,47,31,16,47,31,16,47,1.29071429907,1,1.8
2020-02-07,,,,,,,,,31,16,47,62,32,94,62,32,94,1.29070984025,0.999994271154,1.79995930728
2020-02-08,,,,,,,,,31,16,47,93,48,141,93,48,141,1.29070856846,0.999992611101,1.79994811724
2020-02-09,,,,,,,,,31,16,47,124,64,188,124,64,188,1.29070692921,0.999990470118,1.79993384492
2020-02-10,,,,,,,,,31,16,47,154,80,235,154,80,235,1.29070481472,0.999987733649,1.79991563998
2020-02-11,,,,,,,,,31,16,47,185,96,282,185,96,282,1.29070208508,0.999984211229,1.79989241711
2020-02-12,,,,,,,,,31,16,47,216,112,329,216,112,329,1.29069855848,0.99997967708,1.79986279115
2020-02-13,,,,,,,,,31,16,47,247,128,376,247,128,376,1.29069399838,0.999973874265,1.79982499408
2020-02-14,,,,,,,,,31,16,47,278,144,423,278,144,423,1.29068809672,0.999966637322,1.79977676921
2020-02-15,,,,,,,,,70,35,110,348,179,533,348,179,533,1.29067219286,0.999950481631,1.79970710544
2020-02-16,,,,,,,,,70,35,109,418,215,641,418,215,641,1.29066124822,0.999938723035,1.79962757156
2020-02-17,,,,,,,,,72,36,114,490,252,755,490,252,755,1.29064599602,0.99992161618,1.79952453156
2020-02-18,,,,,,,,,77,38,123,567,290,877,567,290,877,1.29062690618,0.999898899123,1.79939383713
2020-02-19,,,,,,,,,87,42,142,654,333,1019,654,333,1019,1.29060271281,0.999870766049,1.79920520597
2020-02-20,,,,,,,,,103,49,172,757,382,1191,757,382,1191,1.2905717847,0.999836251995,1.799002818
2020-02-21,,,,,,,,,115,54,193,841,420,1336,872,436,1383,1.29053191087,0.999782625174,1.79874294961
2020-02-22,,,,,,,,,124,57,210,934,462,1499,996,494,1593,1.29048023185,0.99972567698,1.79838063549
2020-02-23,,,,,,,,,134,62,234,1037,508,1686,1130,556,1827,1.29041338111,0.999649218403,1.79795766531
2020-02-24,,,,,,,,,146,65,262,1153,557,1900,1276,621,2088,1.29032682334,0.999542010221,1.79742410466
2020-02-25,,,,,,,,,161,68,298,1283,610,2151,1437,690,2386,1.29021442258,0.999427783342,1.79675082081
2020-02-26,,,,,,,,,176,72,335,1428,666,2438,1613,762,2720,1.29006806981,0.999264195854,1.79589918609
2020-02-27,,,,,,,,,191,76,374,1589,726,2764,1805,838,3093,1.2898770036,0.999067049281,1.79453029515
2020-02-28,,,,,,,,,207,79,415,1765,790,3132,2012,918,3508,1.2896271022,0.998772466707,1.79290824035
2020-02-29,,,,,,,,,224,82,461,1958,856,3545,2236,1000,3968,1.28929968716,0.998455617309,1.79080836566
2020-03-01,1,1,,,,,,,243,85,513,2130,905,3949,2478,1085,4481,1.2888699812,0.998057069195,1.78839383566
2020-03-02,0,1,,,,,,,263,88,571,2323,958,4410,2741,1174,5051,1.28830513796,0.997432858512,1.78482677897
2020-03-03,0,1,,,,,,,284,91,633,2535,1014,4930,3025,1266,5684,1.28756166109,0.996706976465,1.78017793666
2020-03-04,1,2,,,,,,,306,94,701,2764,1070,5508,3331,1361,6385,1.28658207391,0.995759355404,1.77413137463
2020-03-05,0,2,,,,,,,330,97,775,3007,1125,6141,3662,1458,7160,1.2852905958,0.994550211993,1.76676245426
2020-03-06,0,2,,,,,,,356,100,861,3261,1176,6830,4018,1559,8020,1.28358766469,0.992518036996,1.7568468097
2020-03-07,0,2,,,,,,,384,103,947,3529,1226,7584,4401,1662,8966,1.28134322236,0.989978039365,1.74411437638
2020-03-08,1,3,,,,,,,413,106,1041,3818,1274,8415,4814,1768,10007,1.27838880872,0.986291701217,1.72997088686
2020-03-09,0,3,,,,,,,443,108,1147,4127,1321,9328,5257,1877,11154,1.2745088822,0.981574834737,1.71191585481
2020-03-10,0,3,,,,,,,476,111,1263,4457,1367,10329,5733,1988,12416,1.26943243742,0.975198143703,1.6900171317
2020-03-11,0,3,,,,,,,509,113,1380,4805,1411,11411,6242,2101,13796,1.26282713071,0.968453696727,1.66582980556
2020-03-12,0,3,,,,,,,544,115,1504,5172,1454,12580,6786,2217,15299,1.25429977039,0.960400433496,1.62893651317
2020-03-13,0,3,,,,,,,579,117,1616,5560,1495,13823,7364,2334,16915,1.24340891018,0.949257110312,1.58810160475
2020-03-14,0,3,,,,,,,613,118,1745,5966,1535,15153,7978,2453,18660,1.22969643232,0.935201009696,1.57626334284
2020-03-15,0,3,,,,,,,647,120,1862,6389,1572,16554,8624,2573,20522,1.21274333206,0.914525766244,1.56043839503
2020-03-16,0,3,,,,,,,677,121,1983,6824,1608,18024,9302,2694,22505,1.1922478021,0.894671089568,1.5426384236
2020-03-17,2,5,,,,,,,705,122,2093,7266,1642,19546,10007,2817,24597,1.1681107149,0.8728360557,1.51311224164
2020-03-18,1,6,,,,,,,728,123,2192,7710,1674,21104,10734,2940,26788,1.14050060237,0.862182355765,1.48580403504
2020-03-19,0,6,,,,,,,745,121,2230,8148,1701,22633,11479,3062,29017,1.1098691863,0.830474256185,1.45264681073
2020-03-20,1,7,,,,,,,756,118,2323,8574,1722,24181,12236,3181,31340,1.07690657399,0.793149039768,1.40540135924
2020-03-21,0,7,,,,,,,761,113,2376,8979,1735,25696,12997,3294,33716,1.04245255429,0.749790199272,1.3537093018
2020-03-22,0,7,,,,,,,760,110,2344,9356,1742,27094,13757,3405,36060,1.00739671686,0.726316023609,1.32316847443
2020-03-23,0,7,,,,,,,753,106,2331,9695,1742,28383,14509,3511,38390,0.972595795867,0.694600746168,1.29716568837
2020-03-24,1,8,,,,,,,740,102,2256,9992,1737,29491,15249,3614,40645,0.938820191036,0.673106448475,1.2632462086
2020-03-25,0,8,,,,,,,722,98,2186,10238,1725,30414,15971,3713,42830,0.906727052974,0.655450104539,1.21175663759
2020-03-26,5,13,,,,,,,700,95,2184,10429,1707,31219,16671,3808,45014,0.876851128719,0.639323382844,1.15261506803
2020-03-27,0,13,,,,,,,675,91,2067,10561,1683,31781,17347,3900,47080,0.849604030741,0.627683696653,1.10869579334
2020-03-28,1,14,,,,,,,648,88,1999,10630,1655,32165,17995,3989,49079,0.825273445241,0.619373095978,1.04958292857
2020-03-29,2,16,,,,,,,619,84,1929,10636,1621,32348,18614,4074,51008,0.804017128789,0.613484111547,1.00166746654
2020-03-30,1,17,,,,,,,589,81,1840,10579,1582,32326,19203,4155,52847,0.785854759743,0.609319315762,0.967266693491
2020-03-31,1,18,,,,,,,559,77,1735,10461,1539,32078,19763,4233,54582,0.770668660554,0.606406679796,0.936917429016
2020-04-01,2,20,,,,,,,530,74,1642,10286,1490,31627,20293,4308,56223,0.758223027039,0.604378077863,0.911368483094
2020-04-02,4,24,,,,,,,501,71,1540,10060,1439,30976,20794,4380,57763,0.748200702668,0.6030622177,0.891670450374
2020-04-03,4,28,,,,,,,474,70,1461,9788,1387,30207,21268,4450,59224,0.740246860998,0.602531628768,0.875028580898
2020-04-04,2,30,,,,,,,447,66,1382,9480,1336,29266,21715,4517,60606,0.734007634039,0.601703319838,0.863223798843
2020-04-05,5,35,,,,,,,422,64,1307,9141,1287,28197,22138,4582,61912,0.729156915446,0.601119909906,0.858859358433
