date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-14,,,,,,,,,184,99,258,184,99,258,184,99,258,2.01361424484,1.8,2.2
2020-02-15,,,,,,,,,184,99,258,369,199,515,369,199,515,2.01169401218,1.79790689255,2.19958042909
2020-02-16,,,,,,,,,184,99,258,553,298,772,553,298,772,2.01136345256,1.79759014861,2.19948393333
2020-02-17,,,,,,,,,184,99,258,738,398,1029,738,398,1029,2.01097531894,1.79722558458,2.19936524415
2020-02-18,,,,,,,,,184,99,258,922,498,1287,922,498,1287,2.01051948425,1.79680602286,2.19921925996
2020-02-19,,,,,,,,,184,99,258,1106,597,1544,1106,597,1544,2.00998403186,1.79632322303,2.19903970863
2020-02-20,,,,,,,,,184,99,258,1291,697,1801,1291,697,1801,2.00935494197,1.79576772936,2.19879770248
2020-02-21,,,,,,,,,184,99,258,1475,796,2058,1475,796,2058,2.008615725,1.79512869801,2.19859677645
2020-02-22,,,,,,,,,184,99,258,1660,896,2316,1660,896,2316,2.00774699406,1.79439370183,2.1982724113
2020-02-23,,,,,,,,,551,314,775,2210,1211,3090,2210,1211,3090,2.00667088859,1.79349666483,2.19779915191
2020-02-24,,,,,,,,,548,313,771,2759,1524,3861,2759,1524,3861,2.00546396931,1.79251854906,2.19727461876
2020-02-25,,,,,,,,,583,333,820,3341,1858,4680,3341,1858,4680,2.00403290632,1.79138375537,2.19661006242
2020-02-26,,,,,,,,,653,377,917,3994,2236,5597,3994,2236,5597,2.0023547574,1.79007668964,2.19582299703
2020-02-27,,,,,,,,,799,468,1124,4793,2704,6720,4793,2704,6720,2.00038511526,1.78857567802,2.19485487415
2020-02-28,,,,,,,,,1028,613,1446,5821,3317,8165,5821,3317,8165,1.99807234775,1.78685223293,2.19367341941
2020-02-29,,,,,,,,,1211,722,1702,6847,3940,9609,7032,4040,9867,1.99535500047,1.78487250486,2.19222067045
2020-03-01,,,,,,,,,1379,825,1937,8042,4667,11289,8411,4866,11803,1.99216184672,1.78247793392,2.190464795
2020-03-02,,,,,,,,,1588,948,2226,9445,5516,13257,9999,5814,14029,1.9884156041,1.77971875914,2.18821641335
2020-03-03,,,,,,,,,1848,1111,2586,11109,6528,15585,11847,6926,16614,1.98402558954,1.77650832895,2.18560390312
2020-03-04,,,,,,,,,2179,1311,3046,13103,7740,18374,14025,8238,19660,1.97888539816,1.77254704585,2.18241984766
2020-03-05,,,,,,,,,2538,1534,3544,15457,9175,21660,16563,9772,23203,1.97287319714,1.76820156299,2.1779393714
2020-03-06,,,,,,,,,2924,1767,4052,18197,10842,25454,19488,11540,27255,1.96585016654,1.76311679258,2.17270991916
2020-03-07,,,,,,,,,3360,2004,4639,21372,12747,29836,22848,13544,31894,1.95766183681,1.75728761608,2.16664629851
