date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-17,,,,,,,,,953,507,1260,953,507,1260,953,507,1260,2.04986178921,1.6,2.4
2020-02-18,,,,,,,,,953,507,1260,1907,1014,2520,1907,1014,2520,2.04883449088,1.59978865461,2.39965490847
2020-02-19,,,,,,,,,953,507,1260,2860,1521,3780,2860,1521,3780,2.0484967399,1.59972261732,2.39950323734
2020-02-20,,,,,,,,,953,507,1260,3813,2028,5039,3813,2028,5039,2.04804585562,1.59963225704,2.39928129445
2020-02-21,,,,,,,,,953,507,1260,4767,2535,6299,4767,2535,6299,2.04744326241,1.5995140704,2.39898598001
2020-02-22,,,,,,,,,953,507,1260,5720,3042,7559,5720,3042,7559,2.04663705495,1.59936639454,2.39861503146
2020-02-23,,,,,,,,,953,507,1260,6673,3549,8819,6673,3549,8819,2.04555738739,1.5991698342,2.39801552687
2020-02-24,,,,,,,,,953,507,1260,7627,4056,10078,7627,4056,10078,2.04411031452,1.59890211548,2.39712781715
2020-02-25,,,,,,,,,953,507,1260,8580,4563,11338,8580,4563,11338,2.04216962283,1.5985600672,2.3958052876
2020-02-26,,,,,,,,,2881,1595,3982,11461,6159,15319,11461,6159,15319,2.03879341304,1.59732399263,2.39319674355
2020-02-27,,,,,,,,,2867,1589,3959,14329,7748,19277,14329,7748,19277,2.03520595165,1.59663244519,2.39043929529
2020-02-28,,,,,,,,,3049,1691,4230,17378,9439,23507,17378,9439,23507,2.03023264418,1.5954797398,2.38658602074
2020-02-29,,,,,,,,,3423,1907,4811,20800,11347,28318,20800,11347,28318,2.02367797937,1.59395398411,2.38118628976
2020-03-01,,,,,,,,,4198,2333,6009,24998,13680,34327,24998,13680,34327,2.01500663459,1.59208532688,2.37320507303
2020-03-02,,,,,,,,,5402,3042,7883,30401,16723,42209,30401,16723,42209,2.00353881679,1.58949420946,2.36301287762
2020-03-03,,,,,,,,,6344,3584,9361,35791,19800,50309,36745,20307,51569,1.98840765584,1.58666844407,2.34814349611
2020-03-04,,,,,,,,,7184,4056,10659,42022,23350,59708,43929,24364,62228,1.96857198697,1.5824743814,2.3265915805
2020-03-05,,,,,,,,,8196,4601,12278,49265,27444,70726,52125,28965,74505,1.94291097616,1.57681476292,2.29691895176
2020-03-06,,,,,,,,,9406,5296,14234,57717,32234,83699,61531,34262,88738,1.91020966253,1.5700552579,2.25651158705
2020-03-07,,,,,,,,,10863,6117,16375,67627,37844,98814,72394,40379,105113,1.86929115975,1.56150432842,2.204746822
2020-03-08,,,,,,,,,12293,6953,18381,78966,44290,115936,84686,47332,123494,1.81925795731,1.54803962037,2.15232810297
