date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-21,,,,,,,,,46,24,67,46,24,67,46,24,67,1.97681384475,1.6,2.4
2020-02-22,,,,,,,,,46,24,67,92,48,134,92,48,134,1.97562740454,1.59913310333,2.39972733398
2020-02-23,,,,,,,,,46,24,67,138,72,201,138,72,201,1.97527268659,1.59890814401,2.39960981323
2020-02-24,,,,,,,,,46,24,67,184,96,268,184,96,268,1.97480976195,1.59859314657,2.39944920451
2020-02-25,,,,,,,,,46,24,67,230,120,335,230,120,335,1.9742049962,1.59815790329,2.3992356786
2020-02-26,,,,,,,,,46,24,67,276,144,402,276,144,402,1.97341416736,1.59758993111,2.39892613036
2020-02-27,,,,,,,,,46,24,67,321,168,469,321,168,469,1.97237914601,1.5968476151,2.39852435916
2020-02-28,,,,,,,,,46,24,67,367,192,536,367,192,536,1.97102358087,1.5957672949,2.39797237659
2020-02-29,,,,,,,,,46,24,67,413,216,603,413,216,603,1.96924733939,1.59454376334,2.39712307722
2020-03-01,,,,,,,,,136,69,208,549,285,811,549,285,811,1.9668497276,1.59283721469,2.39593577899
2020-03-02,,,,,,,,,135,69,207,684,355,1017,684,355,1017,1.96379087136,1.59066974729,2.3944468207
2020-03-03,,,,,,,,,143,73,222,827,428,1238,827,428,1238,1.95977128294,1.58770413142,2.39225930292
2020-03-04,,,,,,,,,160,81,252,987,510,1489,987,510,1489,1.95452423415,1.58389909433,2.389037062
2020-03-05,,,,,,,,,195,98,314,1182,609,1802,1182,609,1802,1.94768699757,1.57823911651,2.38467150264
2020-03-06,,,,,,,,,250,122,415,1432,731,2216,1432,731,2216,1.93880677195,1.56985799118,2.37845721524
2020-03-07,,,,,,,,,292,142,491,1678,850,2640,1724,874,2707,1.92732920267,1.55801495339,2.36957618739
2020-03-08,,,,,,,,,331,158,560,1963,984,3133,2055,1032,3267,1.91259963034,1.54426054788,2.3570995374
2020-03-09,,,,,,,,,377,177,650,2294,1138,3715,2432,1210,3916,1.89388628026,1.52303036535,2.34114778913
2020-03-10,,,,,,,,,433,199,771,2681,1314,4419,2865,1410,4687,1.87041722423,1.49645924349,2.32004325897
2020-03-11,,,,,,,,,501,228,911,3137,1519,5262,3366,1639,5597,1.84145951887,1.47258701952,2.290066599
2020-03-12,,,,,,,,,571,260,1051,3662,1755,6246,3937,1899,6648,1.80643689745,1.44649695046,2.24916357843
