date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-19,,,,,,,,,11,5,14,11,5,14,11,5,14,1.54754901961,1,1.8
2020-02-20,,,,,,,,,11,5,14,21,10,28,21,10,28,1.54751965906,0.999999962093,1.7999994067
2020-02-21,,,,,,,,,11,5,14,32,15,42,32,15,42,1.54750752226,0.999999938374,1.79999902469
2020-02-22,,,,,,,,,11,5,14,42,20,56,42,20,56,1.54749028526,0.999999901864,1.79999838181
2020-02-23,,,,,,,,,11,5,14,53,25,70,53,25,70,1.54746576356,0.999999844648,1.79999731516
2020-02-24,,,,,,,,,11,5,14,63,30,84,63,30,84,1.54743081651,0.999999754068,1.79999554543
2020-02-25,,,,,,,,,11,5,14,74,35,98,74,35,98,1.5473809189,0.999999610663,1.79999260916
2020-02-26,,,,,,,,,11,5,14,84,40,112,84,40,112,1.54730953572,0.999999383619,1.79998773744
2020-02-27,,,,,,,,,11,5,14,95,45,126,95,45,126,1.54720720802,0.999999024143,1.79997965451
2020-02-28,,,,,,,,,27,13,37,121,58,163,121,58,163,1.54687071797,0.999847130153,1.79983751677
2020-02-29,,,,,,,,,26,13,37,148,72,199,148,72,199,1.54663544955,0.999827311883,1.79980246228
2020-03-01,,,,,,,,,28,14,39,176,87,237,176,87,237,1.54626967913,0.999788052608,1.79971909635
2020-03-02,,,,,,,,,30,16,43,206,103,280,206,103,280,1.54576813528,0.999748167873,1.79962283192
2020-03-03,,,,,,,,,35,19,51,240,123,330,240,123,330,1.54506595976,0.999706226772,1.79950399322
2020-03-04,,,,,,,,,43,24,64,283,147,394,283,147,394,1.54406970289,0.999660524994,1.79934164095
2020-03-05,,,,,,,,,48,28,75,321,171,454,332,176,468,1.54264103012,0.999607926948,1.79910799875
2020-03-06,,,,,,,,,53,31,84,364,198,523,385,208,551,1.54058059243,0.999544513207,1.79876972718
2020-03-07,,,,,,,,,59,35,95,413,228,603,444,243,645,1.53761243129,0.999468805377,1.79830125394
2020-03-08,,,,,,,,,66,38,108,468,261,697,510,281,753,1.53333550102,0.99937714001,1.7976436756
2020-03-09,,,,,,,,,74,41,124,531,298,806,584,323,876,1.52717556,0.9992618576,1.79670275298
2020-03-10,,,,,,,,,83,45,141,604,338,933,667,368,1017,1.51833621174,0.999110765896,1.79534449169
2020-03-11,,,,,,,,,91,49,158,684,383,1076,758,418,1174,1.50575220715,0.998904024235,1.79309315143
2020-03-12,,,,,,,,,99,53,171,773,431,1233,857,471,1345,1.48808624319,0.998611437541,1.78931226472
2020-03-13,,,,,,,,,108,57,185,870,484,1404,965,529,1530,1.463811246,0.998185588628,1.78330610398
2020-03-14,,,,,,,,,116,59,201,960,530,1568,1082,589,1730,1.43144861392,0.997551530134,1.77373555311
2020-03-15,5,5,,,,,,,124,61,211,1058,578,1742,1206,651,1941,1.38996902046,0.996591452329,1.75982394302
2020-03-16,-5,0,,,,,,,130,64,224,1160,627,1927,1336,715,2164,1.3392120698,0.994613882869,1.73588252125
2020-03-17,1,1,,,,,,,135,65,235,1265,677,2119,1471,780,2398,1.28006231414,0.93286536084,1.69835991664
2020-03-18,0,1,,,,,,,138,67,240,1368,725,2308,1608,848,2638,1.21423893053,0.826958117651,1.64640963002
2020-03-19,0,1,,,,,,,138,68,245,1464,769,2488,1747,917,2882,1.14386070872,0.730052585977,1.58999270095
2020-03-20,-1,0,,,,,,,137,69,238,1553,810,2652,1884,986,3119,1.07106876036,0.654077065708,1.53167119568
2020-03-21,1,1,,,,,,,134,69,229,1633,847,2798,2018,1055,3348,0.997848609582,0.597516787404,1.47710953281
2020-03-22,0,1,,,,,,,129,66,227,1704,878,2930,2148,1122,3575,0.926020304454,0.540081977382,1.41733513027
2020-03-23,0,1,,,,,,,123,60,220,1761,900,3042,2271,1182,3794,0.857289063642,0.490045099583,1.31728929245
2020-03-24,1,2,,,,,,,116,55,219,1802,914,3138,2386,1237,4013,0.793263736332,0.457357147335,1.23288407775
2020-03-25,0,2,,,,,,,107,50,204,1827,918,3200,2494,1287,4217,0.735403854909,0.437458790085,1.13297105447
