date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-22,,,,,,,,,28,14,40,28,14,40,28,14,40,1.32041795097,1,1.8
2020-02-23,,,,,,,,,28,14,40,55,28,80,55,28,80,1.32038547421,0.999986777337,1.79999197968
2020-02-24,,,,,,,,,28,14,40,83,42,120,83,42,120,1.32037282553,0.999981629019,1.79998809487
2020-02-25,,,,,,,,,28,14,40,110,56,160,110,56,160,1.32035516207,0.999974297078,1.79998215279
2020-02-26,,,,,,,,,28,14,40,138,70,200,138,70,200,1.32033045493,0.999964039155,1.79997325316
2020-02-27,,,,,,,,,28,14,40,166,84,240,166,84,240,1.32029583578,0.999949647006,1.79995986688
2020-02-28,,,,,,,,,28,14,40,193,98,280,193,98,280,1.32024724159,0.999929428121,1.79993970518
2020-02-29,,,,,,,,,28,14,40,221,112,320,221,112,320,1.32017890561,0.99990109733,1.79990929711
2020-03-01,,,,,,,,,28,14,40,248,126,360,248,126,360,1.32008262753,0.999861408537,1.79986337137
2020-03-02,,,,,,,,,63,33,94,312,159,454,312,159,454,1.31988290055,0.999757241287,1.79971685955
2020-03-03,,,,,,,,,63,33,94,375,193,547,375,193,547,1.3196827429,0.999673365173,1.79959568257
2020-03-04,,,,,,,,,65,34,98,440,228,645,440,228,645,1.31939177896,0.99955238157,1.79937863764
2020-03-05,,,,,,,,,70,37,107,510,265,751,510,265,751,1.31898682298,0.99938819011,1.79905831147
2020-03-06,,,,,,,,,79,41,125,589,306,875,589,306,875,1.31841855909,0.999120671206,1.79856188875
2020-03-07,,,,,,,,,94,46,153,683,353,1027,683,353,1027,1.3176169826,0.998734038062,1.79777832118
2020-03-08,,,,,,,,,105,50,174,760,390,1161,788,404,1201,1.31648213716,0.998177544419,1.7967599538
2020-03-09,,,,,,,,,114,53,193,846,429,1313,901,457,1393,1.31487342802,0.997258384813,1.79551047062
2020-03-10,,,,,,,,,123,56,216,942,471,1489,1024,513,1609,1.31259778455,0.995949423224,1.79376820003
2020-03-11,,,,,,,,,134,58,245,1048,516,1694,1159,572,1854,1.30938912633,0.994276471582,1.7913367016
2020-03-12,,,,,,,,,148,63,279,1169,566,1932,1307,636,2132,1.30489029703,0.992319298384,1.7875808497
2020-03-13,,,,,,,,,162,68,313,1303,621,2205,1468,705,2445,1.29864287537,0.989509432436,1.78110258676
2020-03-14,,,,,,,,,175,73,345,1450,680,2509,1643,778,2789,1.29009500733,0.98487353829,1.77129655849
2020-03-15,,,,,,,,,188,77,375,1610,744,2843,1831,856,3163,1.27864859583,0.978454477131,1.756474823
2020-03-16,,,,,,,,,201,79,400,1783,809,3203,2032,935,3563,1.26375876068,0.970241817051,1.7337713996
2020-03-17,1,1,,,,,,,214,80,425,1934,856,3534,2246,1016,3987,1.24507924506,0.960308134349,1.70033374259
2020-03-18,0,1,,,,,,,227,81,454,2098,904,3894,2473,1098,4441,1.22260044603,0.946171082563,1.65758322274
2020-03-19,1,2,,,,,,,238,82,488,2271,953,4285,2711,1181,4929,1.19670054818,0.933408014025,1.5958837373
2020-03-20,0,2,,,,,,,249,85,513,2450,1001,4692,2960,1266,5442,1.1680760124,0.917489033768,1.56402398398
2020-03-21,0,2,,,,,,,257,87,536,2628,1047,5102,3217,1354,5977,1.13760138554,0.893342750414,1.53753401744
2020-03-22,0,2,,,,,,,265,90,553,2799,1090,5503,3482,1444,6530,1.10619693691,0.877631624139,1.49649555112
2020-03-23,0,2,,,,,,,271,91,566,2965,1131,5894,3752,1535,7095,1.0747415456,0.86355880563,1.43586145334
2020-03-24,0,2,,,,,,,275,92,577,3126,1170,6279,4027,1627,7672,1.04402864311,0.84334587127,1.37186012035
2020-03-25,0,2,,,,,,,277,93,585,3280,1207,6648,4304,1721,8256,1.01475654728,0.828446752206,1.3055960345
2020-03-26,2,4,,,,,,,278,94,592,3424,1243,6994,4582,1815,8847,0.987540864442,0.816645957008,1.26048033945
2020-03-27,0,4,,,,,,,278,95,595,3554,1275,7311,4860,1911,9442,0.962922462328,0.808421138366,1.20723724206
2020-03-28,0,4,,,,,,,277,97,591,3668,1303,7589,5137,2009,10033,0.941342582949,0.803836567442,1.14843668163
2020-03-29,0,4,,,,,,,274,96,580,3768,1326,7824,5411,2105,10613,0.92308016976,0.799479154483,1.09669476366
2020-03-30,0,4,,,,,,,272,94,566,3852,1344,8015,5683,2200,11178,0.908184140883,0.784365052189,1.03822791247
2020-03-31,0,4,,,,,,,269,92,554,3920,1357,8169,5951,2292,11731,0.89645392508,0.773130373646,1.0090477891
2020-04-01,0,4,,,,,,,265,91,539,3971,1368,8283,6217,2384,12269,0.887493879877,0.765006548775,0.986144687461
2020-04-02,1,5,,,,,,,262,89,533,4006,1376,8361,6478,2474,12802,0.880812827373,0.759637086901,0.973954216717
2020-04-03,1,6,,,,,,,258,89,527,4025,1382,8399,6736,2563,13328,0.875918023044,0.755936562772,0.965576970411
2020-04-04,2,8,,,,,,,254,89,523,4031,1387,8409,6991,2653,13850,0.872374171372,0.753806080243,0.959851753139
2020-04-05,0,8,,,,,,,251,90,520,4025,1390,8393,7242,2744,14370,0.869826704724,0.752412137254,0.956074360075
2020-04-06,0,8,,,,,,,247,91,518,4007,1391,8358,7489,2835,14888,0.868001667761,0.751490270336,0.953713988898
2020-04-07,1,9,,,,,,,244,90,515,3981,1391,8308,7733,2926,15402,0.866694573988,0.750817369815,0.952233935385
2020-04-08,1,10,,,,,,,240,90,508,3946,1389,8239,7973,3016,15910,0.865756192611,0.750109132511,0.950901878855
2020-04-09,1,11,,,,,,,237,89,502,3906,1385,8156,8210,3106,16411,0.865079196468,0.74984092965,0.950026315088
2020-04-10,2,13,,,,,,,233,89,496,3861,1380,8059,8443,3196,16906,0.864587109478,0.749563285428,0.94959354748
2020-04-11,0,13,,,,,,,230,84,489,3813,1369,7953,8673,3281,17395,0.864225748277,0.749416279687,0.949405173491
2020-04-12,0,13,,,,,,,227,83,482,3763,1355,7843,8900,3364,17876,0.863956848573,0.749214684462,0.949270262659
2020-04-13,0,13,,,,,,,224,81,475,3713,1340,7738,9124,3445,18351,0.863777736652,0.748981235633,0.949127344491
2020-04-14,0,13,,,,,,,221,79,469,3661,1325,7641,9344,3525,18819,0.863657827561,0.748899840651,0.948996252428
2020-04-15,5,18,,,,,,,217,78,461,3610,1310,7549,9562,3603,19279,0.863617677761,0.748869528021,0.94893809273
2020-04-16,3,21,,,,,,,214,76,454,3560,1295,7464,9776,3679,19732,0.863644095281,0.748741327259,0.948999404595
2020-04-17,2,23,,,,,,,211,74,447,3509,1279,7377,9988,3754,20179,0.863755986602,0.748955997539,0.949197218319
2020-04-18,0,23,,,,,,,209,73,435,3460,1264,7286,10196,3827,20613,0.863909208383,0.7487950996,0.949098794797
2020-04-19,0,23,,,,,,,206,71,425,3411,1245,7187,10402,3899,21037,0.864088405377,0.749008621528,0.949348745682
2020-04-20,4,27,,,,,,,203,70,422,3363,1225,7089,10605,3970,21459,0.864362138887,0.749450295979,0.949557333369
2020-04-21,0,27,,,,,,,200,69,420,3316,1203,6991,10805,4039,21878,0.864726585438,0.75010109927,0.949866003153
2020-04-22,1,28,,,,,,,197,67,415,3270,1180,6891,11003,4107,22293,0.865191826996,0.750541507343,0.950300294062
2020-04-23,1,29,,,,,,,195,65,411,3225,1156,6793,11197,4172,22703,0.865807619096,0.751146915945,0.950768563472
2020-04-24,1,30,,,,,,,192,64,406,3180,1130,6697,11390,4236,23108,0.866617224204,0.751948847859,0.951432507055
2020-04-25,0,30,,,,,,,190,62,400,3136,1103,6602,11580,4299,23508,0.867679939506,0.753019249804,0.952575644206
2020-04-26,0,30,,,,,,,187,61,398,3094,1079,6511,11767,4360,23905,0.86907056483,0.754477842683,0.954371450444
2020-04-27,0,30,,,,,,,185,59,396,3052,1055,6425,11952,4420,24300,0.870885256686,0.756762186286,0.956668868034
2020-04-28,2,32,,,,,,,183,58,394,3011,1033,6343,12135,4479,24693,0.873246892699,0.759582498797,0.959588474956
2020-04-29,1,33,,,,,,,181,58,391,2972,1012,6266,12316,4537,25084,0.876311202784,0.763272285364,0.963272560888
2020-04-30,1,34,,,,,,,179,58,389,2934,992,6194,12496,4596,25473,0.880273300633,0.769728101765,0.967884685509
2020-05-01,0,34,,,,,,,178,58,386,2897,975,6127,12673,4654,25859,0.885373774332,0.779079887496,0.973729975925
2020-05-02,1,35,,,,,,,176,58,384,2862,958,6064,12850,4713,26242,0.891902715324,0.791977549639,0.982418977151
2020-05-03,0,35,,,,,,,176,57,380,2829,942,6009,13025,4770,26622,0.900198912265,0.7975810581,0.991498985235
2020-05-04,0,35,,,,,,,175,57,379,2798,928,5963,13200,4828,27000,0.910639998646,0.798479322112,1.00232892066
2020-05-05,0,35,,,,,,,175,58,378,2770,917,5919,13375,4887,27378,0.92361816012,0.802093440141,1.02171377457
2020-05-06,1,36,,,,,,,176,60,378,2746,908,5878,13551,4947,27756,0.93949650011,0.814852808245,1.04648511676
2020-05-07,0,36,,,,,,,177,62,380,2726,903,5842,13729,5010,28135,0.958545757892,0.821643678879,1.07578513149
2020-05-08,-1,35,,,,,,,180,64,380,2711,901,5812,13908,5074,28514,0.980871789965,0.828165668801,1.11341935773
2020-05-09,0,35,,,,,,,183,65,381,2702,902,5787,14091,5139,28894,1.0063584856,0.83634758662,1.1662823067
2020-05-10,0,35,,,,,,,188,69,384,2699,909,5771,14279,5208,29278,1.03465714011,0.858079614797,1.22242604209
2020-05-11,0,35,,,,,,,193,72,393,2705,920,5767,14472,5281,29671,1.06523681644,0.869936769686,1.27856345426
2020-05-12,0,35,,,,,,,200,77,407,2720,938,5778,14672,5358,30078,1.09747279909,0.880697509692,1.33141884492
2020-05-13,1,36,,,,,,,209,82,423,2746,961,5808,14881,5440,30500,1.13072337965,0.89550456658,1.37844128144
2020-05-14,0,36,,,,,,,218,88,439,2783,990,5855,15099,5528,30939,1.16436168951,0.917196353437,1.41820584071
2020-05-15,0,36,,,,,,,230,91,460,2834,1024,5926,15329,5620,31398,1.19777637768,0.943590623405,1.4504128933
2020-05-16,2,38,,,,,,,243,96,494,2899,1062,6033,15572,5717,31892,1.23037998528,0.97507206945,1.47559022244
