date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-15,,,,,,,,,132,66,187,132,66,187,132,66,187,2.75683031908,2.4,3.2
2020-02-16,,,,,,,,,132,66,187,264,132,373,264,132,373,2.75560365973,2.39912579569,3.19968648336
2020-02-17,,,,,,,,,132,66,187,396,198,559,396,198,559,2.75512408163,2.39878474977,3.19950634574
2020-02-18,,,,,,,,,132,66,187,527,264,745,527,264,745,2.7544546402,2.39822219312,3.1992333458
2020-02-19,,,,,,,,,132,66,187,659,330,931,659,330,931,2.75351932941,2.39739679672,3.1988112088
2020-02-20,,,,,,,,,132,66,187,791,396,1117,791,396,1117,2.75221155935,2.39618524797,3.19815589873
2020-02-21,,,,,,,,,132,66,187,923,462,1303,923,462,1303,2.75038198739,2.39498675732,3.1972109116
2020-02-22,,,,,,,,,132,66,187,1055,528,1489,1055,528,1489,2.74782176187,2.39316660514,3.19565933665
2020-02-23,,,,,,,,,132,66,187,1187,594,1675,1187,594,1675,2.74423973988,2.39053698682,3.19344230278
2020-02-24,,,,,,,,,492,243,752,1679,837,2427,1679,837,2427,2.73830805719,2.38636022949,3.18864946855
2020-02-25,,,,,,,,,490,242,748,2168,1079,3174,2168,1079,3174,2.73120634465,2.38167642499,3.18277406229
2020-02-26,,,,,,,,,536,268,833,2704,1347,4006,2704,1347,4006,2.72105102617,2.37514835492,3.17362383762
2020-02-27,,,,,,,,,630,318,996,3334,1665,5002,3334,1665,5002,2.70715080313,2.36647022486,3.16069142458
2020-02-28,,,,,,,,,825,420,1317,4159,2086,6319,4159,2086,6319,2.68813491455,2.35401402655,3.14214717625
2020-02-29,,,,,,,,,1128,581,1806,5287,2668,8124,5287,2668,8124,2.66227599267,2.33575426891,3.11425403533
2020-03-01,,,,,,,,,1373,705,2209,6528,3307,10147,6660,3373,10333,2.62744099359,2.30488690199,3.07349312835
2020-03-02,,,,,,,,,1611,826,2573,8008,4068,12533,8271,4200,12905,2.58121467913,2.26941401773,3.01465756458
2020-03-03,,,,,,,,,1913,982,3033,9789,4984,15380,10184,5182,15938,2.52125865898,2.21836090195,2.96340912685
