date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-03,,,,,,,,,22,11,29,22,11,29,22,11,29,1.48883415435,1,1.8
2020-03-04,,,,,,,,,22,11,29,43,22,58,43,22,58,1.48588575095,0.999136845769,1.79939659373
2020-03-05,,,,,,,,,22,11,29,65,33,87,65,33,87,1.48515507015,0.998929783533,1.79919480864
2020-03-06,,,,,,,,,22,11,29,86,44,116,86,44,116,1.48424124735,0.998648525421,1.79892544211
2020-03-07,,,,,,,,,22,11,29,108,55,145,108,55,145,1.48309839171,0.998284218071,1.79856585759
2020-03-08,,,,,,,,,22,11,29,130,66,174,130,66,174,1.4816694395,0.997785809254,1.79810654852
2020-03-09,,,,,,,,,22,11,29,151,77,203,151,77,203,1.47988370541,0.997197803496,1.79751924527
2020-03-10,,,,,,,,,22,11,29,173,88,232,173,88,232,1.47765407829,0.996512164452,1.79675457828
2020-03-11,,,,,,,,,22,11,29,194,99,261,194,99,261,1.47487392914,0.995781611689,1.79574417297
2020-03-12,,,,,,,,,53,27,78,248,126,339,248,126,339,1.47124842778,0.994759985714,1.7942239258
2020-03-13,,,,,,,,,53,27,77,300,154,415,300,154,415,1.4669332689,0.993632553431,1.79234117616
2020-03-14,,,,,,,,,55,28,81,355,183,496,355,183,496,1.46156935517,0.992255640601,1.78982974328
2020-03-15,,,,,,,,,59,30,88,414,213,583,414,213,583,1.4549763435,0.990749990293,1.78653625219
2020-03-16,,,,,,,,,68,34,104,482,248,687,482,248,687,1.44691340293,0.988826588991,1.78219881806
2020-03-17,,,,,,,,,82,39,128,564,287,815,564,287,815,1.43711919679,0.985960766981,1.77662509278
2020-03-18,,,,,,,,,92,43,147,634,320,933,656,331,962,1.42532122086,0.982207558732,1.76931840094
2020-03-19,,,,,,,,,100,46,163,713,356,1066,756,378,1124,1.41125658479,0.97846306441,1.76116080923
2020-03-20,,,,,,,,,109,49,181,800,395,1217,865,428,1304,1.39470543622,0.973218403799,1.75119838438
2020-03-21,,,,,,,,,119,52,200,897,436,1388,983,480,1504,1.37551062189,0.968249648021,1.73855847086
2020-03-22,,,,,,,,,131,57,224,1006,483,1583,1114,538,1728,1.35360602462,0.963503188863,1.72288689432
2020-03-23,,,,,,,,,142,60,249,1126,532,1802,1256,598,1976,1.3290433998,0.958919458287,1.70430615437
2020-03-24,,,,,,,,,152,63,274,1257,584,2047,1408,661,2250,1.30200446703,0.949073925823,1.68050330913
2020-03-25,,,,,,,,,162,65,296,1397,639,2313,1570,727,2545,1.27280261937,0.940435770027,1.65370886349
2020-03-26,,,,,,,,,171,68,318,1547,696,2601,1741,795,2862,1.24186639533,0.932088567266,1.61922007009
2020-03-27,1,1,,,,,,,180,70,341,1674,738,2865,1921,865,3203,1.20971457607,0.919889137905,1.5783836732
2020-03-28,0,1,,,,,,,189,72,369,1810,783,3156,2110,937,3571,1.17692806524,0.903434814153,1.53221261225
2020-03-29,0,1,,,,,,,196,74,393,1951,828,3469,2306,1011,3964,1.14412051696,0.88963458054,1.48776198424
2020-03-30,1,2,,,,,,,202,75,409,2094,873,3789,2508,1087,4372,1.11190882682,0.87397602393,1.43445850101
2020-03-31,1,3,,,,,,,207,77,427,2233,916,4111,2715,1164,4798,1.08088181568,0.857258779728,1.37927398545
2020-04-01,0,3,,,,,,,211,78,445,2362,955,4428,2926,1243,5243,1.05156769793,0.838345858624,1.32501296794
2020-04-02,0,3,,,,,,,214,80,452,2483,991,4734,3139,1323,5695,1.02440299503,0.825312600956,1.27205033901
2020-04-03,0,3,,,,,,,216,80,462,2599,1025,5033,3355,1404,6157,0.999706956933,0.816321634179,1.2218871565
2020-04-04,0,3,,,,,,,216,81,469,2706,1057,5321,3571,1486,6625,0.977666582344,0.802164884853,1.18023456894
2020-04-05,0,3,,,,,,,217,82,468,2804,1087,5588,3788,1568,7092,0.958335747337,0.789076917073,1.1389551239
2020-04-06,0,3,,,,,,,216,83,469,2890,1114,5833,4004,1652,7560,0.941648869029,0.775695671769,1.10077491011
2020-04-07,1,4,,,,,,,215,83,467,2963,1137,6051,4219,1736,8027,0.927445828906,0.766396330751,1.07097932473
2020-04-08,0,4,,,,,,,214,83,462,3024,1157,6238,4433,1819,8488,0.915502347949,0.761173717136,1.04755970259
2020-04-09,1,5,,,,,,,212,82,451,3074,1175,6393,4644,1902,8938,0.905559850895,0.755391447386,1.02508957432
2020-04-10,1,6,,,,,,,210,82,443,3113,1189,6518,4854,1984,9380,0.897350524954,0.750182037261,1.00562701132
2020-04-11,1,7,,,,,,,207,82,434,3140,1201,6611,5061,2066,9813,0.89061562897,0.740465206331,0.990826738204
2020-04-12,0,7,,,,,,,205,81,426,3156,1211,6668,5266,2148,10238,0.885117075335,0.731032156059,0.98046779479
2020-04-13,1,8,,,,,,,202,81,415,3162,1218,6690,5468,2229,10653,0.880643422682,0.723927201636,0.973280297092
2020-04-14,0,8,,,,,,,200,81,408,3160,1223,6689,5668,2311,11060,0.877011793304,0.719017256756,0.966791932237
2020-04-15,1,9,,,,,,,197,81,397,3150,1227,6659,5865,2392,11457,0.874067136259,0.71434730275,0.962588584666
2020-04-16,0,9,,,,,,,194,80,392,3134,1229,6607,6059,2473,11849,0.871679965655,0.710469205335,0.959047948055
2020-04-17,0,9,,,,,,,192,80,388,3112,1229,6542,6251,2553,12236,0.869743381363,0.707788332717,0.956243998616
2020-04-18,0,9,,,,,,,189,78,378,3085,1227,6458,6440,2632,12614,0.868169897981,0.705609514622,0.953944016129
2020-04-19,0,9,,,,,,,186,77,368,3055,1223,6358,6627,2709,12982,0.86688839358,0.703905332791,0.952327894188
2020-04-20,0,9,,,,,,,184,77,359,3022,1217,6248,6810,2786,13340,0.865841340131,0.702302529775,0.951036476561
2020-04-21,4,13,,,,,,,181,76,352,2988,1210,6132,6992,2862,13691,0.864982381459,0.700854725543,0.950263243263
2020-04-22,1,14,,,,,,,179,75,348,2951,1202,6013,7170,2938,14039,0.864274268255,0.700151327581,0.949577866154
2020-04-23,1,15,,,,,,,176,75,344,2914,1194,5895,7346,3013,14382,0.863687129337,0.699406965108,0.948906736468
2020-04-24,0,15,,,,,,,174,73,339,2876,1184,5784,7520,3086,14721,0.863197043815,0.699047949142,0.948507792102
2020-04-25,1,16,,,,,,,171,71,336,2837,1174,5676,7691,3158,15056,0.86278487352,0.698714004565,0.948233779411
2020-04-26,1,17,,,,,,,169,70,330,2799,1162,5573,7860,3229,15386,0.862435315195,0.698325179218,0.948031799855
2020-04-27,2,19,,,,,,,166,69,325,2760,1150,5472,8027,3299,15710,0.862136135087,0.698132685613,0.947801732349
2020-04-28,0,19,,,,,,,164,67,323,2722,1137,5380,8191,3366,16033,0.861877553264,0.6979227673,0.947623150537
