date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-14,,,,,,,,,852,465,1129,852,465,1129,852,465,1129,2.49899183151,2,2.8
2020-02-15,,,,,,,,,852,465,1129,1704,931,2257,1704,931,2257,2.49897816286,1.99999976098,2.79999957137
2020-02-16,,,,,,,,,852,465,1129,2556,1397,3385,2556,1397,3385,2.49897120655,1.99999960239,2.7999992249
2020-02-17,,,,,,,,,852,465,1129,3408,1863,4513,3408,1863,4513,2.49896066187,1.9999993335,2.79999859837
2020-02-18,,,,,,,,,852,465,1129,4259,2329,5641,4259,2329,5641,2.49894464809,1.99999888278,2.79999746539
2020-02-19,,,,,,,,,852,465,1129,5111,2795,6769,5111,2795,6769,2.49892028021,1.99999812726,2.7999954166
2020-02-20,,,,,,,,,852,465,1129,5963,3261,7897,5963,3261,7897,2.49888312102,1.99999686081,2.79999171172
2020-02-21,,,,,,,,,852,465,1129,6815,3727,9025,6815,3727,9025,2.49882632696,1.99999473793,2.79998501213
2020-02-22,,,,,,,,,852,465,1129,7667,4193,10153,7667,4193,10153,2.49873931229,1.99999117944,2.79997289718
2020-02-23,,,,,,,,,2970,1578,4079,10637,5771,14231,10637,5771,14231,2.49842914524,1.99981173041,2.79978672648
2020-02-24,,,,,,,,,2961,1573,4066,13598,7345,18296,13598,7345,18296,2.49820123209,1.99978653801,2.79971361397
2020-02-25,,,,,,,,,3217,1730,4457,16815,9075,22752,16815,9075,22752,2.49780578497,1.99971303941,2.79954506406
2020-02-26,,,,,,,,,3738,2047,5246,20553,11122,27998,20553,11122,27998,2.49723601621,1.9996359316,2.79933545488
2020-02-27,,,,,,,,,4821,2610,6950,25375,13732,34947,25375,13732,34947,2.49638678418,1.99953867229,2.79899894506
2020-02-28,,,,,,,,,6531,3454,9648,31905,17187,44595,31905,17187,44595,2.49509667115,1.9994012053,2.79849422071
2020-02-29,,,,,,,,,7971,4139,11969,39024,20860,55436,39876,21326,56564,2.49310739705,1.99921251204,2.79758399315
2020-03-01,,,,,,,,,9425,4890,14403,47598,25285,68710,49301,26217,70966,2.4900187231,1.99895276775,2.79605616833
2020-03-02,,,,,,,,,11344,5909,17680,58090,30728,85262,60646,32126,88646,2.48523417039,1.9985953505,2.79341772084
2020-03-03,,,,,,,,,13849,7076,21887,71087,37339,106020,74495,39203,110532,2.47780957562,1.99808747524,2.78900037731
2020-03-04,,,,,,,,,17088,8594,27380,87323,45467,132271,91582,47797,137911,2.46627524335,1.99734800547,2.78087995271
2020-03-05,,,,,,,,,20716,10346,33339,107187,55347,164482,112298,58143,171250,2.44841570727,1.99628300154,2.76681207501
2020-03-06,,,,,,,,,24743,12131,39758,131078,67012,203111,137041,70274,211007,2.42102323755,1.9946369144,2.74181903262
2020-03-07,,,,,,,,,29331,14155,46618,159557,80702,248600,166372,84430,257625,2.37978583825,1.99220099417,2.70839744415
2020-03-08,,,,,,,,,34483,16613,54500,193188,96850,301972,200855,101043,312124,2.31958041405,1.98724928746,2.6570323906
2020-03-09,2,2,,,,,,,39980,19683,61461,230198,114955,359355,240835,120727,373585,2.23559294726,1.948601977,2.58796692355
