date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-24,,,,,,,,,63,32,89,63,32,89,63,32,89,1.61162235238,1.2,2
2020-02-25,,,,,,,,,63,32,89,127,64,178,127,64,178,1.6115020792,1.19997270796,1.99998803072
2020-02-26,,,,,,,,,63,32,89,190,96,267,190,96,267,1.61145306935,1.19995971436,1.99998076784
2020-02-27,,,,,,,,,63,32,89,254,128,356,254,128,356,1.61138367873,1.19994101795,1.99996909802
2020-02-28,,,,,,,,,63,32,89,317,160,445,317,160,445,1.61128523933,1.19990870239,1.99995034744
2020-02-29,,,,,,,,,63,32,89,380,192,534,380,192,534,1.6111453108,1.19986335874,1.99992022032
2020-03-01,,,,,,,,,63,32,89,444,224,623,444,224,623,1.61094600577,1.19979125769,1.99987181555
2020-03-02,,,,,,,,,63,32,89,507,256,712,507,256,712,1.61066156515,1.19967936762,1.9997939055
2020-03-03,,,,,,,,,63,32,89,571,288,801,571,288,801,1.61025485409,1.19950244545,1.99966889848
2020-03-04,,,,,,,,,165,88,246,735,376,1047,735,376,1047,1.60958028297,1.19914835355,1.99935384732
2020-03-05,,,,,,,,,164,87,245,899,464,1292,899,464,1292,1.60873329571,1.19871421546,1.99902109856
2020-03-06,,,,,,,,,171,91,259,1070,556,1550,1070,556,1550,1.60750360263,1.19803754618,1.99846708778
2020-03-07,,,,,,,,,187,100,288,1257,656,1838,1257,656,1838,1.6057513611,1.19710420461,1.99761773367
2020-03-08,,,,,,,,,219,116,347,1477,773,2184,1477,773,2184,1.60324959914,1.19557220318,1.99624999926
2020-03-09,,,,,,,,,270,142,436,1746,916,2620,1746,916,2620,1.59968097152,1.19334950781,1.99407819857
2020-03-10,,,,,,,,,309,161,506,1992,1045,3037,2055,1077,3126,1.59460896063,1.19083926635,1.99062291913
2020-03-11,,,,,,,,,341,173,568,2269,1186,3515,2396,1250,3693,1.58745451818,1.18603926336,1.98519422008
2020-03-12,,,,,,,,,379,185,640,2584,1340,4065,2775,1436,4332,1.57749202424,1.1791139144,1.97685638257
2020-03-13,,,,,,,,,422,202,731,2943,1510,4707,3197,1638,5063,1.56386976331,1.16949514189,1.96490643553
2020-03-14,,,,,,,,,475,222,843,3355,1701,5461,3672,1861,5906,1.54569953594,1.15689443525,1.94744114199
2020-03-15,,,,,,,,,528,243,952,3819,1912,6323,4200,2104,6857,1.52222532809,1.14159986945,1.91734556093
2020-03-16,,,,,,,,,577,259,1064,4333,2140,7298,4776,2364,7921,1.49303712023,1.12468317819,1.872125879
2020-03-17,,,,,,,,,624,273,1169,4893,2381,8377,5401,2637,9089,1.45825737006,1.10841978635,1.81517656358
2020-03-18,,,,,,,,,671,294,1247,5501,2644,9534,6072,2932,10335,1.41860217016,1.09367540309,1.78043256402
2020-03-19,1,1,,,,,,,718,310,1309,6054,2866,10597,6790,3242,11644,1.37527130837,1.07757399954,1.76369634553
2020-03-20,0,1,,,,,,,761,322,1407,6651,3100,11759,7550,3565,13051,1.32970742166,1.04688020456,1.72610650665
2020-03-21,0,1,,,,,,,798,332,1495,7278,3341,12996,8349,3897,14545,1.28335076381,1.03231955838,1.6954892648
2020-03-22,1,2,,,,,,,830,346,1574,7922,3587,14282,9179,4243,16119,1.23750474431,1.00916243143,1.65591189211
2020-03-23,2,4,,,,,,,857,360,1630,8559,3830,15565,10036,4603,17749,1.19332510845,0.983605476768,1.57397640554
2020-03-24,1,5,,,,,,,879,373,1666,9169,4061,16795,10915,4977,19414,1.15186661069,0.954412502101,1.50534902665
2020-03-25,1,6,,,,,,,896,389,1693,9756,4290,17982,11811,5367,21107,1.11410392691,0.933657221464,1.42965188515
2020-03-26,1,7,,,,,,,909,401,1714,10324,4518,19128,12720,5769,22821,1.0808732519,0.919385155697,1.32360428343
2020-03-27,0,7,,,,,,,917,403,1721,10862,4736,20209,13637,6172,24541,1.05274087148,0.906736497732,1.26430830251
2020-03-28,2,9,,,,,,,923,407,1727,11363,4941,21205,14560,6579,26268,1.02986944541,0.895335630901,1.18982302988
2020-03-29,1,10,,,,,,,927,410,1714,11816,5129,22076,15487,6990,27982,1.01197862505,0.880813104498,1.14042510691
2020-03-30,1,11,,,,,,,930,414,1690,12218,5299,22814,16418,7404,29671,0.998441809583,0.869959712804,1.10905462146
2020-03-31,2,13,,,,,,,932,417,1690,12573,5457,23440,17350,7821,31360,0.988463630611,0.86278525239,1.08427733651
2020-04-01,2,15,,,,,,,933,423,1663,12882,5607,23935,18283,8245,33023,0.98124557279,0.857707418232,1.06950831313
2020-04-02,2,17,,,,,,,934,431,1669,13145,5744,24357,19217,8676,34691,0.97608773246,0.854349869736,1.05955989649
2020-04-03,0,17,,,,,,,934,439,1671,13361,5873,24719,20151,9116,36362,0.972426940042,0.852129959644,1.05588618023
2020-04-04,1,18,,,,,,,934,444,1680,13535,5994,24991,21085,9560,38041,0.969834405093,0.850626221275,1.05342981713
2020-04-05,0,18,,,,,,,934,445,1690,13670,6107,25186,22019,10005,39731,0.967995160977,0.849644848311,1.05191594497
2020-04-06,0,18,,,,,,,934,453,1692,13774,6215,25304,22953,10459,41423,0.966683168059,0.848944516938,1.0504919351
2020-04-07,1,19,,,,,,,934,462,1645,13850,6317,25319,23886,10921,43068,0.965738607014,0.848338353429,1.04981242138
2020-04-08,1,20,,,,,,,933,471,1624,13904,6415,25278,24819,11393,44691,0.965049528351,0.847925047045,1.04928849238
2020-04-09,2,22,,,,,,,933,477,1596,13941,6502,25180,25752,11870,46287,0.964537949089,0.847611696213,1.04890108006
2020-04-10,3,25,,,,,,,932,481,1567,13965,6582,25033,26684,12351,47853,0.964149710108,0.847186789061,1.04871023291
2020-04-11,2,27,,,,,,,932,489,1549,13979,6667,24862,27616,12840,49402,0.963847246653,0.846924676528,1.04860403766
2020-04-12,4,31,,,,,,,931,492,1539,13987,6753,24674,28547,13333,50941,0.963604508239,0.846694565638,1.04842271036
2020-04-13,1,32,,,,,,,931,491,1534,13990,6834,24493,29478,13824,52474,0.963404780066,0.846471563221,1.04825458327
2020-04-14,10,42,,,,,,,930,493,1524,13990,6913,24327,30408,14318,53998,0.963234453092,0.846302572066,1.04817419534
2020-04-15,1,43,,,,,,,929,497,1518,13988,6993,24156,31337,14815,55516,0.96308802324,0.84613202096,1.04806328842
2020-04-16,7,50,,,,,,,929,502,1519,13983,7072,24011,32266,15318,57034,0.962963908152,0.8458696123,1.04798425356
2020-04-17,5,55,,,,,,,928,500,1509,13977,7141,23852,33194,15818,58543,0.962850312546,0.84572534145,1.04795518085
2020-04-18,5,60,,,,,,,927,494,1519,13971,7197,23700,34121,16313,60061,0.962760162925,0.845622870892,1.04790519148
2020-04-19,0,60,,,,,,,927,491,1533,13963,7244,23553,35048,16804,61594,0.962679900644,0.845634926779,1.04784510208
2020-04-20,0,60,,,,,,,926,487,1546,13955,7287,23409,35974,17292,63139,0.962616530335,0.845688397159,1.04778856009
2020-04-21,4,64,,,,,,,925,483,1546,13946,7317,23262,36899,17776,64685,0.962572451676,0.845671969374,1.04776123696
2020-04-22,1,65,,,,,,,924,481,1532,13937,7336,23149,37824,18258,66216,0.962552114758,0.845681180489,1.0478695464
2020-04-23,7,72,,,,,,,924,481,1521,13928,7346,23046,38747,18739,67737,0.962563383297,0.845737863185,1.04796938815
2020-04-24,5,77,,,,,,,923,480,1512,13918,7349,22962,39670,19219,69248,0.96261582517,0.846145544859,1.0480927187
2020-04-25,4,81,,,,,,,922,472,1521,13908,7340,22916,40592,19691,70769,0.962725610302,0.846175821398,1.04821379169
2020-04-26,1,82,,,,,,,921,465,1533,13898,7317,22900,41514,20157,72302,0.96291402576,0.846223000794,1.04841968649
2020-04-27,2,84,,,,,,,921,464,1550,13887,7289,22911,42435,20622,73852,0.963210241048,0.84651821654,1.04869209556
2020-04-28,10,94,,,,,,,920,459,1540,13877,7257,22917,43355,21081,75391,0.963654141803,0.847381360232,1.04923860553
2020-04-29,5,99,,,,,,,920,450,1560,13867,7213,22953,44275,21531,76951,0.964300076081,0.848556330538,1.05008907144
2020-04-30,5,104,,,,,,,920,448,1572,13858,7164,23007,45195,21980,78522,0.965221698325,0.849770613439,1.05125801275
2020-05-01,2,106,,,,,,,920,446,1583,13849,7108,23072,46115,22426,80105,0.966518021724,0.851926684459,1.05322141112
2020-05-02,4,110,,,,,,,921,442,1595,13842,7050,23157,47036,22868,81699,0.968320570917,0.854141690099,1.05613449889
2020-05-03,1,111,,,,,,,922,438,1607,13837,6994,23244,47959,23307,83305,0.970801039635,0.856865607756,1.06042667407
2020-05-04,3,114,,,,,,,925,436,1623,13835,6938,23334,48883,23743,84927,0.97417792119,0.860515436495,1.06666675454
2020-05-05,7,121,,,,,,,928,440,1640,13837,6891,23428,49811,24184,86567,0.978719015387,0.865379478149,1.07558674751
2020-05-06,2,123,,,,,,,933,439,1661,13845,6847,23544,50744,24623,88228,0.984734583168,0.871820336878,1.08805478468
2020-05-07,2,125,,,,,,,940,441,1686,13861,6806,23698,51684,25065,89913,0.992554119359,0.88027254192,1.10298047749
2020-05-08,10,135,,,,,,,949,442,1707,13887,6768,23884,52634,25507,91620,1.00248092177,0.891279792956,1.11717349605
2020-05-09,8,143,,,,,,,962,459,1726,13925,6748,24098,53595,25967,93346,1.01472732872,0.897550679164,1.13344989987
2020-05-10,0,143,,,,,,,977,466,1767,13980,6742,24344,54573,26434,95112,1.02935157984,0.899837520207,1.16022222943
2020-05-11,2,145,,,,,,,997,471,1791,14056,6747,24602,55569,26905,96903,1.04623372583,0.903870050604,1.19716440185
2020-05-12,3,148,,,,,,,1020,477,1834,14155,6759,24886,56589,27382,98737,1.06511653914,0.908908107268,1.2537573472
2020-05-13,5,153,,,,,,,1048,491,1875,14283,6792,25221,57638,27874,100611,1.08568704567,0.916313806092,1.30503558551
2020-05-14,6,159,,,,,,,1081,509,1930,14444,6851,25591,58719,28383,102541,1.10763005986,0.927046668024,1.35169004507
2020-05-15,5,164,,,,,,,1120,531,1993,14644,6934,26011,59839,28914,104533,1.13061159384,0.942355847938,1.38935145733
2020-05-16,6,170,,,,,,,1164,541,2075,14888,7029,26503,61004,29456,106608,1.15423191006,0.963748490325,1.41822426873
2020-05-17,6,176,,,,,,,1215,562,2150,15182,7150,27059,62218,30019,108758,1.17802561346,0.993206737798,1.43967460599
2020-05-18,1,177,,,,,,,1271,580,2227,15531,7291,27679,63490,30599,110984,1.2015233874,1.03012185924,1.45515161267
2020-05-19,14,191,,,,,,,1335,604,2303,15941,7460,28360,64824,31203,113287,1.22430306627,1.06168151569,1.46593064328
2020-05-20,5,196,,,,,,,1404,630,2388,16417,7650,29108,66229,31834,115674,1.24596647562,1.08694877037,1.4733256793
2020-05-21,7,203,,,,,,,1481,668,2493,16965,7879,29940,67710,32503,118167,1.2660789001,1.11316023926,1.47835354991
2020-05-22,4,207,,,,,,,1564,715,2613,17589,8154,30866,69274,33219,120779,1.28416937046,1.12477591623,1.4816838682
2020-05-23,3,210,,,,,,,1654,761,2771,18294,8472,31930,70928,33980,123550,1.29982963182,1.13598328931,1.48393403665
2020-05-24,1,211,,,,,,,1751,804,2931,19084,8817,33135,72680,34785,126480,1.31284159247,1.1454188328,1.48528810216
2020-05-25,0,211,,,,,,,1855,856,3045,19962,9208,34413,74535,35642,129525,1.32323608063,1.15369534788,1.48644117347
2020-05-26,2,213,,,,,,,1967,910,3216,20932,9647,35838,76501,36553,132741,1.33125485558,1.1606929874,1.48712687775
2020-05-27,8,221,,,,,,,2086,970,3424,21998,10140,37427,78587,37523,136164,1.33716088943,1.16641944508,1.48667606756
2020-05-28,1,222,,,,,,,2213,1033,3639,23163,10682,39191,80800,38557,139802,1.34142028458,1.17096695608,1.48704288323
2020-05-29,1,223,,,,,,,2348,1110,3863,24429,11284,41124,83148,39667,143665,1.34438325241,1.17477798569,1.48734450793
2020-05-30,5,228,,,,,,,2492,1202,4116,25801,11955,43248,85640,40870,147780,1.34633023612,1.17666516067,1.48794308073
2020-05-31,1,229,,,,,,,2645,1301,4415,27282,12715,45587,88285,42171,152195,1.34747050448,1.17825342297,1.48822576176
2020-06-01,0,229,,,,,,,2807,1393,4663,28874,13545,48100,91092,43564,156857,1.34769528244,1.17946856941,1.48726050424
2020-06-02,16,245,,,,,,,2978,1482,4886,30581,14448,50760,94070,45047,161743,1.34728966157,1.17944257344,1.48640351034
2020-06-03,4,249,,,,,,,3159,1583,5200,32405,15427,53656,97229,46631,166943,1.346239421,1.17952163773,1.48667617898
2020-06-04,1,250,,,,,,,3349,1690,5537,34350,16486,56805,100578,48321,172479,1.3444632555,1.17929154272,1.48707090641
2020-06-05,10,260,,,,,,,3547,1805,5875,36416,17623,60187,104126,50127,178354,1.34182467627,1.17894731563,1.48725878312
