date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-03-07,,,,,,,,,83,43,123,83,43,123,83,43,123,1.62761373674,1.2,2
2020-03-08,,,,,,,,,83,43,123,167,87,246,167,87,246,1.62727542095,1.19990909169,1.99994570239
2020-03-09,,,,,,,,,83,43,123,250,130,369,250,130,369,1.62717534872,1.19988214208,1.99992353048
2020-03-10,,,,,,,,,83,43,123,334,174,492,334,174,492,1.62704506653,1.19984790332,1.99989173834
2020-03-11,,,,,,,,,83,43,123,417,218,615,417,218,615,1.62687526003,1.19980368086,1.99984590626
2020-03-12,,,,,,,,,83,43,123,501,261,738,501,261,738,1.62665368706,1.19974152334,1.99978067528
2020-03-13,,,,,,,,,83,43,123,584,305,861,584,305,861,1.62636424578,1.19965244567,1.99968596579
2020-03-14,,,,,,,,,83,43,123,668,349,984,668,349,984,1.62598574762,1.19953400575,1.99956242796
2020-03-15,,,,,,,,,83,43,123,751,392,1107,751,392,1107,1.62549030612,1.19937566164,1.99938748292
2020-03-16,,,,,,,,,218,117,343,969,510,1450,969,510,1450,1.62478444698,1.19917354455,1.99907413094
2020-03-17,,,,,,,,,217,117,341,1186,628,1791,1186,628,1791,1.62392644017,1.1989453206,1.99871816911
2020-03-18,,,,,,,,,227,123,358,1412,751,2149,1412,751,2149,1.62279160957,1.19861850725,1.99820507265
2020-03-19,,,,,,,,,248,133,395,1660,884,2543,1660,884,2543,1.62130889669,1.19817689886,1.99750882739
2020-03-20,,,,,,,,,291,151,471,1951,1036,3014,1951,1036,3014,1.61936936374,1.19760391632,1.99647104855
2020-03-21,,,,,,,,,359,179,597,2310,1215,3610,2310,1215,3610,1.61683220267,1.19677447461,1.99514927731
2020-03-22,,,,,,,,,411,203,695,2638,1375,4182,2721,1419,4305,1.61351585799,1.19567181651,1.99327800873
2020-03-23,,,,,,,,,456,220,778,3010,1552,4837,3177,1639,5083,1.60919054335,1.19408414759,1.99057467914
2020-03-24,,,,,,,,,508,237,877,3435,1746,5590,3685,1877,5959,1.60357402658,1.19233614024,1.9866416882
2020-03-25,,,,,,,,,570,255,996,3921,1958,6462,4255,2132,6954,1.59632238195,1.19020522094,1.98112170173
2020-03-26,,,,,,,,,647,280,1144,4484,2195,7483,4902,2413,8098,1.58703076129,1.18702701788,1.97364826608
2020-03-27,,,,,,,,,726,308,1299,5126,2460,8659,5627,2722,9397,1.57524775741,1.18300258658,1.9647551878
2020-03-28,,,,,,,,,804,335,1437,5847,2752,9972,6432,3057,10833,1.560505978,1.17803176996,1.95291934677
2020-03-29,,,,,,,,,886,364,1593,6649,3073,11442,7317,3422,12426,1.54237605229,1.17207785897,1.93163812662
2020-03-30,,,,,,,,,972,394,1776,7538,3424,13094,8289,3817,14201,1.52053706338,1.16519072109,1.90367857467
2020-03-31,1,1,,,,,,,1063,423,1961,8383,3730,14712,9352,4241,16162,1.49485234041,1.15702074285,1.87542918011
2020-04-01,1,2,,,,,,,1156,454,2150,9323,4067,16521,10509,4695,18312,1.46542742423,1.1497259771,1.84018000094
2020-04-02,2,4,,,,,,,1246,476,2343,10343,4420,18506,11755,5171,20654,1.4326278958,1.14288784147,1.79700470145
2020-04-03,0,4,,,,,,,1332,500,2578,11427,4787,20689,13087,5672,23231,1.39705239468,1.13432067311,1.75986768318
2020-04-04,1,5,,,,,,,1414,522,2765,12550,5159,22982,14502,6195,25996,1.35947556463,1.11694793938,1.72089615729
2020-04-05,3,8,,,,,,,1491,544,2936,13683,5524,25321,15993,6740,28931,1.32078295295,1.10402041148,1.6707443532
2020-04-06,5,13,,,,,,,1562,567,3071,14834,5888,27697,17555,7307,32002,1.28190978998,1.0796012113,1.63475452246
2020-04-07,0,13,,,,,,,1624,589,3201,16002,6257,30120,19180,7897,35203,1.24378307972,1.05802920436,1.59104739215
2020-04-08,0,13,,,,,,,1678,612,3313,17172,6632,32557,20858,8510,38515,1.20726490754,1.03279067113,1.5323448687
2020-04-09,3,16,,,,,,,1723,634,3376,18326,7011,34937,22581,9144,41891,1.17310098518,1.01070018063,1.45918403398
2020-04-10,3,19,,,,,,,1761,657,3460,19440,7388,37252,24342,9802,45350,1.14188191479,0.989294395461,1.4073128582
2020-04-11,4,23,,,,,,,1792,679,3523,20507,7759,39476,26134,10481,48872,1.11401984942,0.976157793125,1.34794963178
2020-04-12,3,26,,,,,,,1816,703,3593,21518,8127,41631,27950,11185,52464,1.08973700299,0.96667111697,1.28282129964
2020-04-13,3,29,,,,,,,1834,727,3620,22467,8490,43658,29784,11913,56084,1.06906421209,0.958163952106,1.2231776182
2020-04-14,4,33,,,,,,,1849,750,3646,23344,8846,45528,31633,12664,59729,1.0518544679,0.943880517786,1.18078541902
2020-04-15,3,36,,,,,,,1859,774,3642,24140,9197,47209,33492,13438,63370,1.03781661976,0.93412454417,1.15199222657
2020-04-16,4,40,,,,,,,1867,798,3623,24851,9541,48682,35359,14237,66993,1.02656557271,0.926127164303,1.13333761769
2020-04-17,2,42,,,,,,,1873,822,3592,25477,9888,49930,37232,15060,70584,1.01767667626,0.919794334494,1.12279058337
2020-04-18,3,45,,,,,,,1877,844,3553,26022,10232,50906,39110,15904,74137,1.01073156722,0.914676203469,1.11338527026
2020-04-19,2,47,,,,,,,1880,861,3530,26488,10571,51671,40990,16766,77666,1.00534880624,0.910411389319,1.10913498332
2020-04-20,4,51,,,,,,,1882,883,3505,26879,10909,52240,42872,17649,81170,1.00119928651,0.906626025226,1.10524065695
2020-04-21,4,55,,,,,,,1884,902,3478,27200,11244,52647,44756,18552,84648,0.998010104834,0.903773970741,1.10356453817
2020-04-22,3,58,,,,,,,1884,921,3450,27460,11575,52896,46640,19473,88098,0.995561343805,0.90154991031,1.10212357383
2020-04-23,2,60,,,,,,,1885,936,3422,27667,11900,53005,48525,20410,91520,0.993679390362,0.900142595557,1.10109837624
2020-04-24,3,63,,,,,,,1885,955,3385,27829,12220,53015,50410,21365,94905,0.992229187042,0.899006832303,1.10030592448
2020-04-25,4,67,,,,,,,1885,970,3345,27953,12533,52899,52295,22335,98249,0.991106760063,0.898347773074,1.09977645353
2020-04-26,5,72,,,,,,,1885,989,3284,28046,12843,52661,54180,23325,101532,0.990232647773,0.897863184107,1.09938155825
2020-04-27,3,75,,,,,,,1885,1000,3231,28115,13140,52299,56065,24325,104762,0.989546425,0.897299914364,1.09913710604
2020-04-28,4,79,,,,,,,1885,1013,3173,28166,13425,51852,57950,25339,107935,0.989002294638,0.896952243519,1.09892574041
2020-04-29,5,84,,,,,,,1884,1014,3138,28201,13689,51344,59834,26353,111073,0.988565618373,0.896712278939,1.09872578933
2020-04-30,5,89,,,,,,,1884,1016,3094,28226,13931,50797,61718,27370,114166,0.988210228114,0.896315212706,1.09860128151
2020-05-01,4,93,,,,,,,1884,1026,3086,28243,14159,50259,63602,28396,117252,0.987916364132,0.895905383911,1.09847344951
2020-05-02,4,97,,,,,,,1884,1032,3055,28254,14368,49723,65486,29428,120306,0.987669105151,0.895679834341,1.09838149925
2020-05-03,2,99,,,,,,,1884,1032,3015,28260,14556,49184,67370,30461,123320,0.987449651571,0.895248870558,1.0982948891
2020-05-04,4,103,,,,,,,1884,1029,2969,28264,14724,48623,69254,31490,126289,0.987258269283,0.895056517496,1.09821545155
2020-05-05,4,107,,,,,,,1883,1034,2935,28265,14875,48053,71137,32525,129223,0.987088097452,0.894883499846,1.09811554112
