date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-22,,,,,,,,,432,211,582,432,211,582,432,211,582,4.02885950576,3.6,4.4
2020-02-23,,,,,,,,,432,211,582,864,422,1163,864,422,1163,4.02692277512,3.59937249058,4.39988704618
2020-02-24,,,,,,,,,432,211,582,1296,633,1744,1296,633,1744,4.025922344,3.59905768417,4.39976665938
2020-02-25,,,,,,,,,432,211,582,1728,844,2326,1728,844,2326,4.02440120178,3.5985865416,4.39954191952
2020-02-26,,,,,,,,,432,211,582,2160,1055,2907,2160,1055,2907,4.02208614433,3.59788184853,4.39912916075
2020-02-27,,,,,,,,,432,211,582,2592,1266,3488,2592,1266,3488,4.01856094959,3.59678685486,4.39837639486
2020-02-28,,,,,,,,,432,211,582,3024,1477,4070,3024,1477,4070,4.01319407671,3.59502111013,4.39701011135
2020-02-29,,,,,,,,,432,211,582,3456,1688,4651,3456,1688,4651,4.00503436512,3.59240951496,4.39467645031
2020-03-01,,,,,,,,,432,211,582,3888,1899,5232,3888,1899,5232,3.99266704356,3.58588740727,4.39074993135
2020-03-02,,,,,,,,,2152,1008,2979,6040,2907,8211,6040,2907,8211,3.97098545665,3.57582754462,4.38151251963
2020-03-03,,,,,,,,,2133,1005,2944,8173,3913,11155,8173,3913,11155,3.94280896586,3.49282552071,4.37120019877
2020-03-04,,,,,,,,,2444,1155,3372,10617,5068,14526,10617,5068,14526,3.90004104024,3.31401810305,4.35292014683
2020-03-05,,,,,,,,,3061,1441,4307,13678,6509,18832,13678,6509,18832,3.83929524129,3.10879035375,4.32451105267
2020-03-06,,,,,,,,,4330,2048,6184,18008,8558,25016,18008,8558,25016,3.75464134198,2.82193471479,4.2795986058
2020-03-07,,,,,,,,,6268,3010,9046,24276,11568,34062,24276,11568,34062,3.64008823121,2.44448682721,4.20876603276
2020-03-08,,,,,,,,,7808,3864,11456,31651,15221,44936,32083,15432,45517,3.49014636394,2.14226512061,4.12926854451
2020-03-09,,,,,,,,,9341,4732,13915,40560,19743,58268,41424,20165,59431,3.30115279268,1.80659709168,4.05769718764
2020-03-10,,,,,,,,,11244,5407,16796,51372,24939,74483,52668,25572,76227,3.07326639371,1.55086148322,3.96518095576
2020-03-11,,,,,,,,,13407,5512,20038,64346,30241,93939,66074,31085,96265,2.81052999294,1.34897145386,3.84044212877
2020-03-12,,,,,,,,,15594,5666,23636,79508,35696,116993,81668,36751,119900,2.52168196636,1.19139855019,3.62143530277
2020-03-13,,,,,,,,,17199,5720,25989,96275,41206,142401,98867,42472,145889,2.22009503547,1.08554459968,3.4215158247
