date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper
2020-02-26,,,,,,,,,110,61,166,110,61,166,110,61,166,1.39276623144,1,1.8
2020-02-27,,,,,,,,,110,61,166,221,123,332,221,123,332,1.39264773138,1,1.79999512129
2020-02-28,,,,,,,,,110,61,166,331,185,498,331,185,498,1.39259541369,1,1.79999196096
2020-02-29,,,,,,,,,110,61,166,442,247,663,442,247,663,1.39251965142,1,1.79998675198
2020-03-01,,,,,,,,,110,61,166,552,309,829,552,309,829,1.3924097882,1,1.7999781655
2020-03-02,,,,,,,,,110,61,166,663,371,995,663,371,995,1.39225027236,1,1.79996401026
2020-03-03,,,,,,,,,110,61,166,773,433,1161,773,433,1161,1.39201840798,1,1.7999406728
2020-03-04,,,,,,,,,110,61,166,884,495,1326,884,495,1326,1.39168110131,1,1.79990219427
2020-03-05,,,,,,,,,110,61,166,994,557,1492,994,557,1492,1.39119019991,1,1.79983889496
2020-03-06,,,,,,,,,262,142,406,1256,700,1898,1256,700,1898,1.39039332225,0.999922134281,1.7996469948
2020-03-07,,,,,,,,,261,141,404,1517,842,2301,1517,842,2301,1.3893449657,0.99991306865,1.79947870785
2020-03-08,,,,,,,,,270,146,420,1788,988,2720,1788,988,2720,1.38781516622,0.999893748923,1.7991939579
2020-03-09,,,,,,,,,290,156,453,2078,1144,3173,2078,1144,3173,1.38561857417,0.999874534583,1.79864394875
2020-03-10,,,,,,,,,332,178,527,2410,1323,3699,2410,1323,3699,1.38248109107,0.999855137645,1.7979558472
2020-03-11,,,,,,,,,397,212,641,2807,1535,4340,2807,1535,4340,1.37804363604,0.999834622908,1.79690898266
2020-03-12,,,,,,,,,445,227,744,3141,1700,4918,3251,1762,5084,1.37186184996,0.999812466209,1.79531072221
2020-03-13,,,,,,,,,483,241,835,3513,1880,5587,3734,2003,5918,1.36343515725,0.999787243713,1.79286946402
2020-03-14,,,,,,,,,524,255,917,3927,2073,6338,4258,2259,6835,1.35227830075,0.999760083133,1.78915165969
2020-03-15,,,,,,,,,570,270,1032,4386,2281,7203,4828,2529,7866,1.33801631609,0.999731473955,1.78350825489
2020-03-16,,,,,,,,,626,288,1133,4901,2508,8169,5454,2818,8998,1.32046954705,0.999701412481,1.77566265495
2020-03-17,,,,,,,,,679,306,1273,5470,2752,9276,6132,3124,10271,1.29966790604,0.999669856283,1.76286260684
2020-03-18,,,,,,,,,727,322,1404,6086,3013,10514,6859,3447,11674,1.27579980057,0.999636453125,1.74549033596
2020-03-19,,,,,,,,,771,337,1505,6746,3289,11853,7630,3784,13179,1.24919878889,0.999601465687,1.71928864287
2020-03-20,,,,,,,,,813,352,1581,7448,3580,13268,8443,4137,14759,1.22042501279,0.999564037133,1.6816959915
2020-03-21,1,1,,,,,,,854,370,1662,8040,3807,14523,9296,4507,16420,1.19036094843,0.999472393313,1.62771623603
2020-03-22,1,2,,,,,,,891,385,1719,8670,4051,15838,10188,4893,18139,1.16018818103,0.999427962666,1.56006517986
2020-03-23,0,2,,,,,,,924,400,1824,9324,4305,17243,11111,5293,19963,1.13120751599,0.996279683114,1.48370982268
2020-03-24,0,2,,,,,,,951,414,1894,9985,4563,18683,12063,5707,21856,1.1045846502,0.987919682075,1.42415048558
2020-03-25,0,2,,,,,,,976,428,1900,10629,4813,20057,13039,6136,23755,1.08115724642,0.980139919147,1.33835699998
2020-03-26,0,2,,,,,,,998,445,1960,11230,5045,21375,14036,6581,25715,1.06137771348,0.971011059735,1.27351363223
2020-03-27,3,5,,,,,,,1018,455,1997,11803,5273,22628,15054,7036,27711,1.04534521096,0.963630875975,1.19307739264
2020-03-28,0,5,,,,,,,1036,464,2007,12356,5497,23800,16090,7501,29718,1.03285703612,0.9586624843,1.15185369448
2020-03-29,0,5,,,,,,,1053,474,2022,12885,5716,24905,17143,7975,31739,1.02347683105,0.954125461306,1.11336934494
2020-03-30,0,5,,,,,,,1069,486,2030,13384,5932,25903,18212,8462,33768,1.01663845176,0.952007980977,1.09286907842
2020-03-31,0,5,,,,,,,1084,498,2040,13842,6142,26810,19296,8961,35808,1.01176058759,0.950653790988,1.07875342758
2020-04-01,0,5,,,,,,,1099,510,2050,14262,6347,27588,20395,9472,37858,1.0083290492,0.949766581654,1.0618932763
2020-04-02,7,12,,,,,,,1113,522,2062,14649,6547,28246,21508,9994,39919,1.00593177863,0.94918572571,1.0578222741
2020-04-03,0,12,,,,,,,1127,534,2054,15006,6744,28794,22635,10529,41972,1.0042591036,0.948880239262,1.05474663026
2020-04-04,16,28,,,,,,,1141,546,2052,15334,6938,29264,23776,11075,44023,1.00308760415,0.948498257468,1.05276592799
2020-04-05,3,31,,,,,,,1154,557,2047,15634,7125,29650,24930,11633,46070,1.00226012641,0.948262893113,1.05127386651
2020-04-06,0,31,,,,,,,1167,568,2042,15910,7309,29973,26098,12202,48111,1.00166781397,0.948023132723,1.05027521564
2020-04-07,4,35,,,,,,,1180,579,2041,16166,7488,30190,27278,12781,50152,1.00123593535,0.947831750947,1.04966729301
2020-04-08,2,37,,,,,,,1193,589,2044,16408,7663,30340,28470,13370,52195,1.00091343214,0.94752775606,1.0492591816
2020-04-09,2,39,,,,,,,1205,598,2036,16637,7833,30476,29676,13969,54230,1.00066549484,0.94726990151,1.04921194523
2020-04-10,0,39,,,,,,,1217,608,2040,16857,7996,30556,30893,14577,56270,1.0004684011,0.947058934339,1.04914028066
2020-04-11,8,47,,,,,,,1229,614,2041,17068,8155,30600,32122,15191,58311,1.00030597149,0.94684572886,1.04900021387
2020-04-12,0,47,,,,,,,1241,618,2039,17273,8309,30631,33363,15810,60349,1.00016715372,0.946636581688,1.04892467735
2020-04-13,5,52,,,,,,,1253,623,2040,17473,8458,30650,34616,16433,62388,1.0000497387,0.946484384168,1.04888211068
2020-04-14,2,54,,,,,,,1264,627,2043,17668,8598,30663,35880,17060,64431,0.999945399043,0.946339594179,1.0487860966
2020-04-15,6,60,,,,,,,1275,626,2033,17859,8726,30656,37155,17687,66463,0.999850609261,0.946193718387,1.04870444493
2020-04-16,4,64,,,,,,,1286,627,2038,18047,8843,30644,38442,18315,68501,0.999782811681,0.946093417556,1.04864121269
2020-04-17,5,69,,,,,,,1297,632,2056,18230,8952,30639,39739,18947,70557,0.9997247224,0.946020685889,1.04861542579
2020-04-18,1,70,,,,,,,1308,642,2061,18411,9060,30646,41046,19590,72617,0.999688245586,0.946050844869,1.04870348164
2020-04-19,5,75,,,,,,,1318,649,2062,18588,9163,30656,42364,20239,74679,0.999652045633,0.945932866232,1.04877934062
2020-04-20,0,75,,,,,,,1328,657,2095,18762,9262,30704,43693,20896,76773,0.999633977755,0.945885133785,1.04882210575
2020-04-21,8,83,,,,,,,1339,664,2123,18934,9358,30785,45031,21560,78896,0.999635703332,0.945793830707,1.04874955529
2020-04-22,14,97,,,,,,,1349,675,2142,19102,9454,30885,46380,22235,81037,0.999667026605,0.94580456166,1.04870580085
2020-04-23,18,115,,,,,,,1358,687,2175,19268,9552,31017,47738,22923,83212,0.999738999249,0.945811070536,1.04893210934
2020-04-24,5,120,,,,,,,1368,699,2202,19431,9653,31183,49107,23622,85413,0.999862819504,0.945714230614,1.04940625337
2020-04-25,1,121,,,,,,,1378,711,2223,19591,9756,31365,50484,24333,87635,1.00005598616,0.9456652619,1.05002868217
2020-04-26,1,122,,,,,,,1388,734,2255,19750,9877,31579,51872,25068,89890,1.0003410729,0.945588011736,1.05103826391
2020-04-27,0,122,,,,,,,1397,733,2286,19906,9991,31826,53269,25802,92175,1.00074774912,0.945521492647,1.05239013277
2020-04-28,0,122,,,,,,,1407,732,2296,20060,10100,32082,54676,26534,94470,1.00131485183,0.945587097977,1.05418383549
2020-04-29,18,140,,,,,,,1417,744,2316,20213,10218,32355,56093,27278,96786,1.00209293339,0.945411659757,1.05654405045
2020-04-30,5,145,,,,,,,1427,752,2345,20365,10344,32668,57520,28031,99131,1.00314729486,0.945380650936,1.05962438648
2020-05-01,2,147,,,,,,,1438,759,2375,20517,10475,33004,58958,28791,101505,1.00456142737,0.945382300744,1.06360993206
2020-05-02,0,147,,,,,,,1449,767,2401,20669,10610,33349,60408,29558,103906,1.00644062632,0.945485388781,1.06871699302
2020-05-03,0,147,,,,,,,1462,770,2439,20823,10738,33728,61869,30328,106344,1.00891529038,0.945605340769,1.07518773394
2020-05-04,0,147,,,,,,,1475,760,2474,20981,10850,34140,63345,31089,108818,1.01214305623,0.945824678601,1.08327678672
2020-05-05,28,175,,,,,,,1491,767,2511,21143,10959,34556,64836,31856,111329,1.01630848895,0.946188068347,1.09322677232
2020-05-06,11,186,,,,,,,1508,777,2539,21313,11072,34973,66344,32633,113868,1.02161870701,0.946760134072,1.10523085145
2020-05-07,18,204,,,,,,,1528,786,2599,21492,11184,35430,67872,33420,116466,1.02829345089,0.947634147253,1.11946220131
2020-05-08,34,238,,,,,,,1552,801,2643,21686,11298,35898,69424,34221,119109,1.03654934305,0.948945429015,1.13607374588
2020-05-09,7,245,,,,,,,1580,809,2686,21897,11409,36382,71004,35031,121794,1.04658095943,0.950883545865,1.16216438654
2020-05-10,2,247,,,,,,,1612,821,2730,22132,11519,36889,72616,35853,124523,1.05854502307,0.953722046931,1.19164411552
2020-05-11,3,250,,,,,,,1650,845,2791,22394,11630,37425,74266,36698,127314,1.07255488981,0.957843300165,1.24489006926
2020-05-12,9,259,,,,,,,1695,873,2851,22693,11770,37991,75962,37572,130165,1.08868569747,0.963775164301,1.2877249522
2020-05-13,22,281,,,,,,,1748,915,2941,23034,11953,38636,77710,38488,133105,1.10697789417,0.972228602389,1.32751285844
2020-05-14,11,292,,,,,,,1810,962,3040,23427,12171,39359,79520,39450,136145,1.12742239657,0.984126437676,1.36230595403
2020-05-15,10,302,,,,,,,1882,989,3143,23882,12408,40157,81402,40439,139288,1.14992743607,1.00060048307,1.39104173828
2020-05-16,17,319,,,,,,,1965,1021,3263,24409,12670,41045,83367,41461,142550,1.17429250376,1.02291844728,1.41366429685
2020-05-17,0,319,,,,,,,2061,1059,3405,25020,12962,42049,85428,42520,145954,1.20021308168,1.05220669584,1.43079768189
2020-05-18,5,324,,,,,,,2170,1110,3586,25729,13301,43196,87598,43630,149540,1.22729914515,1.08884539928,1.4678513281
2020-05-19,15,339,,,,,,,2295,1176,3768,26548,13717,44489,89893,44806,153307,1.25505847488,1.11371855379,1.49895734131
2020-05-20,18,357,,,,,,,2435,1259,3971,27492,14209,45949,92327,46066,157278,1.28283247148,1.1283821164,1.5260759944
2020-05-21,4,361,,,,,,,2591,1378,4209,28574,14811,47619,94918,47444,161487,1.30975535551,1.14199948271,1.5572243669
2020-05-22,7,368,,,,,,,2764,1504,4463,29809,15529,49483,97682,48949,165949,1.33483374555,1.1690023799,1.5816231335
2020-05-23,15,383,,,,,,,2953,1639,4732,31211,16367,51572,100635,50589,170680,1.3571551884,1.19492981218,1.59957985933
2020-05-24,1,384,,,,,,,3160,1792,5022,32791,17350,53908,103795,52382,175702,1.37611388464,1.21051913385,1.61248639913
2020-05-25,1,385,,,,,,,3385,1971,5333,34564,18500,56511,107180,54353,181034,1.39152192139,1.21563394908,1.62158424957
2020-05-26,-1,384,,,,,,,3629,2173,5673,36543,19828,59392,110809,56527,186706,1.40356750117,1.21960035356,1.62791466405
2020-05-27,13,397,,,,,,,3893,2419,6001,38741,21373,62542,114702,58946,192707,1.41267971764,1.22261905794,1.632141698
2020-05-28,6,403,,,,,,,4179,2645,6399,41172,23104,66001,118881,61592,199106,1.41934140739,1.22486908879,1.6349376424
2020-05-29,16,419,,,,,,,4487,2868,6806,43849,25010,69767,123369,64461,205911,1.42410716758,1.22643462446,1.63647281874
2020-05-30,11,430,,,,,,,4820,3107,7275,46787,27128,73899,128189,67568,213186,1.42741540205,1.22756248543,1.6375858297
2020-05-31,2,432,,,,,,,5179,3384,7731,50001,29491,78367,133368,70952,220916,1.4296215225,1.22827641779,1.63822278782
2020-06-01,1,433,,,,,,,5566,3599,8294,53506,32031,83257,138934,74551,229210,1.43099571655,1.22869370216,1.63847475642
2020-06-02,15,448,,,,,,,5982,3854,8937,57317,34775,88607,144915,78406,238147,1.4315395023,1.22957144737,1.63677045561
2020-06-03,18,466,,,,,,,6428,4117,9733,61451,37716,94573,151344,82523,247879,1.43143660133,1.23011673685,1.63571710824
2020-06-04,5,471,,,,,,,6908,4366,10470,65925,40823,101071,158252,86889,258349,1.43089012572,1.23039930931,1.63616990278
2020-06-05,8,479,,,,,,,7423,4645,11375,70757,44090,108237,165675,91535,269723,1.42986607298,1.23047353909,1.63662898037
2020-06-06,10,489,,,,,,,7974,5067,12289,75968,47653,116063,173650,96603,282011,1.42832454605,1.23007426175,1.63669756847
2020-06-07,1,490,,,,,,,8560,5528,13202,81575,51542,124532,182210,102131,295212,1.42571048836,1.22965574332,1.63482038388
2020-06-08,1,491,,,,,,,9181,5987,14152,87596,55737,133662,191391,108119,309364,1.42225406096,1.22846059633,1.63277505173
2020-06-09,13,504,,,,,,,9838,6350,15295,94049,60115,143624,201229,114469,324658,1.41785556763,1.22739985969,1.63008799188
2020-06-10,15,519,,,,,,,10528,6747,16222,100947,64689,154174,211756,121217,340879,1.41222323456,1.22619936946,1.62665928746
2020-06-11,13,532,,,,,,,11246,7192,16946,108300,69463,165119,223002,128409,357825,1.40509026341,1.22468218157,1.62204354582
2020-06-12,4,536,,,,,,,11986,7656,18054,116107,74473,176774,234988,136066,375879,1.39616699888,1.21670821011,1.61574749283
2020-06-13,13,549,,,,,,,12742,8002,19154,124361,79607,189121,247730,144068,395032,1.38509135003,1.20018697609,1.60666370178
2020-06-14,2,551,,,,,,,13502,8383,20051,133043,84883,201897,261232,152451,415083,1.37160271639,1.1374711249,1.5940998318
2020-06-15,6,557,,,,,,,14256,8796,20804,142120,90295,214971,275488,161247,435887,1.35536900755,1.08583437082,1.57740613856
2020-06-16,11,568,,,,,,,14987,9174,21297,151541,95870,227973,290475,170422,457183,1.33614703671,1.04360082105,1.55498600987
2020-06-17,11,579,,,,,,,15679,9670,21689,161238,101686,240726,306153,180092,478872,1.31380717066,1.01218497119,1.5249670473
2020-06-18,19,598,,,,,,,16316,10047,22178,171125,107615,253171,322469,190139,501050,1.28834992167,0.990260133693,1.48595960539
2020-06-19,17,615,,,,,,,16880,10535,22923,181097,113785,265624,339349,200675,523972,1.2599156603,0.973895765949,1.43697501836
2020-06-20,18,633,,,,,,,17355,11035,23687,191028,120174,277936,356703,211710,547658,1.22883813413,0.963231231109,1.38351040596
2020-06-21,-1,632,,,,,,,17728,11493,24165,200781,126601,289813,374431,223204,571823,1.19574582654,0.955387742418,1.36675825899
2020-06-22,2,634,,,,,,,17993,11998,24412,210215,133070,301023,392424,235202,596235,1.16162123475,0.944172264455,1.34976865039
2020-06-23,29,663,,,,,,,18155,12424,24479,219188,139507,311351,410579,247627,620714,1.12770409731,0.919570017109,1.32889788477
2020-06-24,27,690,,,,,,,18224,12818,24296,227574,145975,320352,428803,260445,645009,1.09523264472,0.905214857493,1.30396107004
2020-06-25,4,694,,,,,,,18213,12827,23989,235259,152055,328120,447016,273273,668998,1.06515884827,0.891963807861,1.28466807
2020-06-26,24,718,,,,,,,18135,12775,23626,242149,157639,334799,465151,286049,692624,1.03799603507,0.88340293321,1.27017508469
2020-06-27,23,741,,,,,,,17998,12652,23248,248161,162635,339993,483149,298701,715871,1.01384677233,0.875839847714,1.25582933596
2020-06-28,5,746,,,,,,,17809,12680,23068,253228,167313,343907,500958,311381,738939,0.992542426765,0.864525526197,1.23855674047
2020-06-29,0,746,,,,,,,17575,12475,22837,257301,171405,346693,518533,323857,761776,0.973796072531,0.858904287119,1.21806330749
2020-06-30,25,771,,,,,,,17302,12161,22633,260347,174771,348521,535835,336019,784408,0.957309196144,0.854351961972,1.19422595966
2020-07-01,46,817,,,,,,,16996,11915,22546,262356,177512,349771,552830,347934,806954,0.942821379721,0.846940382684,1.16714654247
2020-07-02,26,843,,,,,,,16663,11717,22223,263340,179559,350305,569493,359651,829176,0.930119442918,0.8396817022,1.13720061111
2020-07-03,22,865,,,,,,,16309,11527,21913,263333,181039,350039,585803,371179,851089,0.919027688146,0.834687676615,1.10516074479
2020-07-04,15,880,,,,,,,15939,11330,21517,262393,181834,348634,601742,382509,872606,0.909394376894,0.828663876782,1.07174099289
