date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,country,region,subregion
2020-02-05,0,0,,,,,,,114,50,150,114,50,150,114,50,150,2.30880015836,US,,
2020-02-06,0,0,,,,,,,114,50,150,227,99,300,228,100,300,2.30861328572,US,,
2020-02-07,0,0,,,,,,,114,50,150,341,150,450,342,150,450,2.30857189053,US,,
2020-02-08,0,0,,,,,,,114,50,150,454,199,600,456,200,600,2.30852131995,US,,
2020-02-09,0,0,,,,,,,272,114,386,727,332,968,728,314,986,2.30845953743,US,,
2020-02-10,0,0,,,,,,,272,114,386,999,452,1348,1000,428,1372,2.30838405297,US,,
2020-02-11,0,0,,,,,,,272,114,386,1271,570,1730,1272,542,1758,2.30829182155,US,,
2020-02-12,0,0,,,,,,,272,114,386,1543,687,2113,1544,656,2144,2.3081791183,US,,
2020-02-13,0,0,,,,,,,444,190,610,1987,899,2701,1988,846,2754,2.30804138531,US,,
2020-02-14,0,0,,,,,,,631,298,867,2618,1203,3561,2619,1144,3621,2.30785440876,US,,
2020-02-15,0,0,,,,,,,873,450,1165,3491,1694,4722,3492,1594,4786,2.30764629579,US,,
2020-02-16,0,0,,,,,,,1535,833,1969,5026,2630,6687,5027,2427,6755,2.30738699152,US,,
2020-02-17,0,0,,,,,,,2551,1531,3215,7577,4302,9898,7578,3958,9970,2.3070716263,US,,
2020-02-18,0,0,,,,,,,2940,1783,3809,10517,6123,13704,10518,5741,13779,2.30668697138,US,,
2020-02-19,0,0,,,,,,,3482,2221,4477,13999,8393,18172,14000,7962,18256,2.30621691543,US,,
2020-02-20,0,0,,,,,,,3610,2309,4664,17495,10663,22689,17610,10271,22920,2.30564108604,US,,
2020-02-21,0,0,,,,,,,4081,2669,5296,21463,13327,27836,21691,12940,28216,2.3049345404,US,,
2020-02-22,0,0,,,,,,,5081,3354,6584,26431,16672,34244,26772,16294,34800,2.30406893189,US,,
2020-02-23,0,0,,,,,,,6046,4057,7808,32363,20765,41883,32818,20351,42608,2.30300838971,US,,
2020-02-24,0,0,,,,,,,7356,4942,9507,39447,25669,50959,40174,25293,52115,2.30170733589,US,,
2020-02-25,0,0,,,,,,,10867,7053,13815,50042,32728,64273,51041,32346,65930,2.30010893319,US,,
2020-02-26,0,0,,,,,,,13337,8697,16969,63106,41341,80718,64378,41043,82899,2.29814195876,US,,
2020-02-27,0,0,,,,,,,14509,9389,18588,77343,50621,98849,78887,50432,101487,2.29571791046,US,,
2020-02-28,0,0,,,,,,,17401,11153,22388,94301,61578,120514,96288,61585,123875,2.29272486726,US,,
2020-02-29,1,1,,,,,,,20792,12916,27004,114462,74197,146528,117080,74501,150879,2.28901981463,US,,
2020-03-01,0,1,,,,,,,26713,16155,34886,140302,89949,180063,143793,90656,185765,2.28441895263,US,,
2020-03-02,5,6,,,,,,,33146,19842,43660,171912,109048,221587,176939,110498,229425,2.27868444101,US,,
2020-03-03,1,7,,,,,,,40749,24197,54085,210110,131800,272274,217688,134695,283510,2.27150641929,US,,
2020-03-04,4,11,,,,,,,49580,28996,66592,256750,159113,334894,267268,163691,350102,2.26247793241,US,,
2020-03-05,1,12,,,,,,,61462,35753,83549,314730,192759,413801,328730,199444,433651,2.25106157921,US,,
2020-03-06,2,14,,,,,,,74897,43002,103186,386017,233572,512151,403627,242446,536837,2.23654772807,US,,
2020-03-07,3,17,,,,,,,90496,51547,125772,472432,282527,632444,494123,293993,662609,2.21800665269,US,,
2020-03-08,4,21,,,,,,,108267,61717,151097,575617,340931,776854,602390,355710,813706,2.19424415894,US,,
2020-03-09,1,22,,,,,,,128290,73944,179414,697861,410799,948428,730680,429654,993120,2.16378315626,US,,
2020-03-10,6,28,,,,,,,150715,88577,208814,841220,494340,1147768,881395,518231,1201934,2.12491252285,US,,
2020-03-11,5,33,,,,,,,173384,104414,236782,1003737,591735,1370721,1054779,622645,1438716,2.0758594784,US,,
2020-03-12,10,43,,,,,,,195545,122210,262122,1185945,705143,1615893,1250324,744855,1700838,2.01512852005,US,,
2020-03-13,9,52,,,,,,,216589,142035,289883,1388025,837659,1887139,1466913,886890,1990721,1.94198082608,US,,
2020-03-14,6,58,,,,,,,235440,155133,316155,1606063,981519,2180774,1702353,1042023,2306876,1.85691236614,US,,
2020-03-15,12,70,,,,,,,252041,167418,339801,1837312,1135986,2493409,1954394,1209441,2646677,1.76191307873,US,,
2020-03-16,27,97,,,,,,,265768,178870,360892,2076367,1298747,2819224,2220162,1388311,3007569,1.66035184276,US,,
2020-03-17,34,131,,,,,,,276687,188190,375256,2319908,1467127,3150581,2496849,1576501,3382825,1.55650581296,US,,
2020-03-18,57,188,,,,,,,285128,196497,379217,2564287,1639508,3475475,2781977,1772998,3762042,1.45489845591,US,,
2020-03-19,76,264,,,,,,,291402,204028,387355,2806109,1814734,3796014,3073379,1977026,4149397,1.35964154396,US,,
2020-03-20,97,361,,,,,,,295940,210062,389104,3040587,1989379,4101334,3369319,2187088,4538501,1.27391957149,US,,
2020-03-21,94,455,,,,,,,298929,215605,393778,3264618,2162462,4391724,3668248,2402693,4932279,1.19968433354,US,,
2020-03-22,145,600,,,,,,,300594,220544,396893,3474716,2332082,4662747,3968842,2623237,5329172,1.13758665852,US,,
2020-03-23,183,783,,,,,,,301208,225576,392413,3667657,2496574,4903882,4270050,2848813,5721585,1.08714293276,US,,
2020-03-24,237,1020,,,,,,,300951,229466,388541,3840319,2652654,5112694,4571001,3078279,6110126,1.04707952886,US,,
2020-03-25,312,1332,,,,,,,299979,231605,384419,3989583,2796209,5287927,4870980,3309884,6494545,1.01573750632,US,,
2020-03-26,413,1745,,,,,,,298384,232384,378924,4114583,2924818,5429760,5169364,3542268,6873469,0.991414118391,US,,
2020-03-27,552,2297,,,,,,,296227,232431,374696,4215265,3035785,5542043,5465591,3774699,7248165,0.972576550964,US,,
2020-03-28,634,2931,,,,,,,293569,233195,371578,4292245,3127726,5623538,5759160,4007894,7619743,0.957952603052,US,,
2020-03-29,627,3558,,,,,,,290493,232700,365712,4347299,3205931,5673095,6049653,4240594,7985455,0.946538577933,US,,
2020-03-30,820,4378,,,,,,,286975,231629,358743,4382233,3270691,5692050,6336628,4472223,8344198,0.93756610112,US,,
2020-03-31,1224,5602,,,,,,,283096,230579,352302,4399561,3322703,5683641,6619724,4702802,8696500,0.930456200471,US,,
2020-04-01,1241,6843,,,,,,,278896,228472,343503,4401771,3362865,5652065,6898620,4931274,9040003,0.924775259838,US,,
2020-04-02,1586,8429,,,,,,,274421,224534,334609,4391064,3390450,5607377,7173041,5155808,9374612,0.920198381013,US,,
2020-04-03,1315,9744,,,,,,,269712,221745,329505,4369374,3407672,5549794,7442753,5377553,9704117,0.916481010172,US,,
2020-04-04,1284,11028,,,,,,,264807,217492,323832,4338241,3414329,5484916,7707560,5595045,10027949,0.913437784522,US,,
2020-04-05,1439,12467,,,,,,,259744,212487,317351,4299056,3410334,5409059,7967304,5807532,10345300,0.910927062865,US,,
2020-04-06,1668,14135,,,,,,,254567,208110,310862,4253029,3397008,5323891,8221871,6015642,10656162,0.908839699943,US,,
2020-04-07,2309,16444,,,,,,,249315,203773,303094,4201137,3374200,5235062,8471186,6219415,10959256,0.907090902557,US,,
2020-04-08,2116,18560,,,,,,,244027,199117,296624,4144213,3342831,5143458,8715213,6418532,11255880,0.905614294378,US,,
2020-04-09,2075,20635,,,,,,,238738,194424,291078,4082971,3304867,5050410,8953951,6612956,11546958,0.904357557648,US,,
2020-04-10,2093,22728,,,,,,,233475,189972,284230,4018063,3261982,4955916,9187426,6802928,11831188,0.903279203412,US,,
2020-04-11,2046,24774,,,,,,,228262,185366,278580,3950098,3214710,4860072,9415688,6988294,12109768,0.902346154321,US,,
2020-04-12,1774,26548,,,,,,,223116,180775,272656,3879645,3162242,4761448,9638804,7169069,12382424,0.901531917358,US,,
2020-04-13,1828,28376,,,,,,,218049,176318,266891,3807201,3105914,4662959,9856853,7345387,12649315,0.90081518884,US,,
2020-04-14,2404,30780,,,,,,,213069,171868,261445,3733294,3046198,4565811,10069922,7517255,12910760,0.900080835417,US,,
2020-04-15,2549,33329,,,,,,,208184,167517,256295,3658383,2983155,4469862,10278106,7684772,13167055,0.899403767294,US,,
2020-04-16,2113,35442,,,,,,,203395,163111,250976,3582881,2917738,4377310,10481501,7847883,13418031,0.898824423437,US,,
2020-04-17,2614,38056,,,,,,,198706,158979,246027,3507167,2852096,4288676,10680207,8006862,13664058,0.89833407213,US,,
2020-04-18,2386,40442,,,,,,,194119,154935,241093,3431573,2785100,4200175,10874326,8161797,13905151,0.897963897531,US,,
2020-04-19,1229,41671,,,,,,,189635,150912,236289,3356402,2718337,4112503,11063961,8312709,14141440,0.897570176646,US,,
2020-04-20,1795,43466,,,,,,,185252,146956,231635,3281910,2652642,4026646,11249213,8459665,14373075,0.897205879835,US,,
