date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper,country,region,subregion
2020-02-25,,,,,,,,,56,29,74,56,29,74,56,29,74,1.68921568627,1.2,2,Canada,ALL,Alberta
2020-02-26,,,,,,,,,56,29,74,111,58,148,111,58,148,1.68810864827,1.19981328638,1.99984874788,Canada,ALL,Alberta
2020-02-27,,,,,,,,,56,29,74,167,87,222,167,87,222,1.68776783863,1.19974505108,1.99978638837,Canada,ALL,Alberta
2020-02-28,,,,,,,,,56,29,74,222,116,296,222,116,296,1.68732044776,1.19965184508,1.99969832341,Canada,ALL,Alberta
2020-02-29,,,,,,,,,56,29,74,278,145,370,278,145,370,1.68673269141,1.19952389711,1.99957070396,Canada,ALL,Alberta
2020-03-01,,,,,,,,,56,29,74,333,174,444,333,174,444,1.68596001622,1.19935588846,1.99938199002,Canada,ALL,Alberta
2020-03-02,,,,,,,,,56,29,74,389,203,518,389,203,518,1.68494371936,1.19911316022,1.99911068356,Canada,ALL,Alberta
2020-03-03,,,,,,,,,56,29,74,444,232,592,444,232,592,1.68360658033,1.19877892329,1.99875218508,Canada,ALL,Alberta
2020-03-04,,,,,,,,,56,29,74,500,261,666,500,261,666,1.68184728361,1.19833168734,1.99827210406,Canada,ALL,Alberta
2020-03-05,,,,,,,,,148,83,210,648,344,876,648,344,876,1.67944266481,1.19770596084,1.99749595491,Canada,ALL,Alberta
2020-03-06,,,,,,,,,147,83,209,795,427,1084,795,427,1084,1.67639102753,1.19705588372,1.9963920696,Canada,ALL,Alberta
2020-03-07,,,,,,,,,154,88,221,949,515,1304,949,515,1304,1.67237191979,1.19626070526,1.99477138324,Canada,ALL,Alberta
2020-03-08,,,,,,,,,169,95,247,1117,610,1551,1117,610,1551,1.6671223162,1.19519159047,1.99281074159,Canada,ALL,Alberta
2020-03-09,,,,,,,,,199,109,299,1316,720,1850,1316,720,1850,1.66028644278,1.19379948418,1.9902486025,Canada,ALL,Alberta
2020-03-10,,,,,,,,,246,133,379,1562,854,2228,1562,854,2228,1.65142869022,1.19198725138,1.98640447657,Canada,ALL,Alberta
2020-03-11,,,,,,,,,281,154,438,1788,980,2592,1843,1009,2666,1.64003059823,1.18966061551,1.98094242227,Canada,ALL,Alberta
2020-03-12,,,,,,,,,311,173,486,2043,1124,3004,2154,1182,3152,1.62550452945,1.18676163224,1.97331825782,Canada,ALL,Alberta
2020-03-13,,,,,,,,,345,194,547,2332,1289,3476,2499,1376,3698,1.60723284021,1.18308283009,1.96360733879,Canada,ALL,Alberta
2020-03-14,,,,,,,,,384,211,622,2661,1472,4023,2883,1588,4319,1.5846217936,1.17827074247,1.95296931989,Canada,ALL,Alberta
2020-03-15,,,,,,,,,431,236,710,3036,1680,4659,3314,1825,5029,1.55718861729,1.17139363342,1.93541889005,Canada,ALL,Alberta
2020-03-16,,,,,,,,,477,256,803,3457,1907,5388,3790,2081,5832,1.52466445712,1.16281458739,1.91048721538,Canada,ALL,Alberta
