date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper,country,region,subregion
2020-02-05,0,0,,,,,,,125,65,178,125,65,178,125,65,178,2.25176716687,2.1,2.4,US,,
2020-02-06,0,0,,,,,,,125,65,178,250,130,356,250,130,356,2.25175797357,2.09998967359,2.3999996511,US,,
2020-02-07,0,0,,,,,,,125,65,178,375,195,534,375,195,534,2.25175485708,2.09998617779,2.39999947364,US,,
2020-02-08,0,0,,,,,,,125,65,178,500,260,712,500,260,712,2.25175067134,2.09998150357,2.3999992063,US,,
2020-02-09,0,0,,,,,,,288,163,405,787,438,1103,788,423,1117,2.25174504446,2.09997524183,2.39999880023,US,,
2020-02-10,0,0,,,,,,,288,163,405,1075,607,1503,1076,586,1522,2.25173747314,2.09996690874,2.39999818693,US,,
2020-02-11,0,0,,,,,,,288,163,405,1362,773,1904,1364,749,1927,2.25172727547,2.09995603864,2.39999729471,US,,
2020-02-12,0,0,,,,,,,288,163,405,1650,938,2307,1652,912,2332,2.25171352642,2.09994173115,2.39999597012,US,,
2020-02-13,0,0,,,,,,,465,279,650,2115,1238,2936,2117,1191,2982,2.25169496952,2.0999218852,2.39999389049,US,,
2020-02-14,0,0,,,,,,,671,410,927,2786,1654,3857,2788,1601,3909,2.25164081198,2.09986489279,2.39996500327,US,,
2020-02-15,0,0,,,,,,,1203,749,1619,3989,2457,5436,3991,2350,5528,2.25160325907,2.09982599157,2.39995726365,US,,
2020-02-16,0,0,,,,,,,2395,1469,3094,6384,4056,8466,6386,3819,8622,2.25154551149,2.09976693058,2.39993930413,US,,
2020-02-17,0,0,,,,,,,3860,2497,4909,10243,6685,13283,10246,6316,13531,2.25147145102,2.09969168694,2.39991760636,US,,
2020-02-18,0,0,,,,,,,4274,2814,5442,14517,9539,18697,14520,9130,18973,2.25137422721,2.09959398807,2.39988834526,US,,
2020-02-19,0,0,,,,,,,5029,3373,6388,19546,12977,25042,19549,12503,25361,2.25124480218,2.09946571425,2.39984778808,US,,
2020-02-20,0,0,,,,,,,5167,3479,6576,24588,16404,31432,24716,15982,31937,2.2510700992,2.09929540372,2.39978898137,US,,
2020-02-21,0,0,,,,,,,5694,3893,7236,30157,20256,38470,30410,19875,39173,2.25083268219,2.0990681321,2.39970206528,US,,
2020-02-22,0,0,,,,,,,6769,4706,8603,36801,24943,46857,37179,24581,47776,2.25051253399,2.09876730235,2.39957604978,US,,
