date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper,country,region,subregion
2020-02-17,,,,,,,,,75,38,106,75,38,106,75,38,106,2.6002037953,2.2,3,Algeria,ALL,
2020-02-18,,,,,,,,,75,38,106,149,76,212,149,76,212,2.60000884948,2.19972493917,2.99998913077,Algeria,ALL,
2020-02-19,,,,,,,,,75,38,106,224,114,318,224,114,318,2.59992053042,2.19958669985,2.99998215629,Algeria,ALL,
2020-02-20,,,,,,,,,75,38,106,298,152,424,298,152,424,2.59979183584,2.19936656083,2.99996725905,Algeria,ALL,
2020-02-21,,,,,,,,,75,38,106,373,190,530,373,190,530,2.59960401121,2.1990776075,2.99994233855,Algeria,ALL,
2020-02-22,,,,,,,,,75,38,106,448,228,636,448,228,636,2.599329423,2.19870628188,2.99990103462,Algeria,ALL,
2020-02-23,,,,,,,,,75,38,106,522,266,742,522,266,742,2.59892727807,2.19817636661,2.99983302395,Algeria,ALL,
2020-02-24,,,,,,,,,75,38,106,597,304,848,597,304,848,2.59833725727,2.19743028169,2.99973569857,Algeria,ALL,
2020-02-25,,,,,,,,,75,38,106,671,342,954,671,342,954,2.59747005704,2.19635692242,2.99957682543,Algeria,ALL,
2020-02-26,,,,,,,,,268,136,396,939,478,1350,939,478,1350,2.59616740978,2.19478507455,2.99929928063,Algeria,ALL,
2020-02-27,,,,,,,,,267,136,395,1206,614,1744,1206,614,1744,2.59428211673,2.19256866533,2.9989286255,Algeria,ALL,
2020-02-28,,,,,,,,,291,148,435,1497,762,2178,1497,762,2178,2.59149339204,2.18911847019,2.99828508058,Algeria,ALL,
2020-02-29,,,,,,,,,340,170,517,1836,933,2695,1836,933,2695,2.58738355391,2.18353423416,2.99731215882,Algeria,ALL,
2020-03-01,,,,,,,,,442,214,683,2278,1147,3377,2278,1147,3377,2.5813289392,2.17512676594,2.99577404395,Algeria,ALL,
2020-03-02,,,,,,,,,602,286,946,2880,1433,4323,2880,1433,4323,2.57243087808,2.16086650467,2.9931070985,Algeria,ALL,
2020-03-03,,,,,,,,,735,341,1170,3541,1736,5387,3615,1774,5493,2.55942006104,2.14451956206,2.98901874178,Algeria,ALL,
2020-03-04,,,,,,,,,869,392,1409,4335,2091,6689,4485,2167,6901,2.54056490579,2.11795274436,2.983176196,Algeria,ALL,
2020-03-05,,,,,,,,,1044,464,1717,5305,2518,8300,5528,2632,8618,2.51362969273,2.07976438775,2.97468432273,Algeria,ALL,
2020-03-06,,,,,,,,,1266,550,2123,6496,3031,10316,6794,3183,10740,2.4759551356,2.02111835294,2.96103181,Algeria,ALL,
2020-03-07,,,,,,,,,1542,672,2644,7963,3665,12853,8336,3855,13383,2.42478077718,1.93957382899,2.94164091111,Algeria,ALL,
2020-03-08,,,,,,,,,1834,782,3221,9723,4410,15968,10170,4638,16604,2.35784437035,1.80303206441,2.91352842582,Algeria,ALL,
2020-03-09,,,,,,,,,2134,897,3843,11782,5269,19704,12305,5535,20446,2.27408279689,1.66035486506,2.86689242208,Algeria,ALL,
2020-03-10,,,,,,,,,2453,971,4454,14161,6203,24051,14758,6507,24899,2.17407423424,1.49282094613,2.80220801198,Algeria,ALL,
2020-03-11,,,,,,,,,2789,1067,5106,16875,7233,29051,17547,7575,30005,2.05999856482,1.35917633322,2.72092031977,Algeria,ALL,
2020-03-12,1,1,,,,,,,3128,1163,6106,19736,8260,34761,20675,8738,36110,1.93528619423,1.23451071577,2.62047447536,Algeria,ALL,
2020-03-13,1,2,,,,,,,3446,1204,6988,22915,9329,41355,24121,9943,43098,1.80422267658,1.12141710974,2.52724040043,Algeria,ALL,
2020-03-14,1,3,,,,,,,3722,1214,7737,26346,10395,48657,27843,11157,50835,1.67155767566,1.05684428523,2.41077206071,Algeria,ALL,
2020-03-15,1,4,,,,,,,3951,1216,8605,29958,11441,56746,31794,12374,59440,1.5420547321,1.00594356239,2.2977849554,Algeria,ALL,
2020-03-16,0,4,,,,,,,4129,1216,9213,33646,12443,65276,35924,13590,68653,1.42002740739,0.959993630179,2.1375755996,Algeria,ALL,
2020-03-17,0,4,,,,,,,4253,1215,9809,37297,13372,74138,40176,14806,78461,1.30898042627,0.935458136289,2.00218128007,Algeria,ALL,
2020-03-18,3,7,,,,,,,4319,1212,10054,40880,14243,83022,44495,16018,88515,1.21141007912,0.912473643342,1.84379928222,Algeria,ALL,
2020-03-19,2,9,,,,,,,4332,1209,10104,44342,15060,91717,48827,17228,98618,1.12872948394,0.890931290794,1.6736522657,Algeria,ALL,
2020-03-20,2,11,,,,,,,4302,1201,9966,47600,15797,99966,53129,18429,108583,1.06125165403,0.869666068747,1.49377075592,Algeria,ALL,
2020-03-21,4,15,,,,,,,4241,1193,9755,50575,16439,107598,57369,19622,118338,1.00823114651,0.847514645513,1.34156103103,Algeria,ALL,
2020-03-22,2,17,,,,,,,4160,1186,9433,53192,16953,114388,61529,20809,127771,0.968045733611,0.832472129642,1.21214877984,Algeria,ALL,
2020-03-23,0,17,,,,,,,4066,1179,9116,55425,17351,120283,65595,21989,136887,0.93855002229,0.818357120257,1.11713287457,Algeria,ALL,
2020-03-24,2,19,,,,,,,3965,1177,8793,57256,17631,125234,69561,23166,145679,0.917488320466,0.812074500698,1.04972231648,Algeria,ALL,
2020-03-25,2,21,,,,,,,3861,1175,8412,58663,17834,129192,73421,24341,154091,0.902811416108,0.80576210285,1.00840041413,Algeria,ALL,
2020-03-26,4,25,,,,,,,3755,1172,8086,59629,17939,132172,77176,25514,162177,0.892833313151,0.791338663635,0.976184601815,Algeria,ALL,
2020-03-27,1,26,,,,,,,3650,1168,7672,60150,17943,133738,80826,26682,169848,0.886257709006,0.776278531738,0.965960070618,Algeria,ALL,
2020-03-28,3,29,,,,,,,3548,1161,7323,60253,17900,134073,84373,27844,177170,0.8821332816,0.767353443281,0.965448539985,Algeria,ALL,
2020-03-29,2,31,,,,,,,3449,1152,7047,59979,17839,133383,87822,28996,184217,0.87978424392,0.761776670448,0.966322125512,Algeria,ALL,
2020-03-30,4,35,,,,,,,3353,1146,6785,59381,17769,131563,91175,30143,191002,0.878741580639,0.758427943871,0.968684536288,Algeria,ALL,
2020-03-31,9,44,,,,,,,3262,1138,6512,58513,17691,128862,94437,31282,197514,0.878685099678,0.756637161753,0.971729785341,Algeria,ALL,
2020-04-01,14,58,,,,,,,3174,1133,6239,57435,17609,125292,97611,32415,203753,0.879398286209,0.756554659525,0.975152368492,Algeria,ALL,
2020-04-02,28,86,,,,,,,3092,1139,5992,56208,17536,121230,100703,33555,209744,0.880734555189,0.757344873858,0.978977642735,Algeria,ALL,
2020-04-03,19,105,,,,,,,3013,1130,5759,54889,17457,116885,103716,34685,215503,0.882592576486,0.757755479925,0.983119606165,Algeria,ALL,
2020-04-04,25,130,,,,,,,2939,1124,5531,53527,17380,112451,106655,35810,221034,0.884898484619,0.75803758764,0.98752947838,Algeria,ALL,
2020-04-05,22,152,,,,,,,2870,1119,5299,52156,17307,107994,109525,36930,226332,0.887593258855,0.758829802804,0.992139197326,Algeria,ALL,
2020-04-06,21,173,,,,,,,2804,1116,5120,50800,17237,103681,112329,38046,231451,0.890624044253,0.760508583108,0.996844427639,Algeria,ALL,
2020-04-07,20,193,,,,,,,2744,1113,4974,49478,17171,99538,115073,39160,236424,0.89393855799,0.762273408747,1.00155215026,Algeria,ALL,
2020-04-08,12,205,,,,,,,2687,1110,4830,48199,17104,95574,117760,40270,241253,0.897481963518,0.764675963264,1.00616802565,Algeria,ALL,
