country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.58,0.77,2020-03-14,1.11,2020-07-15
Argentina,1.23,1.12,2020-03-17,1.07,2020-07-15
Australia,1.46,0.67,2020-03-23,1.02,2020-07-15
Austria,1.85,0.71,2020-03-15,1.03,2020-07-15
Bangladesh,1.72,1.07,2020-03-26,0.98,2020-07-15
Belarus,1.31,1.02,2020-04-06,1.01,2020-07-15
Belgium,2.59,0.80,2020-03-18,0.90,2020-07-15
Bolivia,1.42,1.13,2020-04-05,1.00,2020-07-15
Brazil,1.48,1.04,2020-04-20,1.00,2020-07-15
Bulgaria,1.53,1.04,2020-03-11,1.07,2020-07-15
Canada,1.92,0.88,2020-03-30,0.96,2020-07-15
Chile,1.40,0.91,2020-05-18,0.86,2020-07-15
China,2.98,0.66,2020-01-20,0.75,2020-07-15
Colombia,2.40,1.15,2020-03-19,1.02,2020-07-15
Croatia,1.41,0.80,2020-03-20,1.11,2020-07-15
Cuba,1.23,0.66,2020-04-08,0.94,2020-07-15
Cyprus,1.54,0.45,2020-03-12,0.86,2020-07-15
Czechia,2.20,0.60,2020-03-14,1.02,2020-07-15
Denmark,2.17,0.75,2020-03-11,0.90,2020-07-15
Dominican Republic,2.57,0.87,2020-03-15,1.10,2020-07-15
Ecuador,1.63,0.86,2020-04-11,0.97,2020-07-15
Egypt,1.69,1.08,2020-03-20,0.99,2020-07-15
Estonia,2.24,0.43,2020-03-11,0.72,2020-07-15
Finland,1.76,0.71,2020-03-29,0.91,2020-07-15
France,1.68,0.82,2020-03-18,0.88,2020-07-15
Germany,2.23,0.81,2020-03-18,0.90,2020-07-15
Greece,1.61,0.69,2020-03-08,0.90,2020-07-15
Honduras,1.27,1.02,2020-04-06,1.06,2020-07-15
Hungary,1.89,0.84,2020-03-25,0.97,2020-07-15
Iceland,1.41,0.46,2020-03-21,0.80,2020-07-15
India,1.36,1.10,2020-04-20,1.06,2020-07-15
Indonesia,1.55,1.04,2020-03-15,1.08,2020-07-15
Iran,2.44,0.89,2020-02-25,1.04,2020-07-15
Ireland,1.69,0.74,2020-03-31,0.90,2020-07-15
Israel,2.79,0.76,2020-03-17,1.12,2020-07-15
Italy,2.49,0.89,2020-03-02,0.92,2020-07-15
Japan,1.26,0.83,2020-04-02,1.08,2020-07-15
Kuwait,1.93,0.87,2020-04-16,1.00,2020-07-15
Latvia,1.34,0.55,2020-03-30,0.81,2020-07-15
Lithuania,1.95,0.78,2020-03-12,0.98,2020-07-15
Luxembourg,1.80,0.65,2020-03-18,1.08,2020-07-15
Malaysia,2.22,0.65,2020-03-08,0.80,2020-07-15
Malta,1.67,0.67,2020-03-20,0.95,2020-07-15
Mexico,2.25,1.07,2020-04-01,1.00,2020-07-15
Moldova,1.50,1.04,2020-03-17,0.97,2020-07-15
Morocco,2.39,0.71,2020-03-13,1.08,2020-07-15
Netherlands,2.43,0.83,2020-03-12,0.90,2020-07-15
Nigeria,1.48,0.96,2020-04-13,1.01,2020-07-15
Norway,1.74,0.63,2020-03-17,0.81,2020-07-15
Pakistan,1.68,1.03,2020-04-09,0.96,2020-07-15
Panama,1.35,1.02,2020-03-19,1.05,2020-07-15
Peru,2.05,1.05,2020-04-02,0.98,2020-07-15
Philippines,1.11,0.95,2020-03-15,1.08,2020-07-15
Poland,1.62,0.95,2020-03-20,1.01,2020-07-15
Portugal,2.18,0.83,2020-03-11,1.01,2020-07-15
Romania,1.77,0.88,2020-03-15,1.02,2020-07-15
Russia,1.61,0.95,2020-04-20,0.98,2020-07-15
Saudi Arabia,2.46,1.09,2020-03-24,1.00,2020-07-15
Serbia,1.67,0.84,2020-03-24,1.22,2020-07-15
Slovakia,1.54,0.62,2020-03-28,0.97,2020-07-15
Slovenia,1.78,0.69,2020-03-20,0.89,2020-07-15
South Africa,2.32,1.13,2020-03-26,1.07,2020-07-15
South Korea,2.16,0.86,2020-02-22,0.93,2020-07-15
Spain,3.25,0.85,2020-03-06,0.88,2020-07-15
Sweden,2.04,0.96,2020-03-18,0.88,2020-07-15
Switzerland,2.13,0.76,2020-03-13,0.93,2020-07-15
Turkey,2.63,0.77,2020-03-20,0.93,2020-07-15
Ukraine,1.59,1.04,2020-03-23,0.98,2020-07-15
United Arab Emirates,1.72,0.80,2020-04-05,1.01,2020-07-15
United Kingdom,2.69,0.93,2020-03-14,0.98,2020-07-15
United States,2.29,0.93,2020-03-18,1.07,2020-07-15
